GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected	pseudocount
GO:0000002	mitochondrial genome maintenance	30	0.0037071362372567192	30/16034	0.13970389141192294	0.3959647376156499	0.3327832169775033	PARP1/TP53/ENDOG/TYMP	4	21	1.1298790902868638	1.8481543111916754
GO:0000003	reproduction	1410	0	0	1	1	1		0	0	0	0
GO:0000012	single strand break repair	11	0.0018535681186283596	11/16034	0.16641848943160353	0.427952262591102	0.35966670041236376	PARP1/TNP1	2	11	1.083359074651971	1.8039871218053865
GO:0000017	alpha-glucoside transport	2	0	0	1	1	1		0	0	0	0
GO:0000018	regulation of DNA recombination	132	0.012048192771084338	131/16034	0.10273031934240995	0.335857151752574	0.28226660807764226	RUVBL1/RPA2/BCL6/PARP1/H1-2/PARP3/PTPRC/TNFSF4/THOC1/KPNA1/IL4/MSH2/MORF4L2	13	89	0.864420154619793	1.599247602987791
GO:0000019	regulation of mitotic recombination	7	0	0	1	1	1		0	0	0	0
GO:0000022	mitotic spindle elongation	12	0	0	1	1	1		0	0	0	0
GO:0000023	maltose metabolic process	3	0	0	1	1	1		0	0	0	0
GO:0000025	maltose catabolic process	1	0	0	1	1	1		0	0	0	0
GO:0000027	ribosomal large subunit assembly	25	9.267840593141798e-4	24/16034	0.8123584558537373	0.8585273168467388	0.7215376906633669	DHX30	1	15	0.08005696578818623	0.9390995410102619
GO:0000028	ribosomal small subunit assembly	17	0.0018535681186283596	17/16034	0.31879304816138065	0.5795003419584985	0.4870332373477753	RPS15/RPS19	2	8	1.4018128057705057	2.1097744570693115
GO:0000038	very long-chain fatty acid metabolic process	35	0.0027803521779425394	33/16034	0.3848748438220825	0.6004600261428714	0.5046485208998136	HACD1/ACAA1/ACOX2	3	24	0.7086656252105605	1.4575369782676242
GO:0000041	transition metal ion transport	93	0.009267840593141797	93/16034	0.09478548284004808	0.32332954112480233	0.2717379468871145	IREB2/ATOX1/ABCB7/CLTC/TRPM2/RAB11B/SLC30A9/MT3/ATP2C2/B2M	10	55	1.083359074651971	1.8039871218053865
GO:0000045	autophagosome assembly	106	0.0074142724745134385	106/16034	0.42180441985308714	0.6234615690778209	0.5239798570673505	IFT88/PIP4K2A/PSEN1/ATP2A2/ATG5/TBC1D12/FEZ2/ATG12	8	52	0.9163049899888049	1.6472443847112215
GO:0000050	urea cycle	10	0.0027803521779425394	10/16034	0.02550863021328883	0.1739410320490792	0.14618639164244557	ASS1/CEBPA/OTC	3	6	2.0949599863304513	2.791872709762849
GO:0000052	citrulline metabolic process	8	0.0018535681186283596	8/16034	0.09663703879126437	0.32332954112480233	0.2717379468871145	ASS1/OTC	2	5	1.8718164350162412	2.5708287704150012
GO:0000053	argininosuccinate metabolic process	1	0	0	1	1	1		0	0	0	0
GO:0000054	ribosomal subunit export from nucleus	15	0.0018535681186283596	15/16034	0.26767072463774266	0.5548689782604183	0.4663321403274985	NPM1/RPS15	2	4	2.094959986330451	2.791872709762849
GO:0000055	ribosomal large subunit export from nucleus	8	9.267840593141798e-4	8/16034	0.427333776753682	0.6234615690778209	0.5239798570673505	NPM1	1	3	1.6894948782222865	2.391055645219699
GO:0000056	ribosomal small subunit export from nucleus	8	0.0018535681186283596	8/16034	0.09663703879126437	0.32332954112480233	0.2717379468871145	NPM1/RPS15	2	3	2.3826420587822317	3.0779125820552595
GO:0000070	mitotic sister chromatid segregation	197	0.008341056533827619	195/16034	0.9146387931477223	0.9301068429132994	0.7816957368004875	TNKS/VPS4B/TRIP13/KIF25/TENT4A/RHOA/MAD2L1BP/ATRX/HSPA1B	9	110	0.2848513784341994	1.0963488883025825
GO:0000075	cell cycle checkpoint signaling	187	0.012048192771084338	186/16034	0.4852580539439363	0.6674402675316168	0.5609411603340667	CDC14B/RPA2/THOC5/BABAM2/TP53/RPL26/THOC1/TRIP13/MSH2/MAD2L1BP/CRY1/NAE1/TOPBP1	13	106	0.6896174302398658	1.4404794867309894
GO:0000076	DNA replication checkpoint signaling	18	0.0018535681186283596	18/16034	0.34406144020538765	0.5795003419584985	0.4870332373477753	NAE1/TOPBP1	2	12	0.9963476976623412	1.7219555919033063
GO:0000077	DNA damage checkpoint signaling	122	0.009267840593141797	121/16034	0.296882216469947	0.5580442500799113	0.4690007546521775	CDC14B/RPA2/THOC5/BABAM2/TP53/RPL26/THOC1/MSH2/CRY1/TOPBP1	10	72	0.8140261408683865	1.5529877698118453
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	102	0.0027803521779425394	100/16034	0.9683293315540923	0.9739301108674424	0.8185264106025641	CEBPA/CDK5R2/SFN	3	32	0.4209835527587796	1.2077059990265684
GO:0000080	mitotic G1 phase	2	0	0	1	1	1		0	0	0	0
GO:0000082	G1/S transition of mitotic cell cycle	223	0	0	1	1	1		0	0	0	0
GO:0000083	regulation of transcription involved in G1/S transition of mitotic cell cycle	22	0.0037071362372567192	22/16034	0.0565069303775737	0.25200331361979195	0.21179278210573294	NPAT/E2F2/TFDP1/CDK18	4	0	0	0
GO:0000086	G2/M transition of mitotic cell cycle	134	0.009267840593141797	134/16034	0.41489166839388203	0.6234615690778209	0.5239798570673505	CDC14B/VPS4B/BABAM2/AURKA/RFPL1/CALM3/CDK6/NAE1/TOPBP1/CDK4	10	33	1.5941846984179615	2.2974857640455575
GO:0000096	sulfur amino acid metabolic process	32	0.0027803521779425394	32/16034	0.3661586153055344	0.6004600261428714	0.5046485208998136	CTH/MTAP/MTRR	3	25	0.6678436306903052	1.4210612388535135
GO:0000097	sulfur amino acid biosynthetic process	16	0.0027803521779425394	16/16034	0.08828941690319347	0.31263297102649795	0.2627481589848535	CTH/MTAP/MTRR	3	11	1.4888241827601356	2.194463113309196
GO:0000098	sulfur amino acid catabolic process	9	9.267840593141798e-4	9/16034	0.4658903008322276	0.6464391191620773	0.5432910287675002	MTRR	1	7	0.8421970178350829	1.5788024528351559
GO:0000101	sulfur amino acid transport	13	0.0018535681186283596	13/16034	0.216503282276456	0.4907763641004476	0.412466368205749	SLC7A5/CTNS	2	10	1.178669254456296	1.8946857630381295
GO:0000103	sulfate assimilation	2	0	0	1	1	1		0	0	0	0
GO:0000105	histidine biosynthetic process	2	0	0	1	1	1		0	0	0	0
GO:0000117	regulation of transcription involved in G2/M transition of mitotic cell cycle	2	0	0	1	1	1		0	0	0	0
GO:0000122	negative regulation of transcription by RNA polymerase II	929	0	0	1	1	1		0	0	0	0
GO:0000132	establishment of mitotic spindle orientation	34	9.267840593141798e-4	33/16034	0.8998763962178399	0.9197465819325784	0.7729885953548838	PKHD1	1	23	-0.34738704903875345	0.6580094251761827
GO:0000154	rRNA modification	34	0	0	1	1	1		0	0	0	0
GO:0000160	phosphorelay signal transduction system	1	0	0	1	1	1		0	0	0	0
GO:0000165	MAPK cascade	756	0	0	1	1	1		0	0	0	0
