GO_term	median_diff	p_value	statistic	p_adj	auroc	norm_auroc
'de novo' IMP biosynthetic process	0	0.7150006546880892	62.5	0.7850264920029021	0.33967391304347827	-0.32065217391304346
'de novo' NAD biosynthetic process	0	NA	60	NA	0.32608695652173914	-0.34782608695652173
'de novo' NAD biosynthetic process from tryptophan	0	0.7150006546880892	62.5	0.7850264920029021	0.33967391304347827	-0.32065217391304346
'de novo' XMP biosynthetic process	0	0.7150006546880892	62.5	0.7850264920029021	0.33967391304347827	-0.32065217391304346
'de novo' post-translational protein folding	0	0.2541682294681909	46.5	0.7850264920029021	0.25271739130434784	-0.4945652173913043
'de novo' protein folding	0	0.1882708337890021	44.5	0.7850264920029021	0.2418478260869565	-0.5163043478260869
2'-deoxyribonucleotide metabolic process	0	0.7150006546880892	62.5	0.7850264920029021	0.33967391304347827	-0.32065217391304346
3'-UTR-mediated mRNA destabilization	0	0.11203165619950176	43	0.7850264920029021	0.23369565217391305	-0.5326086956521738
7-methylguanosine cap hypermethylation	0	0.7150006546880892	62.5	0.7850264920029021	0.33967391304347827	-0.32065217391304346
ADP metabolic process	0	0.4968405469472406	82.5	0.7850264920029021	0.4483695652173913	-0.1032608695652174
AMP catabolic process	0	0.44464797121180694	67.5	0.7850264920029021	0.36684782608695654	-0.2663043478260869
ATP biosynthetic process	NA	NA	NA	NA	NA	NA
ATP generation from ADP	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
Arp2/3 complex-mediated actin nucleation	0	0.7150006546880892	62.5	0.7850264920029021	0.33967391304347827	-0.32065217391304346
B cell activation involved in immune response	0	0.2979253011217898	90	0.7850264920029021	0.4891304347826087	-0.021739130434782594
B cell apoptotic process	0	0.7415222976094518	55	0.7866777464599402	0.29891304347826086	-0.40217391304347827
B cell differentiation	0	0.5859235888873987	66	0.7850264920029021	0.358695652173913	-0.28260869565217395
B cell homeostasis	0	NA	60	NA	0.32608695652173914	-0.34782608695652173
B cell mediated immunity	0	0.2980037467828746	90	0.7850264920029021	0.4891304347826087	-0.021739130434782594
B cell proliferation	0	0.35267230601768607	87.5	0.7850264920029021	0.47554347826086957	-0.048913043478260865
B cell receptor signaling pathway	0	0.5980538285610386	80	0.7850264920029021	0.43478260869565216	-0.13043478260869568
BMP signaling pathway	0	NA	60	NA	0.32608695652173914	-0.34782608695652173
CAMKK-AMPK signaling cascade	0	0.7150006546880892	62.5	0.7850264920029021	0.33967391304347827	-0.32065217391304346
CD4-positive or CD8-positive, alpha-beta T cell lineage commitment	0	1	60.5	1	0.328804347826087	-0.34239130434782605
CD4-positive, alpha-beta T cell activation	-1.1448989045071554	0.5096729830783095	61.5	0.7850264920029021	0.3342391304347826	-0.3315217391304348
CD4-positive, alpha-beta T cell cytokine production	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
CD4-positive, alpha-beta T cell differentiation	-0.7559426580675801	0.8428229494153379	70.5	0.8757136010998389	0.38315217391304346	-0.23369565217391308
CD4-positive, alpha-beta T cell differentiation involved in immune response	-0.6697276235577948	0.9210255658032912	72.5	0.9415195901732598	0.39402173913043476	-0.2119565217391305
CD4-positive, alpha-beta T cell lineage commitment	0	0.8546070514915637	57	0.8863852685456989	0.30978260869565216	-0.3804347826086957
CD4-positive, alpha-beta T cell proliferation	0	NA	60	NA	0.32608695652173914	-0.34782608695652173
CD40 signaling pathway	0	0.29253841494371213	72.5	0.7850264920029021	0.39402173913043476	-0.2119565217391305
CD8-positive, alpha-beta T cell activation	0	0.44464797121180694	67.5	0.7850264920029021	0.36684782608695654	-0.2663043478260869
CD8-positive, alpha-beta T cell differentiation	0	0.7150006546880892	62.5	0.7850264920029021	0.33967391304347827	-0.32065217391304346
CENP-A containing chromatin assembly	0	0.7150006546880892	62.5	0.7850264920029021	0.33967391304347827	-0.32065217391304346
COPII-coated vesicle budding	0	0.13592476880325594	42.5	0.7850264920029021	0.23097826086956522	-0.5380434782608696
COPII-coated vesicle cargo loading	0	0.0020048808353985374	36	0.0903353037949764	0.1956521739130435	-0.6086956521739131
DNA biosynthetic process	0	0.5543659512881332	65	0.7850264920029021	0.3532608695652174	-0.2934782608695652
DNA catabolic process, endonucleolytic	NA	NA	NA	NA	NA	NA
DNA conformation change	0	0.7150006546880892	62.5	0.7850264920029021	0.33967391304347827	-0.32065217391304346
DNA cytosine deamination	0	0.3603813421558461	70	0.7850264920029021	0.3804347826086957	-0.23913043478260865
DNA damage checkpoint signaling	0	0.41280597362005356	52	0.7850264920029021	0.2826086956521739	-0.4347826086956522
DNA damage response, signal transduction by p53 class mediator	0	0.7080347880148639	66	0.7850264920029021	0.358695652173913	-0.28260869565217395
DNA deamination	0	0.44464797121180694	67.5	0.7850264920029021	0.36684782608695654	-0.2663043478260869
DNA duplex unwinding	0	NA	60	NA	0.32608695652173914	-0.34782608695652173
DNA endoreduplication	0	NA	60	NA	0.32608695652173914	-0.34782608695652173
DNA geometric change	0	0.7150006546880892	62.5	0.7850264920029021	0.33967391304347827	-0.32065217391304346
DNA integrity checkpoint signaling	0	0.477846596827159	53	0.7850264920029021	0.28804347826086957	-0.42391304347826086
DNA modification	0	0.7150006546880892	62.5	0.7850264920029021	0.33967391304347827	-0.32065217391304346
DNA replication checkpoint signaling	0	0.7150006546880892	62.5	0.7850264920029021	0.33967391304347827	-0.32065217391304346
DNA replication initiation	0	0.7150006546880892	62.5	0.7850264920029021	0.33967391304347827	-0.32065217391304346
DNA replication-dependent chromatin assembly	0	0.7150006546880892	62.5	0.7850264920029021	0.33967391304347827	-0.32065217391304346
DNA strand elongation	0	0.7150006546880892	62.5	0.7850264920029021	0.33967391304347827	-0.32065217391304346
DNA strand elongation involved in DNA replication	0	0.7150006546880892	62.5	0.7850264920029021	0.33967391304347827	-0.32065217391304346
DNA synthesis involved in DNA repair	0	0.7150006546880892	62.5	0.7850264920029021	0.33967391304347827	-0.32065217391304346
DNA topological change	NA	NA	NA	NA	NA	NA
DNA unwinding involved in DNA replication	0	NA	60	NA	0.32608695652173914	-0.34782608695652173
DNA-templated DNA replication	0	0.5543659512881332	65	0.7850264920029021	0.3532608695652174	-0.2934782608695652
DNA-templated DNA replication maintenance of fidelity	0	0.5543659512881332	65	0.7850264920029021	0.3532608695652174	-0.2934782608695652
DNA-templated transcription elongation	0	0.44444725717079087	67.5	0.7850264920029021	0.36684782608695654	-0.2663043478260869
DNA-templated transcription initiation	0	0.7150006546880892	62.5	0.7850264920029021	0.33967391304347827	-0.32065217391304346
ER overload response	0	0.5541131300694455	65	0.7850264920029021	0.3532608695652174	-0.2934782608695652
ER-nucleus signaling pathway	0	0.2979253011217898	90	0.7850264920029021	0.4891304347826087	-0.021739130434782594
ERAD pathway	0	0.35595309857389024	47.5	0.7850264920029021	0.25815217391304346	-0.4836956521739131
ERBB signaling pathway	0	0.832652437289717	56.5	0.8670687380310255	0.3070652173913043	-0.38586956521739135
ERBB2 signaling pathway	0	NA	60	NA	0.32608695652173914	-0.34782608695652173
ERBB2-EGFR signaling pathway	0	NA	60	NA	0.32608695652173914	-0.34782608695652173
ESCRT III complex disassembly	0	0.29253841494371213	72.5	0.7850264920029021	0.39402173913043476	-0.2119565217391305
ESCRT complex disassembly	0	0.29253841494371213	72.5	0.7850264920029021	0.39402173913043476	-0.2119565217391305
Fas signaling pathway	0	0.7150006546880892	62.5	0.7850264920029021	0.33967391304347827	-0.32065217391304346
Fc receptor mediated inhibitory signaling pathway	0	0.7150006546880892	62.5	0.7850264920029021	0.33967391304347827	-0.32065217391304346
Fc receptor mediated stimulatory signaling pathway	0	0.23713655745297366	75	0.7850264920029021	0.4076086956521739	-0.18478260869565222
Fc receptor signaling pathway	0	0.23702136390215062	75	0.7850264920029021	0.4076086956521739	-0.18478260869565222
Fc-gamma receptor signaling pathway	0	0.2926755663477148	72.5	0.7850264920029021	0.39402173913043476	-0.2119565217391305
Fc-gamma receptor signaling pathway involved in phagocytosis	0	0.3603813421558461	70	0.7850264920029021	0.3804347826086957	-0.23913043478260865
G protein-coupled glutamate receptor signaling pathway	NA	NA	NA	NA	NA	NA
G2/M transition of mitotic cell cycle	0	0.44464797121180694	67.5	0.7850264920029021	0.36684782608695654	-0.2663043478260869
G2/MI transition of meiotic cell cycle	0	NA	60	NA	0.32608695652173914	-0.34782608695652173
GTP metabolic process	0	0.7150006546880892	62.5	0.7850264920029021	0.33967391304347827	-0.32065217391304346
Golgi inheritance	0	0.44444725717079087	67.5	0.7850264920029021	0.36684782608695654	-0.2663043478260869
Golgi lumen acidification	0	NA	60	NA	0.32608695652173914	-0.34782608695652173
Golgi organization	0	0.1882708337890021	44.5	0.7850264920029021	0.2418478260869565	-0.5163043478260869
Golgi to plasma membrane protein transport	0	0.02889828514563435	39.5	0.6573658455943814	0.21467391304347827	-0.5706521739130435
Golgi to plasma membrane transport	0	0.7150006546880892	62.5	0.7850264920029021	0.33967391304347827	-0.32065217391304346
Golgi to vacuole transport	0	0.7150006546880892	62.5	0.7850264920029021	0.33967391304347827	-0.32065217391304346
Golgi vesicle fusion to target membrane	0	0.7150006546880892	62.5	0.7850264920029021	0.33967391304347827	-0.32065217391304346
I-kappaB phosphorylation	0	0.5980538285610386	80	0.7850264920029021	0.43478260869565216	-0.13043478260869568
IRE1-mediated unfolded protein response	0	0.5980538285610386	80	0.7850264920029021	0.43478260869565216	-0.13043478260869568
IRES-dependent viral translational initiation	NA	NA	NA	NA	NA	NA
ISG15-protein conjugation	-0.9134442761487104	0.010824276246312098	21	0.39626998820483195	0.11413043478260869	-0.7717391304347826
JNK cascade	0	0.667585920531942	83	0.7850264920029021	0.45108695652173914	-0.09782608695652173
L-glutamate import across plasma membrane	0	0.7150006546880892	62.5	0.7850264920029021	0.33967391304347827	-0.32065217391304346
L-glutamate transmembrane transport	0	0.7150006546880892	62.5	0.7850264920029021	0.33967391304347827	-0.32065217391304346
L-leucine import across plasma membrane	0	NA	60	NA	0.32608695652173914	-0.34782608695652173
MDA-5 signaling pathway	-1.3663013047308283	0.18556840867679394	39.5	0.7850264920029021	0.21467391304347827	-0.5706521739130435
