GO_term	median_diff	p_value	statistic	p_adj	auroc	norm_auroc
mesenchymal to epithelial transition	NA	NA	NA	NA	NA	NA
mesenchymal to epithelial transition involved in metanephros morphogenesis	NA	NA	NA	NA	NA	NA
mesoderm development	NA	NA	NA	NA	NA	NA
mesodermal cell differentiation	NA	NA	NA	NA	NA	NA
mesonephric tubule morphogenesis	NA	NA	NA	NA	NA	NA
metanephric renal vesicle morphogenesis	NA	NA	NA	NA	NA	NA
metaphase plate congression	NA	NA	NA	NA	NA	NA
metaphase/anaphase transition of cell cycle	NA	NA	NA	NA	NA	NA
metaphase/anaphase transition of mitotic cell cycle	NA	NA	NA	NA	NA	NA
miRNA transcription	NA	NA	NA	NA	NA	NA
microtubule cytoskeleton organization involved in mitosis	NA	NA	NA	NA	NA	NA
microtubule depolymerization	NA	NA	NA	NA	NA	NA
microtubule organizing center localization	NA	NA	NA	NA	NA	NA
microtubule organizing center organization	NA	NA	NA	NA	NA	NA
microtubule polymerization or depolymerization	NA	NA	NA	NA	NA	NA
midbrain development	NA	NA	NA	NA	NA	NA
mismatch repair	NA	NA	NA	NA	NA	NA
mitochondrial ATP synthesis coupled electron transport	NA	NA	NA	NA	NA	NA
mitochondrial cytochrome c oxidase assembly	NA	NA	NA	NA	NA	NA
mitochondrial electron transport, NADH to ubiquinone	NA	NA	NA	NA	NA	NA
mitochondrial electron transport, cytochrome c to oxygen	NA	NA	NA	NA	NA	NA
mitochondrial electron transport, succinate to ubiquinone	NA	NA	NA	NA	NA	NA
mitochondrial electron transport, ubiquinol to cytochrome c	NA	NA	NA	NA	NA	NA
mitochondrial gene expression	NA	NA	NA	NA	NA	NA
mitochondrial membrane organization	NA	NA	NA	NA	NA	NA
