	GSM4455458	GSM4455459	GSM4455460	GSM4455461	GSM4455462	GSM4455463	GSM4455464	GSM4455465	GSM4455466
LOC105377102	55	113	47	111	58	102	59	104	73
DNAH12	3	7	8	13	11	12	22	4	16
PDE12	607	1529	440	1038	2151	1306	1192	469	959
ARF4	5269	4554	5883	4499	7969	2314	4651	1436	2424
ARF4-AS1	17	3	13	13	31	22	23	19	12
DENND6A	1414	3168	1331	3524	1536	2346	1522	842	1627
DENND6A-DT	0	0	4	2	8	1	8	3	3
SLMAP	2350	1735	1837	2036	2601	1859	1667	1028	1510
LOC105377103	8	16	7	16	26	57	21	109	26
LOC105377104	7	0	9	4	4	0	1	0	2
FLNB	5158	2010	515	1901	1000	2817	1966	878	1396
FLNB-AS1	200	136	21	93	49	214	108	59	108
LOC105377650	0	2	2	1	0	1	0	1	3
DNASE1L3	3	9	0	26	26	41	6	33	33
LOC107986091	0	0	0	10	5	4	2	1	5
ABHD6	73	95	48	158	166	180	200	73	206
RPP14	190	421	324	569	627	498	782	374	417
HTD2	139	290	217	376	467	328	475	283	278
PXK	4250	1796	1215	2345	1887	1235	956	384	1288
LOC105377106	6	3	46	12	6	6	4	17	4
PDHB	704	1131	675	1521	695	1498	1228	863	1293
LOC107986092	7	32	7	14	26	14	1	14	22
KCTD6	82	166	55	183	242	187	253	120	200
ACOX2	15	37	17	32	36	4	1	2	8
LOC107984079	0	0	0	0	0	2	0	0	0
FAM107A	0	2	2	1	0	2	1	2	1
FAM3D-AS1	1	1	0	1	1	1	0	3	1
FAM3D	3	3	0	2	9	1	0	2	3
LOC105377109	0	0	0	0	0	0	2	0	2
CFAP20DC	2	3	4	5	2	13	15	2	1
CFAP20DC-AS1	0	0	0	0	0	0	1	0	0
CFAP20DC-DT	0	0	0	2	2	0	3	3	2
LOC339902	0	0	0	1	0	1	2	0	0
FHIT	36	361	60	464	291	1473	963	333	837
LOC105377113	3	13	2	10	11	172	402	184	106
LOC105377112	1	3	0	2	4	3	5	11	9
LOC107986015	1	1	0	0	0	2	1	26	0
MIR548BB	0	0	0	0	0	0	0	0	0
LOC105377111	0	0	0	0	0	2	0	2	1
LOC105377114	0	0	0	0	0	1	0	0	0
LOC105377115	0	0	0	0	1	0	0	0	0
PTPRG	2	25	6	8	3	31	8	47	8
LOC107986016	0	0	0	1	0	0	3	2	0
LOC105377116	0	0	0	0	0	0	2	0	0
PTPRG-AS1	1	0	0	2	0	4	5	4	1
C3orf14	8	56	16	25	43	41	169	40	109
FEZF2	0	0	0	0	0	1	1	0	0
LOC105377647	0	0	0	0	0	0	0	0	0
CADPS	0	1	0	1	0	3	3	2	1
LINC00698	0	0	0	0	0	0	0	0	0
LOC107986043	0	0	0	0	0	0	0	0	0
SYNPR	0	0	0	0	0	0	0	0	0
SYNPR-AS1	0	0	0	0	0	0	1	0	0
SNTN	0	0	0	0	0	1	2	1	1
LOC105377119	0	0	0	1	0	0	0	0	0
LOC100130345	0	4	0	3	1	11	1	6	1
C3orf49	2	3	0	4	5	12	13	9	5
THOC7	942	880	712	727	741	945	1092	713	805
THOC7-AS1	1	1	2	2	0	7	3	12	2
ATXN7	2968	5335	3414	5976	5053	5328	2974	1198	4144
SCAANT1	1	5	3	2	13	2	1	5	5
PSMD6-AS2	130	238	348	503	471	314	196	153	288
PSMD6	4529	2383	2908	2370	2208	1776	1821	1028	1475
LOC105377121	0	0	1	0	1	1	0	0	0
LOC107986093	0	0	1	0	0	0	0	0	0
PRICKLE2-AS1	1	3	2	2	0	3	2	0	3
LINC00994	0	0	0	0	0	0	0	0	0
PRICKLE2	3	13	3	5	2	10	11	2	12
PRICKLE2-AS2	0	0	0	0	0	0	0	0	0
PRICKLE2-AS3	0	0	1	1	2	0	0	2	0
PRICKLE2-DT	0	0	0	0	0	0	0	0	0
LOC105377123	0	0	0	0	1	0	1	0	0
ADAMTS9	0	0	0	0	0	0	1	0	0
ADAMTS9-AS1	0	0	0	0	0	0	5	0	0
ADAMTS9-AS2	0	0	0	0	0	0	0	0	0
LOC105377124	0	0	0	0	0	0	0	0	0
LOC107986017	0	0	0	0	0	0	1	0	0
LOC105377125	0	0	0	0	2	1	5	2	0
LOC105377127	0	0	0	0	0	0	0	0	0
LINC02040	0	0	0	0	0	0	1	0	0
LOC107986094	0	0	0	0	0	0	0	0	0
MAGI1	0	0	0	1	2	6	5	3	1
LOC107986018	0	0	0	1	0	0	1	1	0
MAGI1-IT1	0	0	0	0	0	0	0	2	0
MAGI1-AS1	0	0	0	0	0	0	0	0	0
LOC105377128	0	0	0	0	0	0	0	0	0
SLC25A26	98	967	199	821	596	838	840	577	552
LOC107986095	0	0	0	0	0	0	0	0	0
LRIG1	189	1714	255	1827	809	1444	1235	563	920
LOC105377141	0	0	0	0	0	0	1	0	0
LOC105377142	0	1	0	0	0	0	0	0	0
LOC105377143	0	0	0	0	0	1	0	0	0
LOC105377144	1	0	2	3	3	4	8	4	2
KBTBD8	327	741	638	1524	3227	413	362	126	503
MIR4272	0	0	0	0	0	0	0	0	0
LOC112267879	1	10	2	13	7	20	19	15	5
SUCLG2	589	1496	455	1303	1310	1837	1065	906	1414
LOC105377148	0	15	2	10	14	11	3	5	6
SUCLG2-DT	0	11	1	6	7	14	17	20	9
TAFA1	2	34	2	26	17	56	7	33	13
LOC107986019	0	2	0	1	2	12	6	44	3
LOC105377146	0	0	0	0	1	0	1	3	1
TAFA4	0	0	0	0	0	0	0	1	0
EOGT	168	616	391	452	409	386	460	145	312
TMF1	2458	3990	4639	4111	3348	2280	2457	1185	1861
MIR3136	0	8	9	14	10	4	1	1	3
UBA3	4632	2148	2166	2482	1544	2365	2482	1093	2478
ARL6IP5	12126	7638	9534	8711	5544	7695	8238	3811	8044
LMOD3	32	14	54	23	42	10	17	20	28
FRMD4B	374	849	728	620	1297	487	379	201	652
MITF	33	108	87	209	154	191	412	87	241
SAMMSON	0	0	0	0	0	0	0	3	0
LOC105377151	0	0	0	0	0	0	3	0	0
MDFIC2	0	0	0	1	0	0	3	0	0
LOC105377152	0	0	0	0	0	0	0	0	0
FOXP1	2041	5942	2265	7974	4899	9952	6646	5984	5845
FOXP1-AS1	1	3	7	11	31	58	45	203	35
MIR1284	0	0	0	0	0	1	1	0	1
LOC105377155	20	8	7	13	14	43	27	21	18
EIF4E3	12321	3672	8539	4981	3078	3922	2191	1401	3214
GPR27	1095	144	622	144	161	194	57	46	168
PROK2	26915	397	3936	699	2418	354	66	56	230
LOC105377156	45	1	30	5	27	0	1	2	0
LOC105377157	1	0	2	1	6	1	0	0	1
LINC00877	22	239	226	141	425	137	36	90	303
LINC00870	0	1	0	0	0	0	0	0	0
LOC105377158	0	0	1	0	0	0	0	0	1
LOC105377159	0	0	0	0	0	0	0	0	0
RYBP	8896	4435	4265	4235	7877	2317	3224	985	2554
LOC105377160	0	0	0	0	0	0	0	0	0
LOC105377161	1	1	0	2	4	4	8	2	1
LOC102724817	0	0	0	0	0	0	0	0	0
LOC105377162	0	0	0	0	0	0	0	0	0
SHQ1	54	261	134	291	273	494	524	184	334
LOC107986097	0	3	2	20	22	52	39	13	23
GXYLT2	37	5	3	1	17	0	7	0	0
PPP4R2	12993	3179	9443	3860	5650	2397	2711	1073	1970
EBLN2	170	162	121	139	263	106	125	110	88
LOC107986098	0	0	0	0	0	0	1	0	1
PDZRN3	0	0	0	0	0	0	1	0	0
LOC101927296	0	0	0	0	0	0	0	0	0
PDZRN3-AS1	0	0	0	0	1	0	0	0	0
LOC105377164	0	0	0	0	0	0	0	0	0
LINC02005	0	0	0	0	0	0	0	0	0
LINC02047	0	0	0	0	0	0	0	0	0
CNTN3	0	0	1	1	3	1	3	7	1
LOC105377166	0	0	0	0	0	0	0	0	0
LOC105377167	0	0	0	0	0	0	1	0	0
LOC105377168	0	0	0	0	0	0	0	0	0
LOC107986099	0	0	0	0	0	0	0	0	0
MIR4444-2	68	229	126	175	142	113	120	23	134
LOC105377207	0	1	5	1	0	0	0	0	1
FAM86DP	4	87	13	57	36	134	171	58	71
LINC02018	1	12	12	13	23	18	27	15	21
MIR1324	0	0	0	0	0	0	0	0	0
FRG2C	0	1	0	0	0	1	1	0	1
LINC00960	3	9	10	3	12	4	6	1	1
ZNF717	49	86	32	86	84	247	221	96	157
MIR4273	0	3	0	2	2	4	2	0	2
ROBO2	0	0	0	0	0	0	3	0	0
LOC107986020	0	0	0	0	0	0	0	0	1
LOC102724949	0	0	0	0	0	0	0	0	0
LOC105377171	0	0	0	0	0	0	0	0	0
LINC02077	0	0	0	0	0	0	0	0	0
LOC105377173	0	0	0	0	1	0	0	0	0
ROBO1	3	3	16	37	36	46	48	16	24
LOC101927374	0	0	1	0	0	0	3	0	0
MIR3923	0	0	0	0	0	0	0	0	0
LOC105377177	8	2	4	1	19	11	11	11	3
LOC105377176	0	0	0	0	0	0	0	0	0
LINC02050	1	3	0	0	2	2	5	2	0
LOC105377174	0	0	0	1	0	0	2	0	0
LINC02027	0	0	0	0	0	0	0	0	0
GBE1	1143	428	894	403	422	353	464	126	409
LOC105377178	0	0	0	0	0	1	1	0	0
LOC105377179	0	0	0	0	0	0	0	0	0
LINC02008	0	0	0	0	0	0	0	0	0
LOC101927439	1	0	0	0	3	0	1	0	0
LOC105377181	0	0	0	0	0	0	0	0	0
LOC105377183	0	0	0	0	0	0	0	0	0
LOC105377186	0	0	0	0	0	0	0	0	0
LOC105377187	0	0	0	0	0	0	0	0	0
LOC105377188	1	0	0	0	0	0	2	0	0
LINC00971	0	0	0	0	0	0	4	5	0
LINC02025	0	1	0	0	0	0	0	0	0
LOC105377193	0	0	0	0	0	0	0	0	0
CADM2	2	7	8	14	33	9	13	4	30
SNORA95	0	0	0	0	0	0	0	0	0
MIR5688	0	0	0	0	0	0	0	0	0
CADM2-AS2	0	0	0	0	0	0	0	0	0
LOC102723364	0	0	0	0	0	0	0	0	0
LINC02070	0	0	0	0	0	0	0	0	0
LOC101927518	0	0	0	0	0	0	1	0	0
LOC105377196	0	0	0	0	0	0	0	0	0
VGLL3	0	0	0	2	0	2	7	3	2
LINC00506	0	0	0	2	2	2	2	2	1
MIR4795	0	0	0	0	1	0	0	0	0
CHMP2B	4608	2292	6654	2566	3251	1290	1575	497	1579
POU1F1	5	2	5	1	19	5	2	1	5
LOC105377198	0	0	0	0	0	0	0	0	1
HTR1F	0	16	12	5	3	6	12	5	5
CGGBP1	3863	4464	4037	5269	3319	4842	5011	1944	4019
ZNF654	3498	1514	2842	1886	2806	1035	1096	326	832
C3orf38	1743	1573	4302	2073	2069	1033	1004	353	1013
LOC105377202	0	0	1	0	1	0	0	1	0
CSNKA2IP	0	0	0	0	0	0	0	0	0
EPHA3	8	0	1	0	0	0	4	2	0
LOC101930420	6	11	6	15	19	29	32	20	19
LOC107984021	0	2	2	2	3	2	2	1	5
PROS1	59	157	469	118	52	350	20	59	182
ARL13B	53	143	197	179	427	231	478	163	233
STX19	0	2	5	3	3	6	3	0	2
DHFR2	160	142	133	202	77	284	608	176	173
NSUN3	1090	610	1748	1020	501	825	787	435	651
LOC105373992	0	0	0	0	0	1	0	0	0
LINC00879	0	0	0	0	0	0	0	0	0
MTHFD2P1	0	2	2	4	1	2	4	1	1
MIR8060	0	0	0	0	0	0	0	0	0
EPHA6	0	1	0	1	1	0	6	3	1
LOC107986103	0	0	0	0	0	0	1	0	0
LOC101929278	0	1	0	1	1	0	3	0	0
ARL6	6	35	15	55	56	131	178	30	77
LOC101929298	0	1	0	1	1	2	5	3	2
CRYBG3	92	224	113	335	675	440	373	221	573
LOC105373994	1	1	0	2	2	2	4	5	1
RIOX2	201	354	80	293	332	743	690	374	629
GABRR3	0	0	0	0	0	0	0	0	0
OR5AC2	0	0	0	0	0	0	0	0	0
OR5H1	0	0	0	0	0	0	0	0	0
LOC105373996	0	0	0	0	0	0	0	0	0
OR5H14	0	0	0	0	0	0	0	0	0
OR5H15	0	0	0	0	0	0	0	0	0
LOC105373998	0	0	0	0	0	0	0	0	0
LOC105373997	0	0	0	0	0	0	0	0	0
LOC101929320	0	0	0	0	0	0	0	0	0
LOC105373999	0	0	0	0	0	0	0	0	0
OR5H6	0	0	0	0	0	0	1	0	0
OR5H2	0	0	0	0	0	0	1	0	0
OR5K4	0	0	0	0	0	0	0	0	0
LOC105374000	0	0	0	0	0	0	0	0	0
OR5K3	0	0	0	0	0	0	0	0	0
OR5K1	0	1	0	0	1	2	1	0	0
OR5K2	2	4	1	7	6	6	8	2	2
CLDND1	1678	2527	1595	4198	4699	3712	5806	1715	2582
GPR15	24	764	53	305	89	537	459	770	334
CPOX	93	431	91	483	366	639	1124	404	559
ST3GAL6-AS1	1	6	1	8	9	11	33	3	7
ST3GAL6	415	307	423	393	536	237	306	158	366
DCBLD2	44	13	76	53	85	82	86	33	55
LOC105374002	0	0	0	0	0	0	1	0	0
LOC105374003	0	0	0	0	0	0	0	0	0
LOC107986104	0	0	0	0	0	0	0	0	0
LOC105374004	0	0	0	0	0	0	0	0	0
LOC105374007	0	0	0	0	0	1	6	0	0
LOC105374005	0	0	1	0	0	0	6	3	1
LOC105374006	0	0	0	0	0	0	3	0	0
COL8A1	0	0	0	0	0	0	3	1	0
HP09053	6	26	11	18	25	38	48	24	17
CMSS1	28	163	87	146	112	268	424	295	150
FILIP1L	20	21	24	63	247	37	28	17	27
LOC112268455	1	14	10	9	9	6	5	15	2
MIR3921	0	0	0	0	0	0	0	0	0
LOC105374010	0	26	5	15	8	21	5	16	13
LOC105374009	0	4	0	0	3	7	13	3	7
TMEM30CP	0	0	0	0	0	1	0	0	0
TBC1D23	1730	1342	2219	1603	3130	935	1206	429	923
NIT2	49	552	224	474	392	692	939	525	473
TOMM70	405	1819	701	1667	1207	1820	2249	875	1216
LNP1	7	7	3	6	10	20	42	26	8
TMEM45A	9	7	13	6	3	10	38	8	16
ADGRG7	0	0	0	1	1	1	0	0	0
TFG	2642	1543	2100	1200	3383	1083	1987	564	1101
ABI3BP	1	2	4	3	13	6	6	0	5
IMPG2	6	9	8	22	30	49	34	22	32
SENP7	1087	1442	835	1771	2226	2371	1879	768	1553
FAM172BP	0	30	12	63	39	64	114	15	40
TRMT10C	299	788	471	1131	861	924	928	542	679
PCNP	3636	9934	5070	8382	8517	10456	10223	9381	7325
ZBTB11	1599	2084	2308	3473	7757	1875	1601	592	1445
ZBTB11-AS1	81	142	101	206	433	87	98	65	79
RPL24	2424	9229	5262	9185	9998	10933	10598	12890	7024
LOC105374013	15	120	54	172	106	289	245	173	232
PDCL3P4	11	65	32	84	52	162	234	175	97
CEP97	242	501	768	847	316	684	388	285	417
NXPE3	1235	1732	1688	3554	800	2739	2395	1807	2260
NFKBIZ	18615	10062	20566	5638	15535	7473	3710	2594	12655
RDUR	10	29	56	56	11	39	3	21	100
LOC101929411	0	0	0	0	0	0	0	1	0
LOC107986105	0	0	0	0	0	0	1	1	1
