	GSM3001089	GSM3001090	GSM3001091	GSM3001092	GSM3001093	GSM3001094
OR2C3	1	2	0	1	7	1
LOC102724446	9	14	6	9	8	3
OR2G2	0	0	0	1	3	0
OR2G3	0	1	1	0	0	0
OR13G1	3	7	0	1	1	0
OR6F1	3	0	0	3	3	0
OR14A2	19	8	2	7	7	8
OR14K1	0	0	0	0	1	0
OR1C1	0	3	1	0	0	0
OR14A16	1	0	1	0	0	0
OR11L1	0	0	0	0	2	0
TRIM58	19	20	10	13	17	12
OR2W3	8	0	5	2	7	2
OR2T8	1	0	2	0	3	3
OR2AJ1	0	1	0	0	1	0
OR2L13	0	4	2	2	2	0
OR2L8	0	0	0	1	0	0
OR2AK2	0	0	0	0	2	0
OR2L1P	0	0	0	0	1	1
OR2L5	0	1	0	2	1	0
OR2L2	0	2	0	1	0	0
LOC105373275	0	1	0	0	1	1
OR2L3	0	0	2	0	0	0
OR2M1P	0	0	0	0	0	1
OR2M5	0	1	0	0	0	3
OR2M2	0	2	1	0	1	1
OR2M3	0	0	1	0	0	0
OR2M4	0	0	1	0	0	0
OR2T33	0	1	1	0	3	0
OR2T12	0	1	0	0	0	1
OR2M7	0	1	0	0	2	1
OR14C36	0	0	1	0	1	1
OR2T4	1	1	1	0	1	0
OR2T6	0	2	1	0	0	1
OR2T1	0	2	0	0	1	0
OR2T7	0	1	0	0	3	0
OR2T2	0	2	0	1	1	0
LOC105373279	0	1	0	0	1	0
OR2T3	0	2	1	0	0	1
LOC105373277	0	3	0	0	1	0
OR2T5	0	1	0	0	1	0
OR2G6	0	0	0	0	0	0
OR2T29	0	0	0	0	1	0
OR2T34	0	2	0	1	0	2
OR2T10	1	3	2	1	1	2
OR2T11	0	2	0	0	2	3
OR2T35	0	1	0	1	1	0
OR2T27	1	0	1	0	1	0
OR14I1	0	2	0	0	1	0
LYPD9P	0	1	0	0	2	1
LYPD8	0	0	2	0	1	0
LOC107985747	0	0	0	0	0	0
SH3BP5L	4478	2499	2352	3960	2454	2586
MIR3124	10	15	8	7	8	7
ZNF672	2312	1392	1341	2425	1526	1573
ZNF692	828	425	375	849	468	527
PGBD2	730	473	476	549	511	468
TRL-CAA4-1	2	1	2	4	3	2
TRE-CTC2-1	19	14	28	33	46	20
LOC107987362	7	5	5	13	7	9
LOC105379854	29	18	21	29	22	20
LOC105379521	46	28	17	37	22	18
LOC101060632	33	23	15	22	16	16
LOC107987363	9	9	2	6	6	9
LOC102724250	2895	1895	1732	2090	1499	1567
LOC107987364	1	1	0	1	1	1
LOC105379523	1	1	0	0	1	0
LOC107987365	4	0	1	6	1	1
LOC107987366	101	79	74	75	60	78
LOC102724562	38	39	30	36	29	37
LOC105379524	27119	23893	23420	26745	23882	22734
TRN-GTT26-1	1	3	4	15	14	13
LOC440570	5	2	4	23	7	8
TRNAE-UUC	1	0	0	1	1	1
FAM110C	11	13	19	16	25	11
LOC105373324	0	0	0	0	1	0
SH3YL1	1391	828	728	815	565	589
ACP1	5669	3143	3221	5767	3317	3413
ALKAL2	54	24	19	60	36	28
LOC101927262	9	5	2	6	5	4
LOC105373346	7	9	4	4	8	8
LINC01865	0	2	2	1	0	2
LOC105373351	0	0	0	0	0	0
LINC01874	0	0	1	0	2	0
LOC100996637	0	2	0	0	3	1
LINC01875	0	1	0	0	1	0
LOC105373352	0	1	0	0	5	1
TMEM18	2147	1521	1477	1936	1420	1359
TMEM18-DT	8	10	6	7	11	12
LOC105373479	0	0	0	0	0	0
LOC105373358	0	0	0	0	0	0
LOC105373480	23	12	13	8	7	5
LOC105373392	0	0	0	2	1	0
LINC01115	8	3	4	5	1	1
LINC01939	1	0	0	0	0	1
LOC105373481	0	5	2	0	5	2
SNTG2-AS1	1	0	0	0	2	1
SNTG2	3	10	5	0	9	5
LOC105373359	0	2	0	0	3	0
TPO	18	5	1	11	5	5
LOC102723730	9	4	0	8	2	5
PXDN	60263	33526	32077	46586	26459	32582
MYT1L	0	12	2	1	9	7
LOC107985838	0	0	1	0	1	1
MYT1L-AS1	0	2	1	1	1	1
LOC105373389	0	1	0	0	0	1
LOC107985839	0	1	0	0	2	0
LOC105373390	0	5	2	0	4	3
LINC01250	4	4	1	1	5	2
LOC107985840	37	33	22	52	27	34
EIPR1	3069	1404	1451	3607	1662	1612
TRAPPC12	3516	2285	2321	3029	2055	2303
ADI1	11211	7579	7532	7526	6415	6405
RNASEH1	5282	2753	2825	4700	2756	2764
RNASEH1-DT	314	197	170	270	157	162
RPS7	75331	47341	48882	53527	37921	38369
COLEC11	16	30	23	27	20	27
ALLC	0	4	0	0	2	2
LOC105373393	0	1	1	0	2	0
DCDC2C	2	7	1	1	6	0
LINC01304	0	0	1	0	1	1
LOC105373394	0	0	0	0	1	0
LOC105373395	0	0	2	0	0	1
LOC105373397	0	5	0	0	2	3
LOC107985841	0	1	1	0	1	2
LINC01249	0	2	0	0	3	0
LOC105373398	0	0	0	0	1	0
LOC105373399	0	0	0	0	0	0
LOC107985842	0	1	0	0	1	0
LOC107985843	0	0	0	0	0	2
LINC01248	1	2	0	0	1	0
SOX11	0	11	4	1	10	8
LOC112268411	0	3	0	1	3	0
LINC01810	0	1	1	0	0	0
SILC1	1	1	1	2	5	3
MIR7158	0	0	0	0	0	0
LOC400940	0	1	0	0	2	0
LOC105373401	0	0	0	0	1	0
LINC01247	1	0	0	1	0	1
LOC105373402	0	0	0	0	1	0
LINC01824	0	0	1	0	0	0
LOC107985845	0	0	1	0	1	0
LINC01246	0	1	0	1	0	0
MIR7515HG	0	0	0	0	0	0
MIR7515	0	0	0	0	0	0
LINC00487	1	1	0	10	6	5
LOC105373404	0	0	0	0	2	3
NRIR	0	0	0	184	89	91
CMPK2	64	16	36	52200	23686	24560
RSAD2	26	10	39	111724	58716	60647
GRASLND	88	65	78	116	93	96
RNF144A	4424	3294	2668	2428	2982	2845
LOC101929452	15	7	2	9	3	6
LOC107985847	9	11	2	3	7	4
LOC105373406	3	3	1	0	2	4
LOC100506274	1	0	0	0	3	1
LOC105373407	0	1	0	0	0	0
LOC101929510	0	3	0	0	3	0
LOC107985848	0	0	0	0	1	0
LINC01871	0	2	0	1	1	0
LOC105373408	0	0	0	0	0	1
LOC101929861	0	1	0	0	2	1
LOC105373409	2	2	2	0	3	1
LOC101929551	0	1	0	1	1	1
LINC00298	0	1	0	0	1	0
LINC00299	0	4	4	0	2	2
LINC01814	3	6	1	2	8	6
LOC105373411	0	4	2	0	3	3
ID2-AS1	67	32	38	56	39	41
ID2	1018	924	847	887	1204	1098
LOC107985849	0	2	1	0	0	0
KIDINS220	16500	11034	9614	12245	9483	9335
MBOAT2	1933	470	468	844	292	249
LOC105373414	0	1	0	0	4	0
LOC105373416	1	1	1	0	2	1
LOC105373415	0	0	0	0	0	0
LOC105373417	2	2	0	0	2	0
LOC100506317	9	4	7	6	2	5
ASAP2	9357	5536	5607	10700	6712	7175
LOC107985851	262	139	124	269	126	209
ITGB1BP1	6420	3957	3786	6176	3655	4009
CPSF3	4955	2522	2613	5129	2338	2407
IAH1	5019	2694	2584	4691	2846	3069
ADAM17	5626	3595	3444	6696	4711	4781
LOC107985850	17	8	8	12	9	14
LOC101929643	28	19	19	17	12	23
YWHAQ	37920	14930	15899	35339	14714	14933
LOC105373418	2	0	0	0	0	0
LOC105373419	0	0	0	0	0	0
LOC100996549	1	1	0	1	2	0
LOC105373421	0	0	0	0	1	0
TAF1B	2556	1332	1345	2417	1396	1349
LOC105373422	77	50	49	70	57	68
GRHL1	47	36	23	66	42	42
LOC107985852	0	0	0	0	2	0
LOC112268412	154	102	100	129	94	84
KLF11-DT	34	21	18	25	24	9
KLF11	1875	1537	1324	1435	1440	1458
CYS1	1	0	2	1	3	5
RRM2	8552	1581	2615	11556	1687	2492
MIR4261	0	0	0	0	0	0
LOC105373424	6	4	4	11	2	4
LOC101929691	16	8	18	16	14	14
HPCAL1	2469	2103	1992	2572	1974	2057
ODC1	5941	3830	3910	6069	2783	2761
SNORA80B	283	258	380	348	259	259
ODC1-DT	22	36	19	21	22	20
LOC105373426	0	3	1	1	3	1
NOL10	3249	1765	1747	3183	1779	1932
RN7SL832P	34	17	17	22	19	16
ATP6V1C2	11131	5781	5914	13059	6984	7371
LOC105373428	32	42	39	51	43	50
PDIA6	41420	23454	23557	50068	28017	30011
LINC01954	0	0	0	0	0	0
KCNF1	116	54	54	89	66	69
FLJ33534	16	16	8	11	5	8
C2orf50	23	41	27	22	24	22
SLC66A3	5405	3193	3096	4383	3055	2832
ROCK2	17940	11293	9698	18872	11648	10989
LINC00570	1	1	1	0	1	0
LOC105373429	6	7	9	5	4	7
E2F6	1794	1001	915	2081	1150	1203
GREB1	32	29	39	24	28	33
MIR4429	0	0	0	0	0	0
NTSR2	0	0	1	0	4	1
LPIN1	4518	3074	2969	9028	5829	6038
LOC100506405	40	30	42	24	21	33
LOC101929752	0	6	0	0	1	2
MIR548S	2	2	1	2	4	5
LOC105373430	4	1	0	2	4	2
MIR4262	0	2	0	0	0	0
MIR3681HG	2	2	1	0	3	0
LOC105373433	0	0	2	0	1	1
LOC105373432	0	1	0	0	0	1
MIR3681	0	0	1	0	0	0
LOC105373431	0	0	0	0	0	0
LOC107985853	1	1	1	0	0	1
TRIB2	10524	5333	5264	10303	5786	6158
MIR3125	17	12	11	13	6	10
LOC100506474	254	71	54	211	43	51
LOC105373436	87	40	24	75	22	23
LOC105373484	39	10	8	16	6	11
LOC105373437	13	5	2	15	3	4
LOC105373485	0	4	1	0	0	0
LOC105373438	0	1	0	0	0	0
LOC107985854	0	1	1	0	1	2
LINC00276	0	3	0	0	0	2
LRATD1	67	44	46	65	52	83
NBAS	21749	11398	10673	15495	8713	8769
LOC105373440	10	3	5	1	1	0
DDX1	15900	5907	6357	18105	6954	7176
LINC01804	0	0	0	0	1	0
MYCNUT	0	1	1	2	3	1
MYCNOS	89	76	75	54	50	44
MYCN	787	716	600	339	406	409
GACAT3	0	0	1	0	1	0
LOC105373443	0	0	0	0	2	0
LOC107985855	0	1	0	0	0	0
LOC105373444	0	2	0	0	0	0
CYRIA	9832	5920	6109	9458	6067	6276
LINC01866	1	1	0	0	0	1
LOC105373447	0	0	0	0	0	0
LOC105373448	0	0	0	0	0	0
RAD51AP2	0	3	0	0	2	0
VSNL1	10	11	8	30	9	16
SMC6	7471	4148	3831	8780	4499	4471
GEN1	3888	1510	1460	4760	1546	1664
LOC105373449	169	84	46	221	76	69
MSGN1	0	0	0	0	0	0
LOC112267888	0	0	0	0	0	0
KCNS3	10	7	7	20	6	14
LOC105373451	2	5	1	2	3	1
LOC105373454	10	4	6	15	10	3
NT5C1B-RDH14	1111	635	595	1208	759	777
RDH14	1152	664	630	1259	808	820
LOC105373456	183	84	58	187	79	92
NT5C1B	41	18	9	33	10	15
LINC01376	23	17	15	14	10	15
LOC105373455	42	23	14	39	17	24
MIR4757	0	0	1	1	1	0
OSR1	11	6	3	17	5	7
LOC101928196	1	1	1	0	0	0
LOC105373458	2	4	1	0	2	2
LINC01808	8	2	2	2	6	2
LOC105373459	10	2	0	2	2	3
LOC105373461	1	1	0	0	2	0
LINC00954	87	57	39	54	32	51
TTC32	621	276	269	718	316	310
WDR35	2485	1339	1355	1821	1114	1158
WDR35-DT	7	7	4	8	10	8
MATN3	601	274	333	639	278	313
LAPTM4A	21882	9721	9819	26273	12344	12951
LAPTM4A-DT	12	10	3	11	3	12
LOC107985807	1	1	0	0	0	0
SDC1	42	51	67	31	58	68
PUM2	13012	7329	6616	11652	6852	7687
LOC105373465	0	1	0	0	0	0
RHOB	67848	21373	20414	73539	44016	42249
LOC107985856	0	0	0	1	1	1
LOC102724948	1	2	1	1	0	0
HS1BP3	4285	3613	3580	3023	3197	3100
HS1BP3-IT1	57	18	13	38	19	26
LOC105373466	0	0	0	5	4	2
GDF7	18249	1889	1735	14135	1698	1596
LDAH	2710	1592	1335	2289	1479	1438
LINC02850	0	0	0	1	0	1
APOB	168	23	22	236	36	32
TDRD15	3	2	0	1	3	2
LOC105374317	8	1	0	0	3	1
LOC105374318	2	2	0	0	2	0
LOC100507562	0	0	0	0	0	0
LOC107984020	2	0	0	0	0	0
LOC101929230	1	4	1	0	2	3
LINC01822	0	0	0	0	0	0
LOC105374320	0	3	0	0	1	0
LINC01830	0	0	0	0	1	0
LINC01884	0	0	0	0	0	0
LOC107985857	0	1	0	0	0	0
LOC101929251	0	7	0	0	1	4
LOC107985792	0	1	0	0	0	0
LOC107985859	0	0	0	0	0	0
LOC107985858	0	3	2	0	5	1
LOC102723389	0	2	2	0	5	0
LINC02923	16	7	4	4	5	8
KLHL29	783	463	469	1058	675	836
LOC105374325	58	23	21	57	27	45
LOC102723401	27	13	19	35	24	23
ATAD2B	5628	2940	2395	5532	2881	3196
UBXN2A	3210	1837	1910	4007	2305	2466
MFSD2B	374	109	123	367	135	131
WDCP	1784	922	912	2068	1078	1060
FKBP1B	2432	1120	1187	3224	1522	1601
SF3B6	6350	2772	2978	6435	3102	3283
FAM228B	1146	684	663	686	543	499
TP53I3	8091	4465	4922	5093	3379	3654
PFN4	180	118	87	131	93	74
LOC105374328	16	12	11	9	9	11
FAM228A	18	31	27	33	30	25
ITSN2	13348	7402	6466	11631	7630	7765
LOC105374329	2	0	0	1	0	1
NCOA1	4411	3090	2751	5747	3272	3543
PTRHD1	1673	979	1024	1433	980	976
LOC105369164	19	6	9	14	5	8
CENPO	2829	1330	1367	3182	1265	1431
ADCY3	2194	1050	1091	2592	1083	1251
LOC105377626	14	7	4	13	6	6
DNAJC27	494	308	259	498	279	315
DNAJC27-AS1	12	15	14	6	8	11
EFR3B	256	96	99	276	120	166
POMC	79	82	77	105	94	83
LINC01381	0	0	0	0	4	0
DNMT3A	5635	3866	3511	4938	3206	3585
MIR1301	5	5	4	1	3	1
DTNB	903	558	529	871	454	502
DTNB-AS1	56	38	30	53	36	38
LOC105374332	0	0	0	0	1	1
ASXL2	5623	4994	4539	5654	4447	5044
KIF3C	6154	5305	4672	5188	4733	4991
RAB10	16181	8230	8056	21228	10731	10846
LOC105374333	40	17	18	59	26	34
GAREM2	131	82	61	140	71	82
HADHA	31196	19307	19279	27835	15893	17156
HADHB	25289	14267	14209	21332	13149	13335
LOC105374334	79	40	34	169	77	107
ADGRF3	126	73	60	239	117	125
SELENOI	4167	1628	1654	6279	2429	2477
DRC1	14	4	3	13	6	7
OTOF	4646	755	726	11025	1296	1660
FAM166C	1	3	2	1	7	4
CIB4	0	1	1	0	4	1
KCNK3	0	1	3	0	5	6
SLC35F6	7146	9612	8281	8464	8378	8398
CENPA	1255	193	364	1339	232	343
DPYSL5	0	1	1	1	6	2
MAPRE3	577	265	252	425	189	201
MAPRE3-AS1	6	7	2	6	4	7
TMEM214	8448	3566	3383	7632	3440	3648
AGBL5-AS1	8	4	3	5	4	9
TRY-GTA2-1	83	76	86	109	103	71
AGBL5	8730	5054	5003	6084	4369	4384
OST4	15379	9468	9090	12062	8941	8875
EMILIN1	8316	6652	6153	8146	6538	7470
KHK	458	227	247	437	200	228
CGREF1	186	119	97	181	135	133
ABHD1	634	361	324	605	378	384
PREB	4016	2246	2099	3957	2521	2492
PRR30	0	3	0	0	2	3
TCF23	0	3	3	1	2	4
SLC5A6	2500	1384	1272	3289	2061	2016
ATRAID	8277	5131	5009	7750	5503	5319
CAD	5953	3465	3260	5513	2392	3071
SLC30A3	9256	8656	7400	10971	9540	9838
DNAJC5G	519	407	260	767	635	669
TRIM54	357	228	180	493	440	490
UCN	52	49	44	60	65	46
MPV17	5146	2999	2978	5125	3279	3259
GTF3C2	4503	2444	2481	4323	2459	2601
GTF3C2-AS1	388	233	235	405	224	231
GTF3C2-AS2	215	141	124	184	121	119
EIF2B4	2763	1926	1821	2502	1716	1972
SNX17	13202	7030	7158	11955	6859	7184
ZNF513	1447	816	745	1272	870	960
PPM1G	13980	7150	7526	13181	6352	6465
FTH1P3	457	75	63	454	89	101
NRBP1	14225	7514	7669	15130	8465	8750
KRTCAP3	68	44	41	57	33	44
IFT172	1744	937	984	1490	762	908
FNDC4	902	694	671	311	358	376
GCKR	2	2	3	2	4	1
C2orf16	163	109	107	136	98	115
ZNF512	4491	2797	2554	4354	2871	3042
CCDC121	450	276	278	331	233	249
GPN1	4092	2095	2088	4170	2127	2256
SUPT7L	5309	2936	2743	5203	3209	3317
SLC4A1AP	3671	2112	2056	4158	2532	2568
LINC01460	1	0	1	5	2	0
LOC105374378	0	1	1	0	1	2
MRPL33	5940	2340	2540	5022	2453	2526
RBKS	271	118	130	269	115	139
BABAM2	4762	2796	2765	3691	2422	2488
BABAM2-AS1	237	143	135	381	207	226
LOC105374369	22	11	7	19	14	7
MIR4263	31	16	11	20	13	12
LOC100505736	86	37	17	61	34	42
LOC100505716	117	69	51	80	57	77
LOC105374381	1	2	3	2	4	0
LOC105374382	4	8	4	5	4	5
LOC105374383	1	0	1	0	3	1
FOSL2-AS1	61	18	23	58	28	26
FOSL2	26336	7808	6931	36951	12706	13431
LOC102723530	0	0	1	0	1	0
PLB1	56	39	24	53	33	24
LOC105374384	0	2	0	0	0	1
LOC100505774	1	5	4	1	0	2
PPP1CB-DT	100	62	44	71	40	57
PPP1CB	24724	12347	11824	21360	11669	12046
SPDYA	207	102	90	198	93	100
TRMT61B	1005	562	506	1063	552	607
WDR43	5829	2917	2937	7790	3992	3859
SNORD92	10	8	2	8	1	6
SNORD53	9	7	6	15	10	12
SNORD53B	2	0	5	11	5	3
TOGARAM2	43	20	21	22	13	8
PCARE	0	2	0	0	1	1
LOC105374386	0	0	0	0	0	1
CLIP4	3046	1889	1752	3429	2401	2599
ALK	49	30	28	47	28	48
LOC101929386	0	4	1	0	9	0
LOC105374389	0	1	0	0	3	0
LOC101929418	22	12	14	14	14	8
YPEL5	16591	10651	10037	16353	12248	12455
LOC105374414	2	3	4	4	2	0
SNORA10B	81	66	107	83	83	76
LBH	8986	3082	2942	8685	4549	4403
LOC102723594	3	1	0	2	0	0
LINC01936	15	9	7	27	12	4
LCLAT1	3258	1493	1430	3706	1764	1760
CAPN13	0	7	3	0	14	4
LOC105374435	0	0	1	0	3	1
GALNT14	3	11	4	3	9	10
LOC107985861	0	1	0	0	1	0
CAPN14	14	9	15	10	10	8
EHD3	1484	1927	1860	1355	1621	1539
XDH	0	3	1	1	2	3
SRD5A2	3	3	3	3	4	5
LOC107985862	2	1	1	2	1	3
LOC107985863	2	1	1	1	0	3
LINC01946	1	0	0	0	0	0
MEMO1	4142	2297	2317	3311	2088	2158
DPY30	2464	1362	1332	2289	1372	1392
SPAST	5061	2683	2472	4048	2578	2263
SLC30A6	3976	2419	2156	3755	2554	2350
NLRC4	58	29	27	47	28	20
YIPF4	7718	4578	4282	6206	4532	4371
BIRC6	52515	27446	24760	49642	26994	26679
MIR558	5	1	0	6	5	4
BIRC6-AS2	49	25	12	31	19	33
TTC27	2831	1829	1784	3258	1833	2027
MIR4765	0	0	0	1	0	1
LINC00486	117	133	110	83	103	117
LOC105374453	0	0	0	0	0	0
LTBP1	9976	19553	16787	10334	19843	19846
MIR4430	3	1	0	1	1	2
RASGRP3	22027	19363	17755	30232	23334	23619
RASGRP3-AS1	616	623	439	815	660	728
FAM98A	4398	3665	3372	4729	3355	3719
LOC105374455	3	1	0	3	2	0
LOC107985864	2	0	0	1	2	1
LINC01317	0	0	1	0	1	0
MYADML	0	4	1	0	1	1
LOC105374456	0	0	0	0	0	0
LINC01318	0	0	0	0	1	0
LOC105374457	0	0	0	0	2	1
LOC105374459	0	2	0	0	2	0
LINC01320	1	1	0	0	0	0
LOC107985865	0	0	0	0	0	0
LOC105374458	0	0	0	3	0	1
LOC105374461	0	0	0	0	0	1
LOC107985808	0	0	0	0	0	0
MIR548AD	0	0	0	0	0	0
LOC107985866	0	0	0	0	0	0
CRIM1-DT	1991	692	744	1766	771	807
CRIM1	152635	46839	48581	146772	55645	66091
FEZ2	9454	5349	5258	9736	5695	5778
VIT	5	1	2	3	0	0
STRN	14262	7866	7275	13458	8012	8156
HEATR5B	11173	5986	5357	8083	4733	4734
GPATCH11	1512	958	1027	1301	616	684
EIF2AK2	10385	5863	5814	52134	30956	30573
SULT6B1	0	0	0	0	0	0
CEBPZOS	3354	1811	1829	2919	1822	1856
CEBPZ	6281	3465	3321	7912	4434	4284
NDUFAF7	3353	1927	1723	3227	1990	1968
PRKD3	9286	5488	5121	9032	5917	5590
PRKD3-DT	3	8	3	9	7	2
QPCT	88	25	42	93	26	40
LOC107985868	0	0	0	1	0	1
LINC03063	27	10	11	18	6	13
CDC42EP3	2458	1400	1398	2652	1640	1780
LOC107985870	4	2	2	6	2	1
LOC105374465	1	1	0	0	0	1
LOC107985869	8	4	2	1	9	2
PIRAT1	26	22	17	16	14	19
RMDN2	204	102	109	197	102	102
RMDN2-AS1	1	3	3	2	1	1
LOC107985872	0	0	0	0	0	0
CYP1B1	28	3	1	71	0	5
LOC105374466	0	0	0	0	0	0
CYP1B1-AS1	0	3	0	0	0	0
LOC107985871	0	2	0	0	0	1
LOC102723739	0	1	0	0	0	0
LOC105374467	0	0	0	0	0	0
ATL2	4463	2248	2191	4454	2371	2303
LOC105374468	0	0	0	0	0	1
LINC01883	0	0	0	0	0	0
LINC02613	0	3	0	0	0	0
HNRNPLL	7079	3739	3784	6923	3910	4027
GALM	614	521	508	974	613	672
SRSF7	11218	5261	5454	13153	6385	6681
GEMIN6	1108	582	623	1249	591	661
DHX57	3304	1856	1841	3370	1815	1940
LOC105374470	13	7	2	15	9	11
MORN2	618	329	355	562	310	327
ARHGEF33	80	62	41	81	40	43
LOC105374471	7	6	8	0	6	2
LOC375196	15	9	11	10	5	11
SOS1	7325	4014	3488	6636	3785	3852
CDKL4	222	83	94	131	67	66
MAP4K3	4296	2089	1963	4084	2130	2245
MAP4K3-DT	238	119	122	232	103	85
TMEM178A	112	50	36	92	44	64
THUMPD2	879	431	405	908	439	537
LOC112268436	0	0	0	0	5	0
SLC8A1-AS1	0	1	0	1	0	0
SLC8A1	0	7	2	6	9	7
LOC101929667	0	1	1	0	0	0
LOC105374473	0	1	0	0	2	0
LOC105374475	2	0	0	0	1	0
LOC105374497	1	3	1	1	0	0
LOC105374491	0	1	0	0	1	0
LINC01794	0	2	0	2	6	0
LOC105374506	0	7	1	1	1	3
LINC01913	1	0	0	0	0	1
LINC01914	0	0	0	1	1	0
LINC02898	0	3	2	0	4	3
LOC105374517	0	1	1	0	2	7
PKDCC	192	167	188	104	169	164
LOC105374531	0	0	1	0	0	0
EML4-AS1	13	13	6	8	10	3
EML4	5292	3229	3305	5140	2967	3128
LOC107985874	13	4	4	14	7	4
LOC107985873	126	86	89	143	87	103
COX7A2L	10136	5936	5942	8444	5467	5415
LOC105374537	0	0	0	0	0	0
KCNG3	0	1	1	0	3	0
MTA3	4067	3030	2839	2625	2143	2331
LOC105374555	64	30	20	37	34	40
OXER1	19	9	5	6	6	12
HAAO	30	34	25	20	24	17
LOC107985875	55	48	54	70	50	39
TRI-TAT2-1	16	21	17	22	23	19
LOC105374567	16	14	10	6	12	14
LOC105374568	5	4	5	4	4	3
LOC112268413	1	1	2	0	1	1
LINC01819	4	7	10	1	3	2
LOC107985876	1	7	2	0	2	0
LINC02580	1	1	1	0	4	0
LOC105374570	2	17	11	3	9	8
ZFP36L2	3278	3178	2947	4107	3201	3610
LINC01126	122	65	62	125	89	78
THADA	5611	2757	2570	5332	2563	2673
LOC107985877	94	54	57	88	53	53
PLEKHH2	4	4	3	6	5	7
C1GALT1C1L	0	1	1	0	0	0
DYNC2LI1	1020	621	577	991	549	541
LOC105374571	18	5	9	7	4	4
ABCG5	12	3	2	10	5	4
ABCG8	29	13	11	19	28	21
LOC102725159	0	0	0	0	0	0
LRPPRC	18919	10121	10110	16663	8395	8551
LOC102723904	70	59	48	83	62	63
PPM1B	4282	2133	2145	5003	2451	2486
SLC3A1	1503	723	643	1136	590	569
PREPL	4941	2441	2278	3547	1944	2002
CAMKMT	557	321	248	519	291	347
LOC107985878	16	17	11	21	17	19
LOC105374573	0	0	1	0	1	0
LINC01833	1	4	1	0	0	2
SIX3-AS1	0	0	0	0	2	1
SIX3	0	5	2	0	5	5
SIX2	0	2	3	1	3	3
LOC107985809	0	5	1	0	0	2
LINC01121	2	3	2	2	5	4
LOC105374576	2	2	0	2	0	1
LOC105374577	2	0	1	1	0	1
SRBD1	5964	2813	2904	5228	2817	2950
LOC102724965	256	112	113	382	168	165
PRKCE	6648	2830	2721	7119	3149	3550
PRKCE-AS1	39	12	15	59	22	23
LOC101926974	14	10	11	8	10	15
LOC105374581	5	5	6	2	0	2
EPAS1	92103	48538	47405	53667	38555	43470
LINC01820	6	4	0	12	4	0
LINC02583	0	2	0	0	1	0
TMEM247	0	1	1	0	2	1
ATP6V1E2	217	95	84	166	85	99
RHOQ	3831	2312	2370	2634	2071	2200
RHOQ-AS1	49	23	24	41	29	32
PIGF	1886	1172	1171	1616	1167	1208
CRIPT	2601	1298	1279	1980	1191	1236
LOC105374584	88	71	52	54	34	71
SOCS5	2786	2556	2332	2578	2694	2545
LINC01118	5	8	7	6	3	3
LINC01119	21	18	12	25	23	28
LOC107985880	9	9	7	7	10	15
MCFD2	35541	26233	25225	33789	27443	26674
TTC7A	1570	987	923	1951	1031	1316
STPG4	19	28	14	18	14	17
CALM2	48184	21905	21829	48202	22975	22973
EPCAM-DT	179	172	123	140	156	143
LOC105374588	4	1	3	4	2	3
LOC107985882	2	0	0	2	0	0
BCYRN1	321	143	205	134	92	112
EPCAM	28	21	20	28	27	18
MIR559	0	0	0	0	0	0
MSH2	5702	2550	2664	5944	2343	2388
KCNK12	43	38	26	22	21	24
MSH2-OT1	1	0	1	2	3	1
LOC440864	0	1	0	0	0	0
LOC105374589	0	0	0	0	0	0
MSH6	6469	3418	3426	6988	3241	3356
FBXO11	5096	3966	3652	4814	3552	3685
LOC100506235	87	49	47	60	47	47
LOC105374590	7	12	9	6	12	12
LOC105374592	0	0	0	0	1	1
LOC105374591	1	1	1	1	2	1
LOC105374593	0	1	1	1	1	3
LOC102724008	1	0	0	2	2	5
FOXN2	6305	3359	3343	7911	4540	4284
PPP1R21	2668	1703	1642	2272	1286	1622
STON1-GTF2A1L	531	777	689	252	449	442
STON1	1558	2201	1927	700	1321	1217
GTF2A1L	3	2	3	1	2	1
LHCGR	0	4	4	1	2	2
LOC105374594	0	0	1	0	1	1
FSHR	0	10	2	2	6	5
MIR548BA	0	1	1	0	0	0
LOC107985810	0	0	0	0	0	0
LOC105374595	1	1	0	0	2	1
NRXN1	3	12	0	2	7	3
LOC101927089	0	0	0	0	0	0
MIR8485	0	0	0	0	0	0
LOC730100	1	1	0	0	2	0
LOC105377627	0	0	0	0	2	0
LOC105374597	1	2	0	0	0	1
LOC107985766	0	0	0	0	0	0
LINC01867	0	0	0	0	0	0
LOC105374598	0	0	1	0	0	0
LOC107985883	0	0	0	0	2	0
MIR4431	0	0	0	0	0	0
LOC105369165	0	2	0	0	0	0
LOC105374600	0	0	1	1	2	0
LOC105374601	1	3	0	2	0	1
ASB3	1590	708	685	1526	771	820
GPR75-ASB3	1334	614	606	1281	662	707
CHAC2	1072	249	309	1078	364	370
ERLEC1	9669	5888	5676	9937	7044	7044
LOC112268415	1115	614	541	1133	714	720
MIR3682	16	7	3	13	3	7
GPR75	272	139	123	253	120	145
PSME4	15169	6909	6724	13548	6643	7171
ACYP2	734	611	628	615	580	568
LOC105374615	3	4	0	2	0	3
TSPYL6	12	6	4	8	5	6
LOC105374610	33	16	12	34	14	19
C2orf73	14	20	18	6	11	6
LOC102724072	56	37	32	48	33	40
SPTBN1	304738	215583	197083	203551	167920	175879
SPTBN1-AS1	327	167	93	257	110	183
RPL23AP32	350	142	101	257	109	174
