title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	characteristics_ch1.3	characteristics_ch1.4	treatment_protocol_ch1	treatment_protocol_ch1.1	growth_protocol_ch1	molecule_ch1	extract_protocol_ch1	extract_protocol_ch1.1	taxid_ch1	data_processing	data_processing.1	data_processing.2	data_processing.3	data_processing.4	platform_id	contact_name	contact_email	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	data_row_count	instrument_model	library_selection	library_source	library_strategy	relation	relation.1	supplementary_file_1	cell line:ch1	cell type:ch1	genotype:ch1	time:ch1	treatment:ch1	series_id
WT_NI_2	GSM6506628	Public on Feb 08 2023	Aug 24 2022	May 10 2023	SRA	1	THP-1	Homo sapiens	cell line: THP-1	cell type: Macrophage	genotype: WT	treatment: None		THP-1 monocytes were differentiated with 100 ng/ml phorbol ester 13-phorbol-12-myristate acetate (PMA) for 72 h.	THP-1 cells were infected with Mtb mc26206 growing in log-phase at a multiplicity of infection (MOI) of 10 for 16 h. Extracellular, non-phagocytosed bacteria were removed by three phosphate buffered saline (PBS) washes. Infection was continued at 37°C for a total infection time of 48 h.	RPMI 1640, 10% heat-inactivated fetal bovine serum, 2 mM glutamine, 10 mM HEPES, 100 I.U./ml  penicillin, μg/ml streptomycin  Cells were cultured at 37°C at 5% CO2.	total RNA	RNA was harvested using Aurum™ Total RNA Mini Kit (Bio-Rad) as per the manufacturer’s protocols. All samples were incubated in lysis buffer for 20 minutes to inactivate bacteria in Mtb-infected samples.	cDNA libraries were generated from mRNA samples with the NEB Ultra II Directional polyA mRNA library prep kit for Illumina.	9606	RNA-seq sequence reads were trimmed using fastp v0.20.1 with the parameters --length_required 25,  --cut_tail, cut_tail_window_size 4, --cut_tail_mean_quality 20, --disable_quality_filtering, --overrepresentation_analysis	Filtered reads were aligned to the human hg38 genome using STAR v2.7.5a, with the parameters --outReadsUnmapped Fastx, --outFilterMatchNminOverLread 0.50, --outFilterScoreMinOverLread 0.50 --outSAMmapqUnique 40, --outFilterMultimapNmax 1 and duplicate reads were marked with Picard  (Picard Tools).	Subread featureCounts was used to assign reads to gene exons and to summarize counts at the gene level. Represented genes were annotated using biomaRt.	Assembly: hg38	Supplementary files format and content: RNA-seq read counts over exons and summarized over genes	GPL24676	Alexandre,,Blais	alexandre.blais@uottawa.ca	University of Ottawa	451 Smyth Road	Ottawa	ON	K1H 8M5	Canada	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN30479016	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX17238149	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6506nnn/GSM6506628/suppl/GSM6506628_WT_NoInfect_NoTreat_rep2.counts_s2.txt.gz	THP-1	Macrophage	WT	NA	None	GSE211974
WT_NI_3	GSM6506629	Public on Feb 08 2023	Aug 24 2022	May 10 2023	SRA	1	THP-1	Homo sapiens	cell line: THP-1	cell type: Macrophage	genotype: WT	treatment: None		THP-1 monocytes were differentiated with 100 ng/ml phorbol ester 13-phorbol-12-myristate acetate (PMA) for 72 h.	THP-1 cells were infected with Mtb mc26206 growing in log-phase at a multiplicity of infection (MOI) of 10 for 16 h. Extracellular, non-phagocytosed bacteria were removed by three phosphate buffered saline (PBS) washes. Infection was continued at 37°C for a total infection time of 48 h.	RPMI 1640, 10% heat-inactivated fetal bovine serum, 2 mM glutamine, 10 mM HEPES, 100 I.U./ml  penicillin, μg/ml streptomycin  Cells were cultured at 37°C at 5% CO2.	total RNA	RNA was harvested using Aurum™ Total RNA Mini Kit (Bio-Rad) as per the manufacturer’s protocols. All samples were incubated in lysis buffer for 20 minutes to inactivate bacteria in Mtb-infected samples.	cDNA libraries were generated from mRNA samples with the NEB Ultra II Directional polyA mRNA library prep kit for Illumina.	9606	RNA-seq sequence reads were trimmed using fastp v0.20.1 with the parameters --length_required 25,  --cut_tail, cut_tail_window_size 4, --cut_tail_mean_quality 20, --disable_quality_filtering, --overrepresentation_analysis	Filtered reads were aligned to the human hg38 genome using STAR v2.7.5a, with the parameters --outReadsUnmapped Fastx, --outFilterMatchNminOverLread 0.50, --outFilterScoreMinOverLread 0.50 --outSAMmapqUnique 40, --outFilterMultimapNmax 1 and duplicate reads were marked with Picard  (Picard Tools).	Subread featureCounts was used to assign reads to gene exons and to summarize counts at the gene level. Represented genes were annotated using biomaRt.	Assembly: hg38	Supplementary files format and content: RNA-seq read counts over exons and summarized over genes	GPL24676	Alexandre,,Blais	alexandre.blais@uottawa.ca	University of Ottawa	451 Smyth Road	Ottawa	ON	K1H 8M5	Canada	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN30479015	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX17238148	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6506nnn/GSM6506629/suppl/GSM6506629_WT_NoInfect_NoTreat_rep3.counts_s2.txt.gz	THP-1	Macrophage	WT	NA	None	GSE211974
PPM1A KO_NI_2	GSM6506630	Public on Feb 08 2023	Aug 24 2022	May 10 2023	SRA	1	THP-1	Homo sapiens	cell line: THP-1	cell type: Macrophage	genotype: PPM1A knockout	treatment: None		THP-1 monocytes were differentiated with 100 ng/ml phorbol ester 13-phorbol-12-myristate acetate (PMA) for 72 h.	THP-1 cells were infected with Mtb mc26206 growing in log-phase at a multiplicity of infection (MOI) of 10 for 16 h. Extracellular, non-phagocytosed bacteria were removed by three phosphate buffered saline (PBS) washes. Infection was continued at 37°C for a total infection time of 48 h.	RPMI 1640, 10% heat-inactivated fetal bovine serum, 2 mM glutamine, 10 mM HEPES, 100 I.U./ml  penicillin, μg/ml streptomycin  Cells were cultured at 37°C at 5% CO2.	total RNA	RNA was harvested using Aurum™ Total RNA Mini Kit (Bio-Rad) as per the manufacturer’s protocols. All samples were incubated in lysis buffer for 20 minutes to inactivate bacteria in Mtb-infected samples.	cDNA libraries were generated from mRNA samples with the NEB Ultra II Directional polyA mRNA library prep kit for Illumina.	9606	RNA-seq sequence reads were trimmed using fastp v0.20.1 with the parameters --length_required 25,  --cut_tail, cut_tail_window_size 4, --cut_tail_mean_quality 20, --disable_quality_filtering, --overrepresentation_analysis	Filtered reads were aligned to the human hg38 genome using STAR v2.7.5a, with the parameters --outReadsUnmapped Fastx, --outFilterMatchNminOverLread 0.50, --outFilterScoreMinOverLread 0.50 --outSAMmapqUnique 40, --outFilterMultimapNmax 1 and duplicate reads were marked with Picard  (Picard Tools).	Subread featureCounts was used to assign reads to gene exons and to summarize counts at the gene level. Represented genes were annotated using biomaRt.	Assembly: hg38	Supplementary files format and content: RNA-seq read counts over exons and summarized over genes	GPL24676	Alexandre,,Blais	alexandre.blais@uottawa.ca	University of Ottawa	451 Smyth Road	Ottawa	ON	K1H 8M5	Canada	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN30479014	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX17238146	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6506nnn/GSM6506630/suppl/GSM6506630_PPM1A_KO_NoInfect_NoTreat_rep2.counts_s2.txt.gz	THP-1	Macrophage	PPM1A knockout	NA	None	GSE211974
PPM1A KO_NI_3	GSM6506631	Public on Feb 08 2023	Aug 24 2022	May 10 2023	SRA	1	THP-1	Homo sapiens	cell line: THP-1	cell type: Macrophage	genotype: PPM1A knockout	treatment: None		THP-1 monocytes were differentiated with 100 ng/ml phorbol ester 13-phorbol-12-myristate acetate (PMA) for 72 h.	THP-1 cells were infected with Mtb mc26206 growing in log-phase at a multiplicity of infection (MOI) of 10 for 16 h. Extracellular, non-phagocytosed bacteria were removed by three phosphate buffered saline (PBS) washes. Infection was continued at 37°C for a total infection time of 48 h.	RPMI 1640, 10% heat-inactivated fetal bovine serum, 2 mM glutamine, 10 mM HEPES, 100 I.U./ml  penicillin, μg/ml streptomycin  Cells were cultured at 37°C at 5% CO2.	total RNA	RNA was harvested using Aurum™ Total RNA Mini Kit (Bio-Rad) as per the manufacturer’s protocols. All samples were incubated in lysis buffer for 20 minutes to inactivate bacteria in Mtb-infected samples.	cDNA libraries were generated from mRNA samples with the NEB Ultra II Directional polyA mRNA library prep kit for Illumina.	9606	RNA-seq sequence reads were trimmed using fastp v0.20.1 with the parameters --length_required 25,  --cut_tail, cut_tail_window_size 4, --cut_tail_mean_quality 20, --disable_quality_filtering, --overrepresentation_analysis	Filtered reads were aligned to the human hg38 genome using STAR v2.7.5a, with the parameters --outReadsUnmapped Fastx, --outFilterMatchNminOverLread 0.50, --outFilterScoreMinOverLread 0.50 --outSAMmapqUnique 40, --outFilterMultimapNmax 1 and duplicate reads were marked with Picard  (Picard Tools).	Subread featureCounts was used to assign reads to gene exons and to summarize counts at the gene level. Represented genes were annotated using biomaRt.	Assembly: hg38	Supplementary files format and content: RNA-seq read counts over exons and summarized over genes	GPL24676	Alexandre,,Blais	alexandre.blais@uottawa.ca	University of Ottawa	451 Smyth Road	Ottawa	ON	K1H 8M5	Canada	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN30479013	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX17238158	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6506nnn/GSM6506631/suppl/GSM6506631_PPM1A_KO_NoInfect_NoTreat_rep3.counts_s2.txt.gz	THP-1	Macrophage	PPM1A knockout	NA	None	GSE211974
PPM1A OE_NI_2	GSM6506632	Public on Feb 08 2023	Aug 24 2022	May 10 2023	SRA	1	THP-1	Homo sapiens	cell line: THP-1	cell type: Macrophage	genotype: PPM1A overexpression	treatment: None		THP-1 monocytes were differentiated with 100 ng/ml phorbol ester 13-phorbol-12-myristate acetate (PMA) for 72 h.	THP-1 cells were infected with Mtb mc26206 growing in log-phase at a multiplicity of infection (MOI) of 10 for 16 h. Extracellular, non-phagocytosed bacteria were removed by three phosphate buffered saline (PBS) washes. Infection was continued at 37°C for a total infection time of 48 h.	RPMI 1640, 10% heat-inactivated fetal bovine serum, 2 mM glutamine, 10 mM HEPES, 100 I.U./ml  penicillin, μg/ml streptomycin  Cells were cultured at 37°C at 5% CO2.	total RNA	RNA was harvested using Aurum™ Total RNA Mini Kit (Bio-Rad) as per the manufacturer’s protocols. All samples were incubated in lysis buffer for 20 minutes to inactivate bacteria in Mtb-infected samples.	cDNA libraries were generated from mRNA samples with the NEB Ultra II Directional polyA mRNA library prep kit for Illumina.	9606	RNA-seq sequence reads were trimmed using fastp v0.20.1 with the parameters --length_required 25,  --cut_tail, cut_tail_window_size 4, --cut_tail_mean_quality 20, --disable_quality_filtering, --overrepresentation_analysis	Filtered reads were aligned to the human hg38 genome using STAR v2.7.5a, with the parameters --outReadsUnmapped Fastx, --outFilterMatchNminOverLread 0.50, --outFilterScoreMinOverLread 0.50 --outSAMmapqUnique 40, --outFilterMultimapNmax 1 and duplicate reads were marked with Picard  (Picard Tools).	Subread featureCounts was used to assign reads to gene exons and to summarize counts at the gene level. Represented genes were annotated using biomaRt.	Assembly: hg38	Supplementary files format and content: RNA-seq read counts over exons and summarized over genes	GPL24676	Alexandre,,Blais	alexandre.blais@uottawa.ca	University of Ottawa	451 Smyth Road	Ottawa	ON	K1H 8M5	Canada	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN30479012	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX17238157	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6506nnn/GSM6506632/suppl/GSM6506632_PPM1A_OE_NoInfect_NoTreat_rep2.counts_s2.txt.gz	THP-1	Macrophage	PPM1A overexpression	NA	None	GSE211974
PPM1A OE_NI_3	GSM6506633	Public on Feb 08 2023	Aug 24 2022	May 10 2023	SRA	1	THP-1	Homo sapiens	cell line: THP-1	cell type: Macrophage	genotype: PPM1A overexpression	treatment: None		THP-1 monocytes were differentiated with 100 ng/ml phorbol ester 13-phorbol-12-myristate acetate (PMA) for 72 h.	THP-1 cells were infected with Mtb mc26206 growing in log-phase at a multiplicity of infection (MOI) of 10 for 16 h. Extracellular, non-phagocytosed bacteria were removed by three phosphate buffered saline (PBS) washes. Infection was continued at 37°C for a total infection time of 48 h.	RPMI 1640, 10% heat-inactivated fetal bovine serum, 2 mM glutamine, 10 mM HEPES, 100 I.U./ml  penicillin, μg/ml streptomycin  Cells were cultured at 37°C at 5% CO2.	total RNA	RNA was harvested using Aurum™ Total RNA Mini Kit (Bio-Rad) as per the manufacturer’s protocols. All samples were incubated in lysis buffer for 20 minutes to inactivate bacteria in Mtb-infected samples.	cDNA libraries were generated from mRNA samples with the NEB Ultra II Directional polyA mRNA library prep kit for Illumina.	9606	RNA-seq sequence reads were trimmed using fastp v0.20.1 with the parameters --length_required 25,  --cut_tail, cut_tail_window_size 4, --cut_tail_mean_quality 20, --disable_quality_filtering, --overrepresentation_analysis	Filtered reads were aligned to the human hg38 genome using STAR v2.7.5a, with the parameters --outReadsUnmapped Fastx, --outFilterMatchNminOverLread 0.50, --outFilterScoreMinOverLread 0.50 --outSAMmapqUnique 40, --outFilterMultimapNmax 1 and duplicate reads were marked with Picard  (Picard Tools).	Subread featureCounts was used to assign reads to gene exons and to summarize counts at the gene level. Represented genes were annotated using biomaRt.	Assembly: hg38	Supplementary files format and content: RNA-seq read counts over exons and summarized over genes	GPL24676	Alexandre,,Blais	alexandre.blais@uottawa.ca	University of Ottawa	451 Smyth Road	Ottawa	ON	K1H 8M5	Canada	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN30479011	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX17238156	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6506nnn/GSM6506633/suppl/GSM6506633_PPM1A_OE_NoInfect_NoTreat_rep3.counts_s2.txt.gz	THP-1	Macrophage	PPM1A overexpression	NA	None	GSE211974
WT_Mtb_2	GSM6506634	Public on Feb 08 2023	Aug 24 2022	May 10 2023	SRA	1	THP-1	Homo sapiens	cell line: THP-1	cell type: Macrophage	genotype: WT	treatment: Mtb infection	time: 48 h	THP-1 monocytes were differentiated with 100 ng/ml phorbol ester 13-phorbol-12-myristate acetate (PMA) for 72 h.	THP-1 cells were infected with Mtb mc26206 growing in log-phase at a multiplicity of infection (MOI) of 10 for 16 h. Extracellular, non-phagocytosed bacteria were removed by three phosphate buffered saline (PBS) washes. Infection was continued at 37°C for a total infection time of 48 h.	RPMI 1640, 10% heat-inactivated fetal bovine serum, 2 mM glutamine, 10 mM HEPES, 100 I.U./ml  penicillin, μg/ml streptomycin  Cells were cultured at 37°C at 5% CO2.	total RNA	RNA was harvested using Aurum™ Total RNA Mini Kit (Bio-Rad) as per the manufacturer’s protocols. All samples were incubated in lysis buffer for 20 minutes to inactivate bacteria in Mtb-infected samples.	cDNA libraries were generated from mRNA samples with the NEB Ultra II Directional polyA mRNA library prep kit for Illumina.	9606	RNA-seq sequence reads were trimmed using fastp v0.20.1 with the parameters --length_required 25,  --cut_tail, cut_tail_window_size 4, --cut_tail_mean_quality 20, --disable_quality_filtering, --overrepresentation_analysis	Filtered reads were aligned to the human hg38 genome using STAR v2.7.5a, with the parameters --outReadsUnmapped Fastx, --outFilterMatchNminOverLread 0.50, --outFilterScoreMinOverLread 0.50 --outSAMmapqUnique 40, --outFilterMultimapNmax 1 and duplicate reads were marked with Picard  (Picard Tools).	Subread featureCounts was used to assign reads to gene exons and to summarize counts at the gene level. Represented genes were annotated using biomaRt.	Assembly: hg38	Supplementary files format and content: RNA-seq read counts over exons and summarized over genes	GPL24676	Alexandre,,Blais	alexandre.blais@uottawa.ca	University of Ottawa	451 Smyth Road	Ottawa	ON	K1H 8M5	Canada	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN30479010	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX17238155	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6506nnn/GSM6506634/suppl/GSM6506634_WT_Mtb_NoTreat_rep2.counts_s2.txt.gz	THP-1	Macrophage	WT	48 h	Mtb infection	GSE211974
WT_Mtb_3	GSM6506635	Public on Feb 08 2023	Aug 24 2022	May 10 2023	SRA	1	THP-1	Homo sapiens	cell line: THP-1	cell type: Macrophage	genotype: WT	treatment: Mtb infection	time: 48 h	THP-1 monocytes were differentiated with 100 ng/ml phorbol ester 13-phorbol-12-myristate acetate (PMA) for 72 h.	THP-1 cells were infected with Mtb mc26206 growing in log-phase at a multiplicity of infection (MOI) of 10 for 16 h. Extracellular, non-phagocytosed bacteria were removed by three phosphate buffered saline (PBS) washes. Infection was continued at 37°C for a total infection time of 48 h.	RPMI 1640, 10% heat-inactivated fetal bovine serum, 2 mM glutamine, 10 mM HEPES, 100 I.U./ml  penicillin, μg/ml streptomycin  Cells were cultured at 37°C at 5% CO2.	total RNA	RNA was harvested using Aurum™ Total RNA Mini Kit (Bio-Rad) as per the manufacturer’s protocols. All samples were incubated in lysis buffer for 20 minutes to inactivate bacteria in Mtb-infected samples.	cDNA libraries were generated from mRNA samples with the NEB Ultra II Directional polyA mRNA library prep kit for Illumina.	9606	RNA-seq sequence reads were trimmed using fastp v0.20.1 with the parameters --length_required 25,  --cut_tail, cut_tail_window_size 4, --cut_tail_mean_quality 20, --disable_quality_filtering, --overrepresentation_analysis	Filtered reads were aligned to the human hg38 genome using STAR v2.7.5a, with the parameters --outReadsUnmapped Fastx, --outFilterMatchNminOverLread 0.50, --outFilterScoreMinOverLread 0.50 --outSAMmapqUnique 40, --outFilterMultimapNmax 1 and duplicate reads were marked with Picard  (Picard Tools).	Subread featureCounts was used to assign reads to gene exons and to summarize counts at the gene level. Represented genes were annotated using biomaRt.	Assembly: hg38	Supplementary files format and content: RNA-seq read counts over exons and summarized over genes	GPL24676	Alexandre,,Blais	alexandre.blais@uottawa.ca	University of Ottawa	451 Smyth Road	Ottawa	ON	K1H 8M5	Canada	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN30479009	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX17238154	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6506nnn/GSM6506635/suppl/GSM6506635_WT_Mtb_NoTreat_rep3.counts_s2.txt.gz	THP-1	Macrophage	WT	48 h	Mtb infection	GSE211974
PPM1A KO_Mtb_2	GSM6506636	Public on Feb 08 2023	Aug 24 2022	May 10 2023	SRA	1	THP-1	Homo sapiens	cell line: THP-1	cell type: Macrophage	genotype: PPM1A knockout	treatment: Mtb infection	time: 48 h	THP-1 monocytes were differentiated with 100 ng/ml phorbol ester 13-phorbol-12-myristate acetate (PMA) for 72 h.	THP-1 cells were infected with Mtb mc26206 growing in log-phase at a multiplicity of infection (MOI) of 10 for 16 h. Extracellular, non-phagocytosed bacteria were removed by three phosphate buffered saline (PBS) washes. Infection was continued at 37°C for a total infection time of 48 h.	RPMI 1640, 10% heat-inactivated fetal bovine serum, 2 mM glutamine, 10 mM HEPES, 100 I.U./ml  penicillin, μg/ml streptomycin  Cells were cultured at 37°C at 5% CO2.	total RNA	RNA was harvested using Aurum™ Total RNA Mini Kit (Bio-Rad) as per the manufacturer’s protocols. All samples were incubated in lysis buffer for 20 minutes to inactivate bacteria in Mtb-infected samples.	cDNA libraries were generated from mRNA samples with the NEB Ultra II Directional polyA mRNA library prep kit for Illumina.	9606	RNA-seq sequence reads were trimmed using fastp v0.20.1 with the parameters --length_required 25,  --cut_tail, cut_tail_window_size 4, --cut_tail_mean_quality 20, --disable_quality_filtering, --overrepresentation_analysis	Filtered reads were aligned to the human hg38 genome using STAR v2.7.5a, with the parameters --outReadsUnmapped Fastx, --outFilterMatchNminOverLread 0.50, --outFilterScoreMinOverLread 0.50 --outSAMmapqUnique 40, --outFilterMultimapNmax 1 and duplicate reads were marked with Picard  (Picard Tools).	Subread featureCounts was used to assign reads to gene exons and to summarize counts at the gene level. Represented genes were annotated using biomaRt.	Assembly: hg38	Supplementary files format and content: RNA-seq read counts over exons and summarized over genes	GPL24676	Alexandre,,Blais	alexandre.blais@uottawa.ca	University of Ottawa	451 Smyth Road	Ottawa	ON	K1H 8M5	Canada	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN30479008	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX17238153	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6506nnn/GSM6506636/suppl/GSM6506636_PPM1A_KO_Mtb_NoTreat_rep2.counts_s2.txt.gz	THP-1	Macrophage	PPM1A knockout	48 h	Mtb infection	GSE211974
PPM1A KO_Mtb_3	GSM6506637	Public on Feb 08 2023	Aug 24 2022	May 10 2023	SRA	1	THP-1	Homo sapiens	cell line: THP-1	cell type: Macrophage	genotype: PPM1A knockout	treatment: Mtb infection	time: 48 h	THP-1 monocytes were differentiated with 100 ng/ml phorbol ester 13-phorbol-12-myristate acetate (PMA) for 72 h.	THP-1 cells were infected with Mtb mc26206 growing in log-phase at a multiplicity of infection (MOI) of 10 for 16 h. Extracellular, non-phagocytosed bacteria were removed by three phosphate buffered saline (PBS) washes. Infection was continued at 37°C for a total infection time of 48 h.	RPMI 1640, 10% heat-inactivated fetal bovine serum, 2 mM glutamine, 10 mM HEPES, 100 I.U./ml  penicillin, μg/ml streptomycin  Cells were cultured at 37°C at 5% CO2.	total RNA	RNA was harvested using Aurum™ Total RNA Mini Kit (Bio-Rad) as per the manufacturer’s protocols. All samples were incubated in lysis buffer for 20 minutes to inactivate bacteria in Mtb-infected samples.	cDNA libraries were generated from mRNA samples with the NEB Ultra II Directional polyA mRNA library prep kit for Illumina.	9606	RNA-seq sequence reads were trimmed using fastp v0.20.1 with the parameters --length_required 25,  --cut_tail, cut_tail_window_size 4, --cut_tail_mean_quality 20, --disable_quality_filtering, --overrepresentation_analysis	Filtered reads were aligned to the human hg38 genome using STAR v2.7.5a, with the parameters --outReadsUnmapped Fastx, --outFilterMatchNminOverLread 0.50, --outFilterScoreMinOverLread 0.50 --outSAMmapqUnique 40, --outFilterMultimapNmax 1 and duplicate reads were marked with Picard  (Picard Tools).	Subread featureCounts was used to assign reads to gene exons and to summarize counts at the gene level. Represented genes were annotated using biomaRt.	Assembly: hg38	Supplementary files format and content: RNA-seq read counts over exons and summarized over genes	GPL24676	Alexandre,,Blais	alexandre.blais@uottawa.ca	University of Ottawa	451 Smyth Road	Ottawa	ON	K1H 8M5	Canada	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN30479007	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX17238152	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6506nnn/GSM6506637/suppl/GSM6506637_PPM1A_KO_Mtb_NoTreat_rep3.counts_s2.txt.gz	THP-1	Macrophage	PPM1A knockout	48 h	Mtb infection	GSE211974
