title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	treatment_protocol_ch1	growth_protocol_ch1	molecule_ch1	extract_protocol_ch1	extract_protocol_ch1.1	taxid_ch1	description	data_processing	data_processing.1	data_processing.2	data_processing.3	data_processing.4	data_processing.5	platform_id	contact_name	contact_email	contact_department	contact_institute	contact_address	contact_city	contact_zip/postal_code	contact_country	data_row_count	instrument_model	library_selection	library_source	library_strategy	relation	relation.1	supplementary_file_1	agent:ch1	time point:ch1	series_id
2h_Uninfected [EB1]	GSM3855590	Public on Nov 16 2020	Jun 06 2019	Mar 29 2023	SRA	1	Human stem cell-derived macrophage	Homo sapiens	agent: Uninfected	time point: 2h	Not applicable	Not applicable	total RNA	Total RNA was extracted from human stem cell derived macrophages collected in trizol	RNA-Seq libraries were constructed using Illumina TruSeq Stranded Total RNA library kit	9606	EB1	Trimmomatic v0.36	STAR v2.5.2a	RSEM v1.2.29	DESeq2 v1.18.1	Genome_build: GRCh38 release 88	Supplementary_files_format_and_content: counts	GPL20301	Rachel,,Lai	rachel.lai@imperial.ac.uk	Infectious Disease	Imperial College London	Du Cane Road	London	W12 0NN	United Kingdom	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11967862	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5980730	NONE	Uninfected	2h	GSE132283
2h_WT [EB2]	GSM3855591	Public on Nov 16 2020	Jun 06 2019	Mar 29 2023	SRA	1	Human stem cell-derived macrophage	Homo sapiens	agent: Infected with WT Mtb	time point: 2h	Not applicable	Not applicable	total RNA	Total RNA was extracted from human stem cell derived macrophages collected in trizol	RNA-Seq libraries were constructed using Illumina TruSeq Stranded Total RNA library kit	9606	EB2	Trimmomatic v0.36	STAR v2.5.2a	RSEM v1.2.29	DESeq2 v1.18.1	Genome_build: GRCh38 release 88	Supplementary_files_format_and_content: counts	GPL20301	Rachel,,Lai	rachel.lai@imperial.ac.uk	Infectious Disease	Imperial College London	Du Cane Road	London	W12 0NN	United Kingdom	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11967861	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5980731	NONE	Infected with WT Mtb	2h	GSE132283
2h_RD [EB3]	GSM3855592	Public on Nov 16 2020	Jun 06 2019	Mar 29 2023	SRA	1	Human stem cell-derived macrophage	Homo sapiens	agent: Infected with RD1 mutant Mtb	time point: 2h	Not applicable	Not applicable	total RNA	Total RNA was extracted from human stem cell derived macrophages collected in trizol	RNA-Seq libraries were constructed using Illumina TruSeq Stranded Total RNA library kit	9606	EB3	Trimmomatic v0.36	STAR v2.5.2a	RSEM v1.2.29	DESeq2 v1.18.1	Genome_build: GRCh38 release 88	Supplementary_files_format_and_content: counts	GPL20301	Rachel,,Lai	rachel.lai@imperial.ac.uk	Infectious Disease	Imperial College London	Du Cane Road	London	W12 0NN	United Kingdom	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11967860	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5980732	NONE	Infected with RD1 mutant Mtb	2h	GSE132283
48h_Uninfected [EB4]	GSM3855593	Public on Nov 16 2020	Jun 06 2019	Mar 29 2023	SRA	1	Human stem cell-derived macrophage	Homo sapiens	agent: Uninfected	time point: 48h	Not applicable	Not applicable	total RNA	Total RNA was extracted from human stem cell derived macrophages collected in trizol	RNA-Seq libraries were constructed using Illumina TruSeq Stranded Total RNA library kit	9606	EB4	Trimmomatic v0.36	STAR v2.5.2a	RSEM v1.2.29	DESeq2 v1.18.1	Genome_build: GRCh38 release 88	Supplementary_files_format_and_content: counts	GPL20301	Rachel,,Lai	rachel.lai@imperial.ac.uk	Infectious Disease	Imperial College London	Du Cane Road	London	W12 0NN	United Kingdom	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11967847	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5980733	NONE	Uninfected	48h	GSE132283
48h_WT [EB5]	GSM3855594	Public on Nov 16 2020	Jun 06 2019	Mar 29 2023	SRA	1	Human stem cell-derived macrophage	Homo sapiens	agent: Infected with WT Mtb	time point: 48h	Not applicable	Not applicable	total RNA	Total RNA was extracted from human stem cell derived macrophages collected in trizol	RNA-Seq libraries were constructed using Illumina TruSeq Stranded Total RNA library kit	9606	EB5	Trimmomatic v0.36	STAR v2.5.2a	RSEM v1.2.29	DESeq2 v1.18.1	Genome_build: GRCh38 release 88	Supplementary_files_format_and_content: counts	GPL20301	Rachel,,Lai	rachel.lai@imperial.ac.uk	Infectious Disease	Imperial College London	Du Cane Road	London	W12 0NN	United Kingdom	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11967846	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5980734	NONE	Infected with WT Mtb	48h	GSE132283
48h_RD [EB6]	GSM3855595	Public on Nov 16 2020	Jun 06 2019	Mar 29 2023	SRA	1	Human stem cell-derived macrophage	Homo sapiens	agent: Infected with RD1 mutant Mtb	time point: 48h	Not applicable	Not applicable	total RNA	Total RNA was extracted from human stem cell derived macrophages collected in trizol	RNA-Seq libraries were constructed using Illumina TruSeq Stranded Total RNA library kit	9606	EB6	Trimmomatic v0.36	STAR v2.5.2a	RSEM v1.2.29	DESeq2 v1.18.1	Genome_build: GRCh38 release 88	Supplementary_files_format_and_content: counts	GPL20301	Rachel,,Lai	rachel.lai@imperial.ac.uk	Infectious Disease	Imperial College London	Du Cane Road	London	W12 0NN	United Kingdom	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11967845	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5980735	NONE	Infected with RD1 mutant Mtb	48h	GSE132283
2h_Uninfected [EB7]	GSM3855596	Public on Nov 16 2020	Jun 06 2019	Mar 29 2023	SRA	1	Human stem cell-derived macrophage	Homo sapiens	agent: Uninfected	time point: 2h	Not applicable	Not applicable	total RNA	Total RNA was extracted from human stem cell derived macrophages collected in trizol	RNA-Seq libraries were constructed using Illumina TruSeq Stranded Total RNA library kit	9606	EB7	Trimmomatic v0.36	STAR v2.5.2a	RSEM v1.2.29	DESeq2 v1.18.1	Genome_build: GRCh38 release 88	Supplementary_files_format_and_content: counts	GPL20301	Rachel,,Lai	rachel.lai@imperial.ac.uk	Infectious Disease	Imperial College London	Du Cane Road	London	W12 0NN	United Kingdom	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11967859	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5980736	NONE	Uninfected	2h	GSE132283
2h_WT [EB8]	GSM3855597	Public on Nov 16 2020	Jun 06 2019	Mar 29 2023	SRA	1	Human stem cell-derived macrophage	Homo sapiens	agent: Infected with WT Mtb	time point: 2h	Not applicable	Not applicable	total RNA	Total RNA was extracted from human stem cell derived macrophages collected in trizol	RNA-Seq libraries were constructed using Illumina TruSeq Stranded Total RNA library kit	9606	EB8	Trimmomatic v0.36	STAR v2.5.2a	RSEM v1.2.29	DESeq2 v1.18.1	Genome_build: GRCh38 release 88	Supplementary_files_format_and_content: counts	GPL20301	Rachel,,Lai	rachel.lai@imperial.ac.uk	Infectious Disease	Imperial College London	Du Cane Road	London	W12 0NN	United Kingdom	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11967858	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5980737	NONE	Infected with WT Mtb	2h	GSE132283
2h_RD [EB9]	GSM3855598	Public on Nov 16 2020	Jun 06 2019	Mar 29 2023	SRA	1	Human stem cell-derived macrophage	Homo sapiens	agent: Infected with RD1 mutant Mtb	time point: 2h	Not applicable	Not applicable	total RNA	Total RNA was extracted from human stem cell derived macrophages collected in trizol	RNA-Seq libraries were constructed using Illumina TruSeq Stranded Total RNA library kit	9606	EB9	Trimmomatic v0.36	STAR v2.5.2a	RSEM v1.2.29	DESeq2 v1.18.1	Genome_build: GRCh38 release 88	Supplementary_files_format_and_content: counts	GPL20301	Rachel,,Lai	rachel.lai@imperial.ac.uk	Infectious Disease	Imperial College London	Du Cane Road	London	W12 0NN	United Kingdom	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11967857	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5980738	NONE	Infected with RD1 mutant Mtb	2h	GSE132283
48h_Uninfected [EB10]	GSM3855599	Public on Nov 16 2020	Jun 06 2019	Mar 29 2023	SRA	1	Human stem cell-derived macrophage	Homo sapiens	agent: Uninfected	time point: 48h	Not applicable	Not applicable	total RNA	Total RNA was extracted from human stem cell derived macrophages collected in trizol	RNA-Seq libraries were constructed using Illumina TruSeq Stranded Total RNA library kit	9606	EB10	Trimmomatic v0.36	STAR v2.5.2a	RSEM v1.2.29	DESeq2 v1.18.1	Genome_build: GRCh38 release 88	Supplementary_files_format_and_content: counts	GPL20301	Rachel,,Lai	rachel.lai@imperial.ac.uk	Infectious Disease	Imperial College London	Du Cane Road	London	W12 0NN	United Kingdom	0	Illumina HiSeq 4000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN11967856	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX5980739	NONE	Uninfected	48h	GSE132283
