title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	characteristics_ch1.3	treatment_protocol_ch1	growth_protocol_ch1	molecule_ch1	extract_protocol_ch1	extract_protocol_ch1.1	taxid_ch1	description	data_processing	data_processing.1	data_processing.2	data_processing.3	data_processing.4	platform_id	contact_name	contact_email	contact_laboratory	contact_department	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	data_row_count	instrument_model	library_selection	library_source	library_strategy	relation	relation.1	supplementary_file_1	cell type:ch1	donor:ch1	infection status:ch1	treatment:ch1	series_id
18k_ATRA	GSM5573708	Public on Dec 21 2021	Sep 10 2021	Dec 21 2021	SRA	1	Human macrophages (MO-GMCSF)	Homo sapiens	cell type: Macrophages (MO-GMCSF)	infection status: Infected with Mycobacterium tuberculosis	treatment: 10 uM all-trans-retinoic acid	donor: 18k	MO-GMCSF were infected for 12 hours with Mycobacterium tuberculosis at MOI=1 (or left uninfected), then treated with the indicated compounds at 10 μM, 0.2% DMSO or plain media for 11 hours prior to lysis.	Human primary monocytes were positively selected (CD14) from healthy donor peripheral blood mononuclear cells, then matured in 50 ng/mL GM-CSF for 6 days to create MO-GMCSF.	total RNA	RNA was extracted with buffer RLT (Qiagen) and purified on Zymo columns with off-column DNA digestion.	Libraries were constructed using the KAPA mRNA HyperPrep kit.	9606	mRNA	Reads were aligned with STAR aligner (version 2.6.0) in the RSEM program (version 1.2.29).	RNAseq counts were analyzed in R (version 3.6.3) with DESeq2 (version 1.24.0).	During analysis in R, gene names were retrieved with biomaRt (version 2.40.5) and log2 fold-changes were shrunk with apeglm (version 1.6.0).	Genome_build: hg38 (GRCh38)	Supplementary_files_format_and_content: SuppTable1-ext_RNAseq-Data-ext.xlsx: Raw counts are included in two sheets of the Excel document (one with and one without donor 18p counts); donors 18k, 18o, and 19a were used to calculate the log2 fold-changes and significance values in the other sheet.	GPL21697	Gregory,Hunter,Babunovic	ghbabunovic@gmail.com	Sarah Fortune Lab	Immunology and Infectious Diseases	Harvard T.H. Chan School of Public Health	665 Huntington Ave., SPH 1, Room 802	Boston	MA	02115	USA	0	NextSeq 550	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21386035	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX12132528	NONE	Macrophages (MO-GMCSF)	18k	Infected with Mycobacterium tuberculosis	10 uM all-trans-retinoic acid	GSE183912
18k_DMSO	GSM5573709	Public on Dec 21 2021	Sep 10 2021	Dec 21 2021	SRA	1	Human macrophages (MO-GMCSF)	Homo sapiens	cell type: Macrophages (MO-GMCSF)	infection status: Infected with Mycobacterium tuberculosis	treatment: 0.2% DMSO	donor: 18k	MO-GMCSF were infected for 12 hours with Mycobacterium tuberculosis at MOI=1 (or left uninfected), then treated with the indicated compounds at 10 μM, 0.2% DMSO or plain media for 11 hours prior to lysis.	Human primary monocytes were positively selected (CD14) from healthy donor peripheral blood mononuclear cells, then matured in 50 ng/mL GM-CSF for 6 days to create MO-GMCSF.	total RNA	RNA was extracted with buffer RLT (Qiagen) and purified on Zymo columns with off-column DNA digestion.	Libraries were constructed using the KAPA mRNA HyperPrep kit.	9606	mRNA	Reads were aligned with STAR aligner (version 2.6.0) in the RSEM program (version 1.2.29).	RNAseq counts were analyzed in R (version 3.6.3) with DESeq2 (version 1.24.0).	During analysis in R, gene names were retrieved with biomaRt (version 2.40.5) and log2 fold-changes were shrunk with apeglm (version 1.6.0).	Genome_build: hg38 (GRCh38)	Supplementary_files_format_and_content: SuppTable1-ext_RNAseq-Data-ext.xlsx: Raw counts are included in two sheets of the Excel document (one with and one without donor 18p counts); donors 18k, 18o, and 19a were used to calculate the log2 fold-changes and significance values in the other sheet.	GPL21697	Gregory,Hunter,Babunovic	ghbabunovic@gmail.com	Sarah Fortune Lab	Immunology and Infectious Diseases	Harvard T.H. Chan School of Public Health	665 Huntington Ave., SPH 1, Room 802	Boston	MA	02115	USA	0	NextSeq 550	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21386037	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX12132529	NONE	Macrophages (MO-GMCSF)	18k	Infected with Mycobacterium tuberculosis	0.2% DMSO	GSE183912
18k_EC23	GSM5573710	Public on Dec 21 2021	Sep 10 2021	Dec 21 2021	SRA	1	Human macrophages (MO-GMCSF)	Homo sapiens	cell type: Macrophages (MO-GMCSF)	infection status: Infected with Mycobacterium tuberculosis	treatment: 10 uM EC 23	donor: 18k	MO-GMCSF were infected for 12 hours with Mycobacterium tuberculosis at MOI=1 (or left uninfected), then treated with the indicated compounds at 10 μM, 0.2% DMSO or plain media for 11 hours prior to lysis.	Human primary monocytes were positively selected (CD14) from healthy donor peripheral blood mononuclear cells, then matured in 50 ng/mL GM-CSF for 6 days to create MO-GMCSF.	total RNA	RNA was extracted with buffer RLT (Qiagen) and purified on Zymo columns with off-column DNA digestion.	Libraries were constructed using the KAPA mRNA HyperPrep kit.	9606	mRNA	Reads were aligned with STAR aligner (version 2.6.0) in the RSEM program (version 1.2.29).	RNAseq counts were analyzed in R (version 3.6.3) with DESeq2 (version 1.24.0).	During analysis in R, gene names were retrieved with biomaRt (version 2.40.5) and log2 fold-changes were shrunk with apeglm (version 1.6.0).	Genome_build: hg38 (GRCh38)	Supplementary_files_format_and_content: SuppTable1-ext_RNAseq-Data-ext.xlsx: Raw counts are included in two sheets of the Excel document (one with and one without donor 18p counts); donors 18k, 18o, and 19a were used to calculate the log2 fold-changes and significance values in the other sheet.	GPL21697	Gregory,Hunter,Babunovic	ghbabunovic@gmail.com	Sarah Fortune Lab	Immunology and Infectious Diseases	Harvard T.H. Chan School of Public Health	665 Huntington Ave., SPH 1, Room 802	Boston	MA	02115	USA	0	NextSeq 550	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21386038	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX12132530	NONE	Macrophages (MO-GMCSF)	18k	Infected with Mycobacterium tuberculosis	10 uM EC 23	GSE183912
18k_TTNPB	GSM5573711	Public on Dec 21 2021	Sep 10 2021	Dec 21 2021	SRA	1	Human macrophages (MO-GMCSF)	Homo sapiens	cell type: Macrophages (MO-GMCSF)	infection status: Infected with Mycobacterium tuberculosis	treatment: 10 uM TTNPB	donor: 18k	MO-GMCSF were infected for 12 hours with Mycobacterium tuberculosis at MOI=1 (or left uninfected), then treated with the indicated compounds at 10 μM, 0.2% DMSO or plain media for 11 hours prior to lysis.	Human primary monocytes were positively selected (CD14) from healthy donor peripheral blood mononuclear cells, then matured in 50 ng/mL GM-CSF for 6 days to create MO-GMCSF.	total RNA	RNA was extracted with buffer RLT (Qiagen) and purified on Zymo columns with off-column DNA digestion.	Libraries were constructed using the KAPA mRNA HyperPrep kit.	9606	mRNA	Reads were aligned with STAR aligner (version 2.6.0) in the RSEM program (version 1.2.29).	RNAseq counts were analyzed in R (version 3.6.3) with DESeq2 (version 1.24.0).	During analysis in R, gene names were retrieved with biomaRt (version 2.40.5) and log2 fold-changes were shrunk with apeglm (version 1.6.0).	Genome_build: hg38 (GRCh38)	Supplementary_files_format_and_content: SuppTable1-ext_RNAseq-Data-ext.xlsx: Raw counts are included in two sheets of the Excel document (one with and one without donor 18p counts); donors 18k, 18o, and 19a were used to calculate the log2 fold-changes and significance values in the other sheet.	GPL21697	Gregory,Hunter,Babunovic	ghbabunovic@gmail.com	Sarah Fortune Lab	Immunology and Infectious Diseases	Harvard T.H. Chan School of Public Health	665 Huntington Ave., SPH 1, Room 802	Boston	MA	02115	USA	0	NextSeq 550	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21386040	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX12132531	NONE	Macrophages (MO-GMCSF)	18k	Infected with Mycobacterium tuberculosis	10 uM TTNPB	GSE183912
18k_Uninfected	GSM5573712	Public on Dec 21 2021	Sep 10 2021	Dec 21 2021	SRA	1	Human macrophages (MO-GMCSF)	Homo sapiens	cell type: Macrophages (MO-GMCSF)	infection status: Uninfected	treatment: media	donor: 18k	MO-GMCSF were infected for 12 hours with Mycobacterium tuberculosis at MOI=1 (or left uninfected), then treated with the indicated compounds at 10 μM, 0.2% DMSO or plain media for 11 hours prior to lysis.	Human primary monocytes were positively selected (CD14) from healthy donor peripheral blood mononuclear cells, then matured in 50 ng/mL GM-CSF for 6 days to create MO-GMCSF.	total RNA	RNA was extracted with buffer RLT (Qiagen) and purified on Zymo columns with off-column DNA digestion.	Libraries were constructed using the KAPA mRNA HyperPrep kit.	9606	mRNA	Reads were aligned with STAR aligner (version 2.6.0) in the RSEM program (version 1.2.29).	RNAseq counts were analyzed in R (version 3.6.3) with DESeq2 (version 1.24.0).	During analysis in R, gene names were retrieved with biomaRt (version 2.40.5) and log2 fold-changes were shrunk with apeglm (version 1.6.0).	Genome_build: hg38 (GRCh38)	Supplementary_files_format_and_content: SuppTable1-ext_RNAseq-Data-ext.xlsx: Raw counts are included in two sheets of the Excel document (one with and one without donor 18p counts); donors 18k, 18o, and 19a were used to calculate the log2 fold-changes and significance values in the other sheet.	GPL21697	Gregory,Hunter,Babunovic	ghbabunovic@gmail.com	Sarah Fortune Lab	Immunology and Infectious Diseases	Harvard T.H. Chan School of Public Health	665 Huntington Ave., SPH 1, Room 802	Boston	MA	02115	USA	0	NextSeq 550	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21386042	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX12132532	NONE	Macrophages (MO-GMCSF)	18k	Uninfected	media	GSE183912
18o_ATRA	GSM5573713	Public on Dec 21 2021	Sep 10 2021	Dec 21 2021	SRA	1	Human macrophages (MO-GMCSF)	Homo sapiens	cell type: Macrophages (MO-GMCSF)	infection status: Infected with Mycobacterium tuberculosis	treatment: 10 uM all-trans-retinoic acid	donor: 18o	MO-GMCSF were infected for 12 hours with Mycobacterium tuberculosis at MOI=1 (or left uninfected), then treated with the indicated compounds at 10 μM, 0.2% DMSO or plain media for 11 hours prior to lysis.	Human primary monocytes were positively selected (CD14) from healthy donor peripheral blood mononuclear cells, then matured in 50 ng/mL GM-CSF for 6 days to create MO-GMCSF.	total RNA	RNA was extracted with buffer RLT (Qiagen) and purified on Zymo columns with off-column DNA digestion.	Libraries were constructed using the KAPA mRNA HyperPrep kit.	9606	mRNA	Reads were aligned with STAR aligner (version 2.6.0) in the RSEM program (version 1.2.29).	RNAseq counts were analyzed in R (version 3.6.3) with DESeq2 (version 1.24.0).	During analysis in R, gene names were retrieved with biomaRt (version 2.40.5) and log2 fold-changes were shrunk with apeglm (version 1.6.0).	Genome_build: hg38 (GRCh38)	Supplementary_files_format_and_content: SuppTable1-ext_RNAseq-Data-ext.xlsx: Raw counts are included in two sheets of the Excel document (one with and one without donor 18p counts); donors 18k, 18o, and 19a were used to calculate the log2 fold-changes and significance values in the other sheet.	GPL21697	Gregory,Hunter,Babunovic	ghbabunovic@gmail.com	Sarah Fortune Lab	Immunology and Infectious Diseases	Harvard T.H. Chan School of Public Health	665 Huntington Ave., SPH 1, Room 802	Boston	MA	02115	USA	0	NextSeq 550	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21386043	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX12132533	NONE	Macrophages (MO-GMCSF)	18o	Infected with Mycobacterium tuberculosis	10 uM all-trans-retinoic acid	GSE183912
18o_DMSO	GSM5573714	Public on Dec 21 2021	Sep 10 2021	Dec 21 2021	SRA	1	Human macrophages (MO-GMCSF)	Homo sapiens	cell type: Macrophages (MO-GMCSF)	infection status: Infected with Mycobacterium tuberculosis	treatment: 0.2% DMSO	donor: 18o	MO-GMCSF were infected for 12 hours with Mycobacterium tuberculosis at MOI=1 (or left uninfected), then treated with the indicated compounds at 10 μM, 0.2% DMSO or plain media for 11 hours prior to lysis.	Human primary monocytes were positively selected (CD14) from healthy donor peripheral blood mononuclear cells, then matured in 50 ng/mL GM-CSF for 6 days to create MO-GMCSF.	total RNA	RNA was extracted with buffer RLT (Qiagen) and purified on Zymo columns with off-column DNA digestion.	Libraries were constructed using the KAPA mRNA HyperPrep kit.	9606	mRNA	Reads were aligned with STAR aligner (version 2.6.0) in the RSEM program (version 1.2.29).	RNAseq counts were analyzed in R (version 3.6.3) with DESeq2 (version 1.24.0).	During analysis in R, gene names were retrieved with biomaRt (version 2.40.5) and log2 fold-changes were shrunk with apeglm (version 1.6.0).	Genome_build: hg38 (GRCh38)	Supplementary_files_format_and_content: SuppTable1-ext_RNAseq-Data-ext.xlsx: Raw counts are included in two sheets of the Excel document (one with and one without donor 18p counts); donors 18k, 18o, and 19a were used to calculate the log2 fold-changes and significance values in the other sheet.	GPL21697	Gregory,Hunter,Babunovic	ghbabunovic@gmail.com	Sarah Fortune Lab	Immunology and Infectious Diseases	Harvard T.H. Chan School of Public Health	665 Huntington Ave., SPH 1, Room 802	Boston	MA	02115	USA	0	NextSeq 550	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21386044	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX12132534	NONE	Macrophages (MO-GMCSF)	18o	Infected with Mycobacterium tuberculosis	0.2% DMSO	GSE183912
18o_EC23	GSM5573715	Public on Dec 21 2021	Sep 10 2021	Dec 21 2021	SRA	1	Human macrophages (MO-GMCSF)	Homo sapiens	cell type: Macrophages (MO-GMCSF)	infection status: Infected with Mycobacterium tuberculosis	treatment: 10 uM EC 23	donor: 18o	MO-GMCSF were infected for 12 hours with Mycobacterium tuberculosis at MOI=1 (or left uninfected), then treated with the indicated compounds at 10 μM, 0.2% DMSO or plain media for 11 hours prior to lysis.	Human primary monocytes were positively selected (CD14) from healthy donor peripheral blood mononuclear cells, then matured in 50 ng/mL GM-CSF for 6 days to create MO-GMCSF.	total RNA	RNA was extracted with buffer RLT (Qiagen) and purified on Zymo columns with off-column DNA digestion.	Libraries were constructed using the KAPA mRNA HyperPrep kit.	9606	mRNA	Reads were aligned with STAR aligner (version 2.6.0) in the RSEM program (version 1.2.29).	RNAseq counts were analyzed in R (version 3.6.3) with DESeq2 (version 1.24.0).	During analysis in R, gene names were retrieved with biomaRt (version 2.40.5) and log2 fold-changes were shrunk with apeglm (version 1.6.0).	Genome_build: hg38 (GRCh38)	Supplementary_files_format_and_content: SuppTable1-ext_RNAseq-Data-ext.xlsx: Raw counts are included in two sheets of the Excel document (one with and one without donor 18p counts); donors 18k, 18o, and 19a were used to calculate the log2 fold-changes and significance values in the other sheet.	GPL21697	Gregory,Hunter,Babunovic	ghbabunovic@gmail.com	Sarah Fortune Lab	Immunology and Infectious Diseases	Harvard T.H. Chan School of Public Health	665 Huntington Ave., SPH 1, Room 802	Boston	MA	02115	USA	0	NextSeq 550	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21386045	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX12132535	NONE	Macrophages (MO-GMCSF)	18o	Infected with Mycobacterium tuberculosis	10 uM EC 23	GSE183912
18o_TTNPB	GSM5573716	Public on Dec 21 2021	Sep 10 2021	Dec 21 2021	SRA	1	Human macrophages (MO-GMCSF)	Homo sapiens	cell type: Macrophages (MO-GMCSF)	infection status: Infected with Mycobacterium tuberculosis	treatment: 10 uM TTNPB	donor: 18o	MO-GMCSF were infected for 12 hours with Mycobacterium tuberculosis at MOI=1 (or left uninfected), then treated with the indicated compounds at 10 μM, 0.2% DMSO or plain media for 11 hours prior to lysis.	Human primary monocytes were positively selected (CD14) from healthy donor peripheral blood mononuclear cells, then matured in 50 ng/mL GM-CSF for 6 days to create MO-GMCSF.	total RNA	RNA was extracted with buffer RLT (Qiagen) and purified on Zymo columns with off-column DNA digestion.	Libraries were constructed using the KAPA mRNA HyperPrep kit.	9606	mRNA	Reads were aligned with STAR aligner (version 2.6.0) in the RSEM program (version 1.2.29).	RNAseq counts were analyzed in R (version 3.6.3) with DESeq2 (version 1.24.0).	During analysis in R, gene names were retrieved with biomaRt (version 2.40.5) and log2 fold-changes were shrunk with apeglm (version 1.6.0).	Genome_build: hg38 (GRCh38)	Supplementary_files_format_and_content: SuppTable1-ext_RNAseq-Data-ext.xlsx: Raw counts are included in two sheets of the Excel document (one with and one without donor 18p counts); donors 18k, 18o, and 19a were used to calculate the log2 fold-changes and significance values in the other sheet.	GPL21697	Gregory,Hunter,Babunovic	ghbabunovic@gmail.com	Sarah Fortune Lab	Immunology and Infectious Diseases	Harvard T.H. Chan School of Public Health	665 Huntington Ave., SPH 1, Room 802	Boston	MA	02115	USA	0	NextSeq 550	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21386046	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX12132537	NONE	Macrophages (MO-GMCSF)	18o	Infected with Mycobacterium tuberculosis	10 uM TTNPB	GSE183912
18o_Uninfected	GSM5573717	Public on Dec 21 2021	Sep 10 2021	Dec 21 2021	SRA	1	Human macrophages (MO-GMCSF)	Homo sapiens	cell type: Macrophages (MO-GMCSF)	infection status: Uninfected	treatment: media	donor: 18o	MO-GMCSF were infected for 12 hours with Mycobacterium tuberculosis at MOI=1 (or left uninfected), then treated with the indicated compounds at 10 μM, 0.2% DMSO or plain media for 11 hours prior to lysis.	Human primary monocytes were positively selected (CD14) from healthy donor peripheral blood mononuclear cells, then matured in 50 ng/mL GM-CSF for 6 days to create MO-GMCSF.	total RNA	RNA was extracted with buffer RLT (Qiagen) and purified on Zymo columns with off-column DNA digestion.	Libraries were constructed using the KAPA mRNA HyperPrep kit.	9606	mRNA	Reads were aligned with STAR aligner (version 2.6.0) in the RSEM program (version 1.2.29).	RNAseq counts were analyzed in R (version 3.6.3) with DESeq2 (version 1.24.0).	During analysis in R, gene names were retrieved with biomaRt (version 2.40.5) and log2 fold-changes were shrunk with apeglm (version 1.6.0).	Genome_build: hg38 (GRCh38)	Supplementary_files_format_and_content: SuppTable1-ext_RNAseq-Data-ext.xlsx: Raw counts are included in two sheets of the Excel document (one with and one without donor 18p counts); donors 18k, 18o, and 19a were used to calculate the log2 fold-changes and significance values in the other sheet.	GPL21697	Gregory,Hunter,Babunovic	ghbabunovic@gmail.com	Sarah Fortune Lab	Immunology and Infectious Diseases	Harvard T.H. Chan School of Public Health	665 Huntington Ave., SPH 1, Room 802	Boston	MA	02115	USA	0	NextSeq 550	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN21386047	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX12132538	NONE	Macrophages (MO-GMCSF)	18o	Uninfected	media	GSE183912
