title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	characteristics_ch1.3	treatment_protocol_ch1	growth_protocol_ch1	molecule_ch1	extract_protocol_ch1	extract_protocol_ch1.1	taxid_ch1	data_processing	data_processing.1	data_processing.2	platform_id	contact_name	contact_email	contact_phone	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	data_row_count	instrument_model	library_selection	library_source	library_strategy	relation	relation.1	supplementary_file_1	cell type:ch1	donor:ch1	tissue:ch1	treatment protocol:ch1	series_id
A_BG_MTB	GSM4210633	Public on Dec 10 2019	Dec 09 2019	Mar 20 2023	SRA	1	macrophage_BG_24hr_5d_media_MTB_4h	Homo sapiens	donor: Donor_A	tissue: Adult Human Peripheral Blood	cell type: macrophage	treatment protocol: BG_24hr_5_day_media_MTB_4hr	Cells were collected in Trizol.	Monocytes were negatively selected from peripheral blood and cultured in RPMI and 10% human serum for 6 days.	total RNA	RNA was extracted using the RNEasy mini kit.	Libraries were prepared by Novogene	9606	MMSEQ package was used to infer gene expression levels. Reads were mapped to the genome using Bowtie1	Genome_build: hg19	Supplementary_files_format_and_content: RNA files are in a .gene.mmseq.txt format, containing counts per gene and log RPKM.	GPL24676	Boris,,Novakovic	boris.novakovic@mcri.edu.au	0434980073	Murdoch Children's Research Institute	Murdoch Children's Research Institute, Royal Children's Hospital, Flemington Road	Parkville	Victoria	3052	Australia	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13512253	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7290745	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4210nnn/GSM4210633/suppl/GSM4210633_A_BG_MTB.gene.mmseq.txt.gz	macrophage	Donor_A	Adult Human Peripheral Blood	BG_24hr_5_day_media_MTB_4hr	GSE141656
A_BG_RPMI	GSM4210634	Public on Dec 10 2019	Dec 09 2019	Mar 20 2023	SRA	1	macrophage_BG_24hr_5d_media	Homo sapiens	donor: Donor_A	tissue: Adult Human Peripheral Blood	cell type: macrophage	treatment protocol: BG_24hr_5_day_media	Cells were collected in Trizol.	Monocytes were negatively selected from peripheral blood and cultured in RPMI and 10% human serum for 6 days.	total RNA	RNA was extracted using the RNEasy mini kit.	Libraries were prepared by Novogene	9606	MMSEQ package was used to infer gene expression levels. Reads were mapped to the genome using Bowtie1	Genome_build: hg19	Supplementary_files_format_and_content: RNA files are in a .gene.mmseq.txt format, containing counts per gene and log RPKM.	GPL24676	Boris,,Novakovic	boris.novakovic@mcri.edu.au	0434980073	Murdoch Children's Research Institute	Murdoch Children's Research Institute, Royal Children's Hospital, Flemington Road	Parkville	Victoria	3052	Australia	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13512252	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7290746	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4210nnn/GSM4210634/suppl/GSM4210634_A_BG_RPMI.gene.mmseq.txt.gz	macrophage	Donor_A	Adult Human Peripheral Blood	BG_24hr_5_day_media	GSE141656
A_RPMI_MTB	GSM4210635	Public on Dec 10 2019	Dec 09 2019	Mar 20 2023	SRA	1	macrophage_6d_media_MTB_4h	Homo sapiens	donor: Donor_A	tissue: Adult Human Peripheral Blood	cell type: macrophage	treatment protocol: 6_day_media_MTB_4hr	Cells were collected in Trizol.	Monocytes were negatively selected from peripheral blood and cultured in RPMI and 10% human serum for 6 days.	total RNA	RNA was extracted using the RNEasy mini kit.	Libraries were prepared by Novogene	9606	MMSEQ package was used to infer gene expression levels. Reads were mapped to the genome using Bowtie1	Genome_build: hg19	Supplementary_files_format_and_content: RNA files are in a .gene.mmseq.txt format, containing counts per gene and log RPKM.	GPL24676	Boris,,Novakovic	boris.novakovic@mcri.edu.au	0434980073	Murdoch Children's Research Institute	Murdoch Children's Research Institute, Royal Children's Hospital, Flemington Road	Parkville	Victoria	3052	Australia	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13512251	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7290747	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4210nnn/GSM4210635/suppl/GSM4210635_A_RPMI_MTB.gene.mmseq.txt.gz	macrophage	Donor_A	Adult Human Peripheral Blood	6_day_media_MTB_4hr	GSE141656
A_RPMI_RPMI	GSM4210636	Public on Dec 10 2019	Dec 09 2019	Mar 20 2023	SRA	1	macrophage_6d_media	Homo sapiens	donor: Donor_A	tissue: Adult Human Peripheral Blood	cell type: macrophage	treatment protocol: 6_day_media	Cells were collected in Trizol.	Monocytes were negatively selected from peripheral blood and cultured in RPMI and 10% human serum for 6 days.	total RNA	RNA was extracted using the RNEasy mini kit.	Libraries were prepared by Novogene	9606	MMSEQ package was used to infer gene expression levels. Reads were mapped to the genome using Bowtie1	Genome_build: hg19	Supplementary_files_format_and_content: RNA files are in a .gene.mmseq.txt format, containing counts per gene and log RPKM.	GPL24676	Boris,,Novakovic	boris.novakovic@mcri.edu.au	0434980073	Murdoch Children's Research Institute	Murdoch Children's Research Institute, Royal Children's Hospital, Flemington Road	Parkville	Victoria	3052	Australia	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13512250	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7290748	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4210nnn/GSM4210636/suppl/GSM4210636_A_RPMI_RPMI.gene.mmseq.txt.gz	macrophage	Donor_A	Adult Human Peripheral Blood	6_day_media	GSE141656
B_BG_MTB	GSM4210637	Public on Dec 10 2019	Dec 09 2019	Mar 20 2023	SRA	1	macrophage_BG_24hr_5d_media_MTB_4h	Homo sapiens	donor: Donor_B	tissue: Adult Human Peripheral Blood	cell type: macrophage	treatment protocol: BG_24hr_5_day_media_MTB_4hr	Cells were collected in Trizol.	Monocytes were negatively selected from peripheral blood and cultured in RPMI and 10% human serum for 6 days.	total RNA	RNA was extracted using the RNEasy mini kit.	Libraries were prepared by Novogene	9606	MMSEQ package was used to infer gene expression levels. Reads were mapped to the genome using Bowtie1	Genome_build: hg19	Supplementary_files_format_and_content: RNA files are in a .gene.mmseq.txt format, containing counts per gene and log RPKM.	GPL24676	Boris,,Novakovic	boris.novakovic@mcri.edu.au	0434980073	Murdoch Children's Research Institute	Murdoch Children's Research Institute, Royal Children's Hospital, Flemington Road	Parkville	Victoria	3052	Australia	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13512249	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7290749	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4210nnn/GSM4210637/suppl/GSM4210637_B_BG_MTB.gene.mmseq.txt.gz	macrophage	Donor_B	Adult Human Peripheral Blood	BG_24hr_5_day_media_MTB_4hr	GSE141656
B_BG_RPMI	GSM4210638	Public on Dec 10 2019	Dec 09 2019	Mar 20 2023	SRA	1	macrophage_BG_24hr_5d_media	Homo sapiens	donor: Donor_B	tissue: Adult Human Peripheral Blood	cell type: macrophage	treatment protocol: BG_24hr_5_day_media	Cells were collected in Trizol.	Monocytes were negatively selected from peripheral blood and cultured in RPMI and 10% human serum for 6 days.	total RNA	RNA was extracted using the RNEasy mini kit.	Libraries were prepared by Novogene	9606	MMSEQ package was used to infer gene expression levels. Reads were mapped to the genome using Bowtie1	Genome_build: hg19	Supplementary_files_format_and_content: RNA files are in a .gene.mmseq.txt format, containing counts per gene and log RPKM.	GPL24676	Boris,,Novakovic	boris.novakovic@mcri.edu.au	0434980073	Murdoch Children's Research Institute	Murdoch Children's Research Institute, Royal Children's Hospital, Flemington Road	Parkville	Victoria	3052	Australia	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13512248	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7290750	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4210nnn/GSM4210638/suppl/GSM4210638_B_BG_RPMI.gene.mmseq.txt.gz	macrophage	Donor_B	Adult Human Peripheral Blood	BG_24hr_5_day_media	GSE141656
B_RPMI_MTB	GSM4210639	Public on Dec 10 2019	Dec 09 2019	Mar 20 2023	SRA	1	macrophage_6d_media_MTB_4h	Homo sapiens	donor: Donor_B	tissue: Adult Human Peripheral Blood	cell type: macrophage	treatment protocol: 6_day_media_MTB_4hr	Cells were collected in Trizol.	Monocytes were negatively selected from peripheral blood and cultured in RPMI and 10% human serum for 6 days.	total RNA	RNA was extracted using the RNEasy mini kit.	Libraries were prepared by Novogene	9606	MMSEQ package was used to infer gene expression levels. Reads were mapped to the genome using Bowtie1	Genome_build: hg19	Supplementary_files_format_and_content: RNA files are in a .gene.mmseq.txt format, containing counts per gene and log RPKM.	GPL24676	Boris,,Novakovic	boris.novakovic@mcri.edu.au	0434980073	Murdoch Children's Research Institute	Murdoch Children's Research Institute, Royal Children's Hospital, Flemington Road	Parkville	Victoria	3052	Australia	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13512247	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7290751	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4210nnn/GSM4210639/suppl/GSM4210639_B_RPMI_MTB.gene.mmseq.txt.gz	macrophage	Donor_B	Adult Human Peripheral Blood	6_day_media_MTB_4hr	GSE141656
B_RPMI_RPMI	GSM4210640	Public on Dec 10 2019	Dec 09 2019	Mar 20 2023	SRA	1	macrophage_6d_media	Homo sapiens	donor: Donor_B	tissue: Adult Human Peripheral Blood	cell type: macrophage	treatment protocol: 6_day_media	Cells were collected in Trizol.	Monocytes were negatively selected from peripheral blood and cultured in RPMI and 10% human serum for 6 days.	total RNA	RNA was extracted using the RNEasy mini kit.	Libraries were prepared by Novogene	9606	MMSEQ package was used to infer gene expression levels. Reads were mapped to the genome using Bowtie1	Genome_build: hg19	Supplementary_files_format_and_content: RNA files are in a .gene.mmseq.txt format, containing counts per gene and log RPKM.	GPL24676	Boris,,Novakovic	boris.novakovic@mcri.edu.au	0434980073	Murdoch Children's Research Institute	Murdoch Children's Research Institute, Royal Children's Hospital, Flemington Road	Parkville	Victoria	3052	Australia	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13512246	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7290752	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4210nnn/GSM4210640/suppl/GSM4210640_B_RPMI_RPMI.gene.mmseq.txt.gz	macrophage	Donor_B	Adult Human Peripheral Blood	6_day_media	GSE141656
C_BG_MTB	GSM4210641	Public on Dec 10 2019	Dec 09 2019	Mar 20 2023	SRA	1	macrophage_BG_24hr_5d_media_MTB_4h	Homo sapiens	donor: Donor_C	tissue: Adult Human Peripheral Blood	cell type: macrophage	treatment protocol: BG_24hr_5_day_media_MTB_4hr	Cells were collected in Trizol.	Monocytes were negatively selected from peripheral blood and cultured in RPMI and 10% human serum for 6 days.	total RNA	RNA was extracted using the RNEasy mini kit.	Libraries were prepared by Novogene	9606	MMSEQ package was used to infer gene expression levels. Reads were mapped to the genome using Bowtie1	Genome_build: hg19	Supplementary_files_format_and_content: RNA files are in a .gene.mmseq.txt format, containing counts per gene and log RPKM.	GPL24676	Boris,,Novakovic	boris.novakovic@mcri.edu.au	0434980073	Murdoch Children's Research Institute	Murdoch Children's Research Institute, Royal Children's Hospital, Flemington Road	Parkville	Victoria	3052	Australia	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13512245	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7290753	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4210nnn/GSM4210641/suppl/GSM4210641_C_BG_MTB.gene.mmseq.txt.gz	macrophage	Donor_C	Adult Human Peripheral Blood	BG_24hr_5_day_media_MTB_4hr	GSE141656
C_BG_RPMI	GSM4210642	Public on Dec 10 2019	Dec 09 2019	Mar 20 2023	SRA	1	macrophage_BG_24hr_5d_media	Homo sapiens	donor: Donor_C	tissue: Adult Human Peripheral Blood	cell type: macrophage	treatment protocol: BG_24hr_5_day_media	Cells were collected in Trizol.	Monocytes were negatively selected from peripheral blood and cultured in RPMI and 10% human serum for 6 days.	total RNA	RNA was extracted using the RNEasy mini kit.	Libraries were prepared by Novogene	9606	MMSEQ package was used to infer gene expression levels. Reads were mapped to the genome using Bowtie1	Genome_build: hg19	Supplementary_files_format_and_content: RNA files are in a .gene.mmseq.txt format, containing counts per gene and log RPKM.	GPL24676	Boris,,Novakovic	boris.novakovic@mcri.edu.au	0434980073	Murdoch Children's Research Institute	Murdoch Children's Research Institute, Royal Children's Hospital, Flemington Road	Parkville	Victoria	3052	Australia	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN13512244	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX7290754	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM4210nnn/GSM4210642/suppl/GSM4210642_C_BG_RPMI.gene.mmseq.txt.gz	macrophage	Donor_C	Adult Human Peripheral Blood	BG_24hr_5_day_media	GSE141656
