title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	treatment_protocol_ch1	growth_protocol_ch1	molecule_ch1	extract_protocol_ch1	extract_protocol_ch1.1	taxid_ch1	data_processing	data_processing.1	data_processing.2	data_processing.3	data_processing.4	platform_id	contact_name	contact_email	contact_institute	contact_address	contact_city	contact_zip/postal_code	contact_country	data_row_count	instrument_model	library_selection	library_source	library_strategy	relation	relation.1	supplementary_file_1	cell line:ch1	cell type:ch1	treatment:ch1	series_id
HepG2 Mtb UNINFECTED, 0 hour, 1	GSM8087241	Public on May 17 2024	Feb 20 2024	May 17 2024	SRA	1	HepG2	Homo sapiens	cell line: HepG2	cell type: Heptocytes	treatment: No infection	HepG2 cells were infected with Mtb-H37Rv-mCherry at multipliction of infection 10 and sorted for mCherry positive cells at 0 hours (5 hours post infection) and 48 hours post infection.	HepG2 cells were grown in DMEM-high glucose supplimented with 10% FBS and antibiotics in a humidified atmosphere at 37degree Celsius	total RNA	Total RNA was isolated using Macherey-Nagel (MN) Nucleospin RNA isolation kit	Library was prepared using Illumina stranded total RNA prep kid as per manufacturer protocol	9606	The fastp tool was used to remove low qulaity reads and trimming the adapters.	Processed reads were mapped to reference genome (reference: mm9) using hisat2 tool.	Assembly and Quantification were done using stringtie. Further, DESeq2 used for the differential expression analysis.	Assembly: GRCh38	Supplementary files format and content: csv	GPL24676	Debasisa,,Mohanty	deb@nii.ac.in	National Institute of Imunology	Aruna Asaf Ali Marg	New Delhi	110067	India	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN40001003	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23671388	NONE	HepG2	Heptocytes	No infection	GSE256184
HepG2 Mtb UNINFECTED, 0 hour, 2	GSM8087242	Public on May 17 2024	Feb 20 2024	May 17 2024	SRA	1	HepG2	Homo sapiens	cell line: HepG2	cell type: Heptocytes	treatment: No infection	HepG2 cells were infected with Mtb-H37Rv-mCherry at multipliction of infection 10 and sorted for mCherry positive cells at 0 hours (5 hours post infection) and 48 hours post infection.	HepG2 cells were grown in DMEM-high glucose supplimented with 10% FBS and antibiotics in a humidified atmosphere at 37degree Celsius	total RNA	Total RNA was isolated using Macherey-Nagel (MN) Nucleospin RNA isolation kit	Library was prepared using Illumina stranded total RNA prep kid as per manufacturer protocol	9606	The fastp tool was used to remove low qulaity reads and trimming the adapters.	Processed reads were mapped to reference genome (reference: mm9) using hisat2 tool.	Assembly and Quantification were done using stringtie. Further, DESeq2 used for the differential expression analysis.	Assembly: GRCh38	Supplementary files format and content: csv	GPL24676	Debasisa,,Mohanty	deb@nii.ac.in	National Institute of Imunology	Aruna Asaf Ali Marg	New Delhi	110067	India	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN40001002	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23671389	NONE	HepG2	Heptocytes	No infection	GSE256184
HepG2 Mtb UNINFECTED, 0 hour, 3	GSM8087243	Public on May 17 2024	Feb 20 2024	May 17 2024	SRA	1	HepG2	Homo sapiens	cell line: HepG2	cell type: Heptocytes	treatment: No infection	HepG2 cells were infected with Mtb-H37Rv-mCherry at multipliction of infection 10 and sorted for mCherry positive cells at 0 hours (5 hours post infection) and 48 hours post infection.	HepG2 cells were grown in DMEM-high glucose supplimented with 10% FBS and antibiotics in a humidified atmosphere at 37degree Celsius	total RNA	Total RNA was isolated using Macherey-Nagel (MN) Nucleospin RNA isolation kit	Library was prepared using Illumina stranded total RNA prep kid as per manufacturer protocol	9606	The fastp tool was used to remove low qulaity reads and trimming the adapters.	Processed reads were mapped to reference genome (reference: mm9) using hisat2 tool.	Assembly and Quantification were done using stringtie. Further, DESeq2 used for the differential expression analysis.	Assembly: GRCh38	Supplementary files format and content: csv	GPL24676	Debasisa,,Mohanty	deb@nii.ac.in	National Institute of Imunology	Aruna Asaf Ali Marg	New Delhi	110067	India	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN40001001	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23671390	NONE	HepG2	Heptocytes	No infection	GSE256184
HepG2 Mtb UNINFECTED, 0 hour, 4	GSM8087244	Public on May 17 2024	Feb 20 2024	May 17 2024	SRA	1	HepG2	Homo sapiens	cell line: HepG2	cell type: Heptocytes	treatment: No infection	HepG2 cells were infected with Mtb-H37Rv-mCherry at multipliction of infection 10 and sorted for mCherry positive cells at 0 hours (5 hours post infection) and 48 hours post infection.	HepG2 cells were grown in DMEM-high glucose supplimented with 10% FBS and antibiotics in a humidified atmosphere at 37degree Celsius	total RNA	Total RNA was isolated using Macherey-Nagel (MN) Nucleospin RNA isolation kit	Library was prepared using Illumina stranded total RNA prep kid as per manufacturer protocol	9606	The fastp tool was used to remove low qulaity reads and trimming the adapters.	Processed reads were mapped to reference genome (reference: mm9) using hisat2 tool.	Assembly and Quantification were done using stringtie. Further, DESeq2 used for the differential expression analysis.	Assembly: GRCh38	Supplementary files format and content: csv	GPL24676	Debasisa,,Mohanty	deb@nii.ac.in	National Institute of Imunology	Aruna Asaf Ali Marg	New Delhi	110067	India	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN40001000	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23671391	NONE	HepG2	Heptocytes	No infection	GSE256184
HepG2 Mtb INFECTED (0 hour post infection)(5 hour post incubation) ,1	GSM8087245	Public on May 17 2024	Feb 20 2024	May 17 2024	SRA	1	HepG2	Homo sapiens	cell line: HepG2	cell type: Heptocytes	treatment: Mtb-H37Rv-mCHerry, MOI 10	HepG2 cells were infected with Mtb-H37Rv-mCherry at multipliction of infection 10 and sorted for mCherry positive cells at 0 hours (5 hours post infection) and 48 hours post infection.	HepG2 cells were grown in DMEM-high glucose supplimented with 10% FBS and antibiotics in a humidified atmosphere at 37degree Celsius	total RNA	Total RNA was isolated using Macherey-Nagel (MN) Nucleospin RNA isolation kit	Library was prepared using Illumina stranded total RNA prep kid as per manufacturer protocol	9606	The fastp tool was used to remove low qulaity reads and trimming the adapters.	Processed reads were mapped to reference genome (reference: mm9) using hisat2 tool.	Assembly and Quantification were done using stringtie. Further, DESeq2 used for the differential expression analysis.	Assembly: GRCh38	Supplementary files format and content: csv	GPL24676	Debasisa,,Mohanty	deb@nii.ac.in	National Institute of Imunology	Aruna Asaf Ali Marg	New Delhi	110067	India	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN40000999	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23671392	NONE	HepG2	Heptocytes	Mtb-H37Rv-mCHerry, MOI 10	GSE256184
HepG2 Mtb INFECTED (0 hour post infection)(5 hour post incubation), 2	GSM8087246	Public on May 17 2024	Feb 20 2024	May 17 2024	SRA	1	HepG2	Homo sapiens	cell line: HepG2	cell type: Heptocytes	treatment: Mtb-H37Rv-mCHerry, MOI 10	HepG2 cells were infected with Mtb-H37Rv-mCherry at multipliction of infection 10 and sorted for mCherry positive cells at 0 hours (5 hours post infection) and 48 hours post infection.	HepG2 cells were grown in DMEM-high glucose supplimented with 10% FBS and antibiotics in a humidified atmosphere at 37degree Celsius	total RNA	Total RNA was isolated using Macherey-Nagel (MN) Nucleospin RNA isolation kit	Library was prepared using Illumina stranded total RNA prep kid as per manufacturer protocol	9606	The fastp tool was used to remove low qulaity reads and trimming the adapters.	Processed reads were mapped to reference genome (reference: mm9) using hisat2 tool.	Assembly and Quantification were done using stringtie. Further, DESeq2 used for the differential expression analysis.	Assembly: GRCh38	Supplementary files format and content: csv	GPL24676	Debasisa,,Mohanty	deb@nii.ac.in	National Institute of Imunology	Aruna Asaf Ali Marg	New Delhi	110067	India	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN40000998	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23671393	NONE	HepG2	Heptocytes	Mtb-H37Rv-mCHerry, MOI 10	GSE256184
HepG2 Mtb INFECTED (0 hour post infection)(5 hour post incubation), 3	GSM8087247	Public on May 17 2024	Feb 20 2024	May 17 2024	SRA	1	HepG2	Homo sapiens	cell line: HepG2	cell type: Heptocytes	treatment: Mtb-H37Rv-mCHerry, MOI 10	HepG2 cells were infected with Mtb-H37Rv-mCherry at multipliction of infection 10 and sorted for mCherry positive cells at 0 hours (5 hours post infection) and 48 hours post infection.	HepG2 cells were grown in DMEM-high glucose supplimented with 10% FBS and antibiotics in a humidified atmosphere at 37degree Celsius	total RNA	Total RNA was isolated using Macherey-Nagel (MN) Nucleospin RNA isolation kit	Library was prepared using Illumina stranded total RNA prep kid as per manufacturer protocol	9606	The fastp tool was used to remove low qulaity reads and trimming the adapters.	Processed reads were mapped to reference genome (reference: mm9) using hisat2 tool.	Assembly and Quantification were done using stringtie. Further, DESeq2 used for the differential expression analysis.	Assembly: GRCh38	Supplementary files format and content: csv	GPL24676	Debasisa,,Mohanty	deb@nii.ac.in	National Institute of Imunology	Aruna Asaf Ali Marg	New Delhi	110067	India	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN40000997	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23671394	NONE	HepG2	Heptocytes	Mtb-H37Rv-mCHerry, MOI 10	GSE256184
HepG2 Mtb INFECTED (0 hour post infection)(5 hour post incubation), 4	GSM8087248	Public on May 17 2024	Feb 20 2024	May 17 2024	SRA	1	HepG2	Homo sapiens	cell line: HepG2	cell type: Heptocytes	treatment: Mtb-H37Rv-mCHerry, MOI 10	HepG2 cells were infected with Mtb-H37Rv-mCherry at multipliction of infection 10 and sorted for mCherry positive cells at 0 hours (5 hours post infection) and 48 hours post infection.	HepG2 cells were grown in DMEM-high glucose supplimented with 10% FBS and antibiotics in a humidified atmosphere at 37degree Celsius	total RNA	Total RNA was isolated using Macherey-Nagel (MN) Nucleospin RNA isolation kit	Library was prepared using Illumina stranded total RNA prep kid as per manufacturer protocol	9606	The fastp tool was used to remove low qulaity reads and trimming the adapters.	Processed reads were mapped to reference genome (reference: mm9) using hisat2 tool.	Assembly and Quantification were done using stringtie. Further, DESeq2 used for the differential expression analysis.	Assembly: GRCh38	Supplementary files format and content: csv	GPL24676	Debasisa,,Mohanty	deb@nii.ac.in	National Institute of Imunology	Aruna Asaf Ali Marg	New Delhi	110067	India	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN40000996	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23671395	NONE	HepG2	Heptocytes	Mtb-H37Rv-mCHerry, MOI 10	GSE256184
HepG2 Mtb UNINFECTED, 48 hours ,1	GSM8087249	Public on May 17 2024	Feb 20 2024	May 17 2024	SRA	1	HepG2	Homo sapiens	cell line: HepG2	cell type: Heptocytes	treatment: No infection	HepG2 cells were infected with Mtb-H37Rv-mCherry at multipliction of infection 10 and sorted for mCherry positive cells at 0 hours (5 hours post infection) and 48 hours post infection.	HepG2 cells were grown in DMEM-high glucose supplimented with 10% FBS and antibiotics in a humidified atmosphere at 37degree Celsius	total RNA	Total RNA was isolated using Macherey-Nagel (MN) Nucleospin RNA isolation kit	Library was prepared using Illumina stranded total RNA prep kid as per manufacturer protocol	9606	The fastp tool was used to remove low qulaity reads and trimming the adapters.	Processed reads were mapped to reference genome (reference: mm9) using hisat2 tool.	Assembly and Quantification were done using stringtie. Further, DESeq2 used for the differential expression analysis.	Assembly: GRCh38	Supplementary files format and content: csv	GPL24676	Debasisa,,Mohanty	deb@nii.ac.in	National Institute of Imunology	Aruna Asaf Ali Marg	New Delhi	110067	India	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN40000995	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23671396	NONE	HepG2	Heptocytes	No infection	GSE256184
HepG2 Mtb UNINFECTED, 48 hours , 2	GSM8087250	Public on May 17 2024	Feb 20 2024	May 17 2024	SRA	1	HepG2	Homo sapiens	cell line: HepG2	cell type: Heptocytes	treatment: No infection	HepG2 cells were infected with Mtb-H37Rv-mCherry at multipliction of infection 10 and sorted for mCherry positive cells at 0 hours (5 hours post infection) and 48 hours post infection.	HepG2 cells were grown in DMEM-high glucose supplimented with 10% FBS and antibiotics in a humidified atmosphere at 37degree Celsius	total RNA	Total RNA was isolated using Macherey-Nagel (MN) Nucleospin RNA isolation kit	Library was prepared using Illumina stranded total RNA prep kid as per manufacturer protocol	9606	The fastp tool was used to remove low qulaity reads and trimming the adapters.	Processed reads were mapped to reference genome (reference: mm9) using hisat2 tool.	Assembly and Quantification were done using stringtie. Further, DESeq2 used for the differential expression analysis.	Assembly: GRCh38	Supplementary files format and content: csv	GPL24676	Debasisa,,Mohanty	deb@nii.ac.in	National Institute of Imunology	Aruna Asaf Ali Marg	New Delhi	110067	India	0	Illumina NovaSeq 6000	cDNA	transcriptomic	RNA-Seq	BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN40000994	SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX23671397	NONE	HepG2	Heptocytes	No infection	GSE256184
