shared name,type
mitotane,drug
HTR1F,target
NPEPL1,target
estradiol,drug
vemurafenib,drug
PSMB8,target
ITGB5,target
sertraline,drug
PLD2,target
FBXO11,target
CENPE,target
SYK,target
albendazole,drug
curcumin,drug
SATB1,target
CDK6,target
TXNDC9,target
CDC25A,target
SLC2A6,target
ANKK1,target
HTT,target
chlorprothixene,drug
TMEM50A,target
CXCL2,source
tubocurarine,drug
SDS,target
ZNF423,target
UBR1,target
FBXW7,target
ARPP19,target
SNAP23,in-path
EAPP,target
MBOAT7,target
PRSS23,target
FLT1,target
TIAM1,target
toremifene,drug
ITGAM,target
NFATC3,target
RPA2,target
PDGFB,target
diclofenac,drug
brompheniramine,drug
SMC3,target
HSF1,target
CD44,source
axitinib,drug
zolmitriptan,drug
CRISPLD2,target
GPATCH8,target
IER3,target
SLC12A3,target
gemfibrozil,drug
DUSP4,target
DDB1,hub
MBP,target
DNMT3B,target
CAMK2A,target
GOLT1B,target
S100A10,target
MAST2,target
NISCH,target
HES1,target
GLRX,target
SIRT7,target
naftopidil,drug
DNAJA3,target
GADD45B,source
ABHD4,target
DDA1,in-path
lapatinib,drug
KIF20A,target
CSRP1,target
LIPC,target
NEDD8,hub
TRIB1,source
LAMA3,target
ICMT,target
STXBP1,source
G3BP1,target
UBE2C,target
RELA,hub
ITGAE,target
PDGFRB,target
CIAPIN1,target
NUP85,target
PUF60,target
SLC2A3,target
STAT5B,target
RBKS,target
HRH1,target
HMGCS1,source
PTPRF,source
PLIN1,target
CYCS,target
KEAP1,target
FOXO3,target
naltrexone,drug
panobinostat,drug
TEAD1,target
CDK1,target
PHGDH,target
TIMELESS,target
HSPA8,target
KDM3A,target
GFER,target
amiodarone,drug
forskolin,drug
CEBPZ,target
LPA,target
HLA-DQA1,target
MTHFD2,target
IKZF1,target
GMNN,target
MVP,target
CD80,target
MUC1,target
INSIG1,target
GNAS,target
FOSL1,target
USP24,target
THBD,target
CYP1B1,target
ALDH7A1,source
dexamethasone,drug
EIF3A,hub
DDIT4,target
DHDDS,target
lisuride,drug
PTGS2,target
NVL,target
RRAS2,target
PON1,target
IKBKE,target
PCNA,target
dasatinib,drug
NR2F6,target
TOP2A,source
tamoxifen,drug
GABPA,target
TFF3,target
LYPLA1,target
BAX,in-path
BNIP3,target
CD34,target
SRC,target
USP6NL,target
TRAPPC6A,target
POLR2I,target
DYRK3,target
HMGB1,target
UFM1,target
SREBF1,target
DLD,target
STX4,hub
TM9SF3,target
STAT5A,target
IAPP,target
chlorphenamine,drug
CHMP4A,target
BIRC5,target
nicergoline,drug
PIGB,target
LRRC41,target
HLA-DMA,target
oxybenzone,drug
CACNG1,target
HADH,source
SUV39H1,target
CCL11,target
rilmenidine,drug
ENOPH1,target
HMOX1,target
PNP,target
CDC20,target
ECH1,target
EIF3B,hub
STUB1,target
nitrendipine,drug
CXCR4,source
papaverine,drug
VAMP2,hub
TIMM9,target
SLC15A1,target
SCAP,target
ethinyl-estradiol,drug
GDF15,target
probucol,drug
CDC45,target
USP3,hub
HSD17B3,target
ephedrine,drug
AKR7A2,target
DBH,target
PPP2R1A,hub
ATP6V1D,target
STX2,hub
PPP2R5E,target
KIT,target
LEP,target
labetalol,drug
IGHMBP2,target
itraconazole,drug
IL8,in-path
BAG3,target
MCOLN1,target
CASP2,target
triclosan,drug
CXCR2,in-path
TPM1,target
ADRA1A,target
fostamatinib,drug
icosapent,drug
TNIP1,target
CACNA1H,target
OXA1L,target
SMAD2,target
rosuvastatin,drug
CEL,target
PPFIA1,in-path
EEF2K,target
MAP3K7,hub
fluvastatin,drug
bendroflumethiazide,drug
COQ2,target
S100A4,target
TGFBR2,target
DNM1L,target
ESR1,hub
GNA11,target
TFAP2A,target
granisetron,drug
FOXO4,target
CAT,target
simvastatin,drug
ITGB1,in-path
KCTD5,target
ADRA2A,target
ACTL6A,target
HTR1A,target
HSPA1A,target
E2F2,target
STK10,target
lovastatin,drug
methoxsalen,drug
CHP1,target
THAP11,target
SMARCB1,target
DFFB,target
ADRB2,source
resveratrol,drug
INTS3,target
KLHL21,target
CRK,target
HNF1A,target
CDC25C,target
MT1F,target
SERPINE1,target
PTPRD,target
UGDH,target
PLA2G15,target
RGS2,target
FDFT1,target
TUBB6,target
SLC1A4,target
CASP3,target
CREBBP,target
TLR4,target
NOS1AP,target
SESN1,target
TSPAN4,source
HTR2B,target
NECA,drug
COG2,target
PWP1,target
INPP4B,target
LGALS8,target
MAP7,target
F2RL1,target
DUSP3,target
HMGCR,target
ITGA5,in-path
tofacitinib,drug
PLD1,target
benzonatate,drug
UBC,hub
CDKN1A,target
SCAND1,target
PLK1,target
clarithromycin,drug
VAV3,target
mometasone,drug
RBM34,target
KIF5C,target
TNFRSF21,target
nelfinavir,drug
PCK2,target
SIRT4,target
dopamine,drug
PIP,target
MCL1,in-path
RIPK1,target
HSPA1L,target
LTA,target
trapidil,drug
ACTC1,target
SIRT6,target
ZNF395,target
FMO1,target
CBR3,source
TSC22D3,target
CCDC86,target
CYP2A6,target
MAP2K6,in-path
BIRC2,source
ERBB3,target
APOB,target
ECHS1,in-path
HERC6,target
PECR,target
CUL4A,hub
TIPARP,target
XDH,target
atorvastatin,drug
TCEA2,target
PKN3,target
chenodeoxycholic-acid,drug
PLAU,target
PRPF4,target
clonidine,drug
NF2,target
BAG6,target
PRRC2A,target
RHOA,target
SIRT3,target
AVPR2,target
quercetin,drug
FOXA3,target
nabumetone,drug
GJA1,target
ketotifen,drug
FABP1,target
HYOU1,target
CYP11A1,target
RXRA,target
IGFBP3,target
PKN1,target
methylergometrine,drug
RAC2,target
AURKA,target
MAP3K4,in-path
LYN,target
KRT19,target
CYP2J2,target
EIF5,target
JMJD6,target
FKBP1A,target
BCL2,source
temsirolimus,drug
SPAG4,target
raloxifene,drug
carbamazepine,drug
CHKA,target
