significant_drug	CMAP	LINCS	Cor	occurrence	clinical_phase	moa	target	disease_area	indication
fostamatinib	1	3	2	6	Launched	SYK inhibitor	SYK	hematology	chronic immune thrombocytopenia (ITP)
bendroflumethiazide	0	2	2	4	Launched	sodium/potassium/chloride transporter inhibitor	SLC12A1|SLC12A3	cardiology	hypertension
phenazopyridine	0	2	2	4	Launched	local anesthetic	SCN1A	infectious disease	urinary tract infections
rosuvastatin	1	1	2	4	Launched	HMGCR inhibitor	HMGCR	endocrinology|cardiology	hyperlipidemia|dyslipidemia|hypertriglyceridemia|hypercholesterolemia|atherosclerosis
vemurafenib	1	1	2	4	Launched	RAF inhibitor	BRAF|RAF1	oncology	melanoma
acamprosate	0	1	2	3	Launched	glutamate receptor antagonist	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B|GRM5	neurology/psychiatry	abstinence from alcohol
altrenogest	0	1	2	3	Launched	progestogen hormone	PGR	endocrinology	estrus
aminoglutethimide	0	1	2	3	Launched	glucocorticoid receptor antagonist	CYP11A1|CYP19A1	endocrinology|oncology	Cushing's syndrome|breast cancer
amoxapine	0	1	2	3	Launched	norepinephrine reputake inhibitor	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|HRH1|HRH4|HTR1A|HTR1B|HTR2A|HTR2B|HTR2C|HTR3A|HTR6|HTR7|SLC6A2|SLC6A3|SLC6A4	neurology/psychiatry	depression
anagrelide	0	1	2	3	Launched	phosphodiesterase inhibitor	PDE3A	hematology|hematologic malignancy	thrombocythemia|myeloproliferative neoplasms
aniracetam	0	1	2	3	Launched	glutamate receptor agonist	DRD2|GRIA1|GRIA2|GRIA3|GRIA4|HTR2A		
aprepitant	0	1	2	3	Launched	tachykinin antagonist	TACR1	gastroenterology	nausea|vomiting
atorvastatin	0	1	2	3	Launched	HMGCR inhibitor	AHR|DPP4|HMGCR	neurology/psychiatry|cardiology	stroke|heart attack
azaperone	0	1	2	3	Launched	dopamine receptor antagonist	DRD2|DRD3	neurology/psychiatry	sedative
brompheniramine	0	1	2	3	Launched	histamine receptor antagonist	HRH1	allergy|otolaryngology	allergic rhinitis|common cold
bucladesine	0	1	2	3	Launched	adenosine receptor agonist|cAMP stimulant	PRKACA	dermatology	skin ulcer
buphenine	0	1	2	3	Launched	adrenergic receptor agonist	ADRB2	rheumatology	Raynaud's disease
bupropion	0	1	2	3	Launched	dopamine reuptake inhibitor	SLC6A2|SLC6A3	neurology/psychiatry	depression
carbinoxamine	0	1	2	3	Launched	histamine receptor antagonist	HRH1	allergy|ophthalmology|otolaryngology|dermatology	allergic rhinitis|conjunctivitis|vasomotor rhinitis|dermatographism
chenodeoxycholic-acid	0	1	2	3	Launched	11-beta hydroxysteroid dehydrogenase inhibitor|FXR agonist	HSD11B1|NR1H4	cardiology|gastroenterology	cerebral cholesterosis|gallstones
chloroquine	0	1	2	3	Launched	antimalarial agent	MRGPRX1	infectious disease	malaria|amebiasis
cilostazol	0	1	2	3	Launched	phosphodiesterase inhibitor	PDE3A|PDE3B	cardiology	claudication
decitabine	0	1	2	3	Launched	DNA methyltransferase inhibitor	DNMT1|DNMT3A	hematologic malignancy|hematology	myelodysplastic diseases (MDS)|anemia|chronic myeloid leukemia (CML)
