node	type
ABHD4	dpgene
ACTC1	target
ADRA2A	target
AKR7A2	dpgene
AKT1	target
APOB	target
ATP6V1D	dpgene
CAMK2A	target
CCDC86	dpgene
CCNB1	target
CD34	target
CDC20	dpgene
CDC25A	dpgene
CDC25C	target
CDC45	dpgene
CDK1	target
CDK2	target
CDKN1A	dpgene
CEL	target
CHEK1	target
CHKA	target
CHP1	dpgene
CREBBP	target
CRISPLD2	target
CTNNB1	target
CYCS	dpgene
Corticosteroid agonist	moa
Cyclooxygenase inhibitor	moa
Cytochrome P450 inhibitor	moa
DDIT4	dpgene
DFFB	target
DLD	dpgene
DNMT3B	target
Dopamine receptor agonist	moa
Dopamine receptor antagonist	moa
EP300	target
ESR1	target
Enoyl-[acyl-carrier-protein] reductase [NADH] inhibitor	moa
Estrogen receptor antagonist	moa
FABP1	target
FDFT1	target
FLT1	target
FMO1	target
FOXO3	target
GABPA	target
GDF15	target
GFER	target
GMNN	dpgene
GNAS	dpgene
Glucocorticoid receptor agonist	moa
Glucocorticoid receptor modulator	moa
HDAC1	target
HERC6	dpgene
HMGCR	target
HMGCR	dpgene
HMGCR inhibitor	moa
HMGCS1	dpgene
HMOX1	dpgene
HSD17B3	target
HSF1	target
HSP90AA1	target
HTR1A	target
HTR2B	target
Histone acetyltransferase inhibitor	moa
IAPP	target
ICMT	target
IER3	dpgene
IGFBP3	dpgene
IKBKE	dpgene
INSIG1	dpgene
ITGAE	dpgene
KRT19	target
LAMA3	dpgene
LEP	target
LIPC	target
LRMDA	target
Lipoprotein lipase activator	moa
Lipoxygenase inhibitor	moa
MAP7	dpgene
MBP	target
MT1F	target
MUC1	dpgene
MVP	dpgene
NFkB pathway inhibitor	moa
OR2B11	target
ORC5	target
PCNA	dpgene
PDGFB	target
PDGFR receptor inhibitor	moa
PECAM1	target
PIP	target
PKN1	target
PKN3	target
PLD1	target
PLD2	target
PON1	target
PRSS23	dpgene
Polar auxin transport inhibitor	moa
RAF1	target
RBM34	dpgene
RHOA	dpgene
RIPK1	target
RRAS2	target
RXRA	target
S100A10	target
SCAP	target
SDS	target
SIRT activator	moa
SIRT3	dpgene
SKP2	target
SLC15A1	target
SLC2A3	target
SMAD2	target
SMAD4	target
SRC	dpgene
SREBF1	target
ST3GAL5	dpgene
STUB1	dpgene
SUV39H1	dpgene
Selective estrogen receptor modulator (SERM)	moa
TEAD1	target
TFF3	target
THBD	target
TIMELESS	dpgene
TIPARP	dpgene
TNFRSF21	dpgene
TP53	target
TPM1	dpgene
TSC22D3	target
TSC22D3	dpgene
UBB	target
UBC	target
UBR1	target
UGDH	dpgene
VAV3	dpgene
VEGFR inhibitor	moa
ZNF423	target
ZNF542P	target
axitinib	drug
chlorprothixene	drug
curcumin	drug
cytokine production involved in inflammatory response	pathway
cytokine secretion involved in immune response	pathway
cytokinetic process	pathway
cytoskeleton-dependent cytokinesis	pathway
dendritic cell cytokine production	pathway
dexamethasone	drug
dopamine	drug
fluvastatin	drug
gemfibrozil	drug
lisuride	drug
lovastatin	drug
mast cell cytokine production	pathway
mitotic cytokinesis	pathway
mitotic cytokinetic process	pathway
myeloid leukocyte cytokine production	pathway
negative regulation of cytokine production involved in immune response	pathway
negative regulation of cytokine secretion	pathway
negative regulation of cytokine secretion involved in immune response	pathway
negative regulation of cytokine-mediated signaling pathway	pathway
negative regulation of response to cytokine stimulus	pathway
positive regulation of T-helper 2 cell cytokine production	pathway
positive regulation of cytokine biosynthetic process	pathway
positive regulation of cytokinesis	pathway
quercetin	drug
regulation of cytokine biosynthetic process	pathway
regulation of cytokine production involved in inflammatory response	pathway
regulation of cytokine secretion involved in immune response	pathway
regulation of cytokinesis	pathway
resveratrol	drug
simvastatin	drug
tamoxifen	drug
triclosan	drug
