refinebio_accession_code	experiment_accession	refinebio_age	refinebio_cell_line	refinebio_compound	refinebio_disease	refinebio_disease_stage	refinebio_genetic_information	refinebio_organism	refinebio_platform	refinebio_processed	refinebio_processor_id	refinebio_processor_name	refinebio_processor_version	refinebio_race	refinebio_sex	refinebio_source_archive_url	refinebio_source_database	refinebio_specimen_part	refinebio_subject	refinebio_time	refinebio_title	refinebio_treatment	channel_count	characteristics_ch1_cell type	characteristics_ch1_exposure	contact_address	contact_city	contact_country	contact_department	contact_email	contact_institute	contact_name	contact_phone	contact_state	contact_zip/postal_code	data_processing	data_row_count	description	extract_protocol_ch1	geo_accession	growth_protocol_ch1	hyb_protocol	label_ch1	label_protocol_ch1	last_update_date	molecule_ch1	organism_ch1	platform_id	scan_protocol	series_id	source_name_ch1	status	submission_date	supplementary_file	taxid_ch1	title	treatment_protocol_ch1	type
GSM435893	GSE17477							HOMO_SAPIENS	Affymetrix Human Genome U133A 2.0 Array (hgu133a2)	True	99	Affymetrix SCAN	v1.4.7				GEO	thp-1 macrophage			THP1, IFN-g treated, biological rep 1		1	THP-1 macrophage		225 Warren St	Newark	USA	PHRI/Medicine	pineri@umdnj.edu	UMDNJ-NJMS	Richard,,Pine	973-854-3320	NJ	07103	The data were analyzed using the affy package of Bioconductor with the following parameters selected: Background correction: MAS5, PM probe correction: MAS5; expression summary: medianpolish (RMA); normalization: scaled to average GAPDH probeset intensity and Loess normalized.	22277	Gene expression data from human THP-1 cells stimulated with IFN-g	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	GSM435893	Human THP-1 cells were grown and treated with phobol-12-myristate-13-acetate (PMA) for 1 day to induce differentiation to a macrophage-like state.	Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on Affymetrix GeneChip, Human Genome U133A 2.0 Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5/10? ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	Jan 21 2010	total RNA	Homo sapiens	GPL571	GeneChips were scanned using the Affymetrix GeneChip Scanner G3000.	GSE17477	Human THP-1, IFN-g treated, 2 hr.	Public on Feb 28 2010	Aug 03 2009	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM435nnn/GSM435893/suppl/GSM435893.CEL.gz	9606	THP1, IFN-g treated, biological rep 1	In multiple experiments, THP-1 cells were exposed to each of the following four conditions: not treated, IFN-g treated , M.tb. Infected and M.tb. Infected then IFN-g treated.	RNA
GSM435894	GSE17477							HOMO_SAPIENS	Affymetrix Human Genome U133A 2.0 Array (hgu133a2)	True	321	Affymetrix SCAN	v1.22.14-hotfix				GEO	thp-1 macrophage			THP1, IFN-g treated, biological rep 2		1	THP-1 macrophage		225 Warren St	Newark	USA	PHRI/Medicine	pineri@umdnj.edu	UMDNJ-NJMS	Richard,,Pine	973-854-3320	NJ	07103	The data were analyzed using the affy package of Bioconductor with the following parameters selected: Background correction: MAS5, PM probe correction: MAS5; expression summary: medianpolish (RMA); normalization: scaled to average GAPDH probeset intensity and Loess normalized.	22277	Gene expression data from human THP-1 cells stimulated with IFN-g	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	GSM435894	Human THP-1 cells were grown and treated with phobol-12-myristate-13-acetate (PMA) for 1 day to induce differentiation to a macrophage-like state.	Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on Affymetrix GeneChip, Human Genome U133A 2.0 Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5/10? ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	Jan 21 2010	total RNA	Homo sapiens	GPL571	GeneChips were scanned using the Affymetrix GeneChip Scanner G3000.	GSE17477	Human THP-1, IFN-g treated, 2 hr.	Public on Feb 28 2010	Aug 03 2009	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM435nnn/GSM435894/suppl/GSM435894.CEL.gz	9606	THP1, IFN-g treated, biological rep 2	In multiple experiments, THP-1 cells were exposed to each of the following four conditions: not treated, IFN-g treated , M.tb. Infected and M.tb. Infected then IFN-g treated.	RNA
GSM435895	GSE17477							HOMO_SAPIENS	Affymetrix Human Genome U133A 2.0 Array (hgu133a2)	True	321	Affymetrix SCAN	v1.22.14-hotfix				GEO	thp-1 macrophage			THP1, IFN-g treated, biological rep 3		1	THP-1 macrophage		225 Warren St	Newark	USA	PHRI/Medicine	pineri@umdnj.edu	UMDNJ-NJMS	Richard,,Pine	973-854-3320	NJ	07103	The data were analyzed using the affy package of Bioconductor with the following parameters selected: Background correction: MAS5, PM probe correction: MAS5; expression summary: medianpolish (RMA); normalization: scaled to average GAPDH probeset intensity and Loess normalized.	22277	Gene expression data from human THP-1 cells stimulated with IFN-g	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	GSM435895	Human THP-1 cells were grown and treated with phobol-12-myristate-13-acetate (PMA) for 1 day to induce differentiation to a macrophage-like state.	Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on Affymetrix GeneChip, Human Genome U133A 2.0 Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5/10? ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	Jan 21 2010	total RNA	Homo sapiens	GPL571	GeneChips were scanned using the Affymetrix GeneChip Scanner G3000.	GSE17477	Human THP-1, IFN-g treated, 2 hr.	Public on Feb 28 2010	Aug 03 2009	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM435nnn/GSM435895/suppl/GSM435895.CEL.gz	9606	THP1, IFN-g treated, biological rep 3	In multiple experiments, THP-1 cells were exposed to each of the following four conditions: not treated, IFN-g treated , M.tb. Infected and M.tb. Infected then IFN-g treated.	RNA
GSM435896	GSE17477							HOMO_SAPIENS	Affymetrix Human Genome U133A 2.0 Array (hgu133a2)	True	321	Affymetrix SCAN	v1.22.14-hotfix				GEO	thp-1 macrophage			THP1, IFN-g treated, biological rep 4		1	THP-1 macrophage		225 Warren St	Newark	USA	PHRI/Medicine	pineri@umdnj.edu	UMDNJ-NJMS	Richard,,Pine	973-854-3320	NJ	07103	The data were analyzed using the affy package of Bioconductor with the following parameters selected: Background correction: MAS5, PM probe correction: MAS5; expression summary: medianpolish (RMA); normalization: scaled to average GAPDH probeset intensity and Loess normalized.	22277	Gene expression data from human THP-1 cells stimulated with IFN-g	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	GSM435896	Human THP-1 cells were grown and treated with phobol-12-myristate-13-acetate (PMA) for 1 day to induce differentiation to a macrophage-like state.	Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on Affymetrix GeneChip, Human Genome U133A 2.0 Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5/10? ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	Jan 21 2010	total RNA	Homo sapiens	GPL571	GeneChips were scanned using the Affymetrix GeneChip Scanner G3000.	GSE17477	Human THP-1, IFN-g treated, 2 hr.	Public on Feb 28 2010	Aug 03 2009	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM435nnn/GSM435896/suppl/GSM435896.CEL.gz	9606	THP1, IFN-g treated, biological rep 4	In multiple experiments, THP-1 cells were exposed to each of the following four conditions: not treated, IFN-g treated , M.tb. Infected and M.tb. Infected then IFN-g treated.	RNA
GSM435897	GSE17477							HOMO_SAPIENS	Affymetrix Human Genome U133A 2.0 Array (hgu133a2)	True	321	Affymetrix SCAN	v1.22.14-hotfix				GEO	thp-1 macrophage			THP1, TB infected, biological rep 1		1	THP-1 macrophage		225 Warren St	Newark	USA	PHRI/Medicine	pineri@umdnj.edu	UMDNJ-NJMS	Richard,,Pine	973-854-3320	NJ	07103	The data were analyzed using the affy package of Bioconductor with the following parameters selected: Background correction: MAS5, PM probe correction: MAS5; expression summary: medianpolish (RMA); normalization: scaled to average GAPDH probeset intensity and Loess normalized.	22277	Gene expression data from human THP-1 cells infected with M.tb. TN913	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	GSM435897	Human THP-1 cells were grown and treated with phobol-12-myristate-13-acetate (PMA) for 1 day to induce differentiation to a macrophage-like state.	Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on Affymetrix GeneChip, Human Genome U133A 2.0 Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5/10? ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	Jan 21 2010	total RNA	Homo sapiens	GPL571	GeneChips were scanned using the Affymetrix GeneChip Scanner G3000.	GSE17477	Human THP-1, TB infected, 72 hr.	Public on Feb 28 2010	Aug 03 2009	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM435nnn/GSM435897/suppl/GSM435897.CEL.gz	9606	THP1, TB infected, biological rep 1	In multiple experiments, THP-1 cells were exposed to each of the following four conditions: not treated, IFN-g treated , M.tb. Infected and M.tb. Infected then IFN-g treated.	RNA
GSM435898	GSE17477							HOMO_SAPIENS	Affymetrix Human Genome U133A 2.0 Array (hgu133a2)	True	321	Affymetrix SCAN	v1.22.14-hotfix				GEO	thp-1 macrophage			THP1, TB infected, biological rep 2		1	THP-1 macrophage		225 Warren St	Newark	USA	PHRI/Medicine	pineri@umdnj.edu	UMDNJ-NJMS	Richard,,Pine	973-854-3320	NJ	07103	The data were analyzed using the affy package of Bioconductor with the following parameters selected: Background correction: MAS5, PM probe correction: MAS5; expression summary: medianpolish (RMA); normalization: scaled to average GAPDH probeset intensity and Loess normalized.	22277	Gene expression data from human THP-1 cells infected with M.tb. TN913	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	GSM435898	Human THP-1 cells were grown and treated with phobol-12-myristate-13-acetate (PMA) for 1 day to induce differentiation to a macrophage-like state.	Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on Affymetrix GeneChip, Human Genome U133A 2.0 Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5/10? ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	Jan 21 2010	total RNA	Homo sapiens	GPL571	GeneChips were scanned using the Affymetrix GeneChip Scanner G3000.	GSE17477	Human THP-1, TB infected, 72 hr.	Public on Feb 28 2010	Aug 03 2009	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM435nnn/GSM435898/suppl/GSM435898.CEL.gz	9606	THP1, TB infected, biological rep 2	In multiple experiments, THP-1 cells were exposed to each of the following four conditions: not treated, IFN-g treated , M.tb. Infected and M.tb. Infected then IFN-g treated.	RNA
GSM435899	GSE17477							HOMO_SAPIENS	Affymetrix Human Genome U133A 2.0 Array (hgu133a2)	True	321	Affymetrix SCAN	v1.22.14-hotfix				GEO	thp-1 macrophage			THP1, TB infected, biological rep 3		1	THP-1 macrophage		225 Warren St	Newark	USA	PHRI/Medicine	pineri@umdnj.edu	UMDNJ-NJMS	Richard,,Pine	973-854-3320	NJ	07103	The data were analyzed using the affy package of Bioconductor with the following parameters selected: Background correction: MAS5, PM probe correction: MAS5; expression summary: medianpolish (RMA); normalization: scaled to average GAPDH probeset intensity and Loess normalized.	22277	Gene expression data from human THP-1 cells infected with M.tb. TN913	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	GSM435899	Human THP-1 cells were grown and treated with phobol-12-myristate-13-acetate (PMA) for 1 day to induce differentiation to a macrophage-like state.	Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on Affymetrix GeneChip, Human Genome U133A 2.0 Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5/10? ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	Jan 21 2010	total RNA	Homo sapiens	GPL571	GeneChips were scanned using the Affymetrix GeneChip Scanner G3000.	GSE17477	Human THP-1, TB infected, 72 hr.	Public on Feb 28 2010	Aug 03 2009	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM435nnn/GSM435899/suppl/GSM435899.CEL.gz	9606	THP1, TB infected, biological rep 3	In multiple experiments, THP-1 cells were exposed to each of the following four conditions: not treated, IFN-g treated , M.tb. Infected and M.tb. Infected then IFN-g treated.	RNA
GSM435900	GSE17477							HOMO_SAPIENS	Affymetrix Human Genome U133A 2.0 Array (hgu133a2)	True	321	Affymetrix SCAN	v1.22.14-hotfix				GEO	thp-1 macrophage			THP1, TB infected, biological rep 4		1	THP-1 macrophage		225 Warren St	Newark	USA	PHRI/Medicine	pineri@umdnj.edu	UMDNJ-NJMS	Richard,,Pine	973-854-3320	NJ	07103	The data were analyzed using the affy package of Bioconductor with the following parameters selected: Background correction: MAS5, PM probe correction: MAS5; expression summary: medianpolish (RMA); normalization: scaled to average GAPDH probeset intensity and Loess normalized.	22277	Gene expression data from human THP-1 cells infected with M.tb. TN913	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	GSM435900	Human THP-1 cells were grown and treated with phobol-12-myristate-13-acetate (PMA) for 1 day to induce differentiation to a macrophage-like state.	Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on Affymetrix GeneChip, Human Genome U133A 2.0 Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5/10? ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	Jan 21 2010	total RNA	Homo sapiens	GPL571	GeneChips were scanned using the Affymetrix GeneChip Scanner G3000.	GSE17477	Human THP-1, TB infected, 72 hr.	Public on Feb 28 2010	Aug 03 2009	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM435nnn/GSM435900/suppl/GSM435900.CEL.gz	9606	THP1, TB infected, biological rep 4	In multiple experiments, THP-1 cells were exposed to each of the following four conditions: not treated, IFN-g treated , M.tb. Infected and M.tb. Infected then IFN-g treated.	RNA
GSM435901	GSE17477							HOMO_SAPIENS	Affymetrix Human Genome U133A 2.0 Array (hgu133a2)	True	99	Affymetrix SCAN	v1.4.7				GEO	thp-1 macrophage			THP1, TB infected, IFN-g treated, biological rep 1		1	THP-1 macrophage		225 Warren St	Newark	USA	PHRI/Medicine	pineri@umdnj.edu	UMDNJ-NJMS	Richard,,Pine	973-854-3320	NJ	07103	The data were analyzed using the affy package of Bioconductor with the following parameters selected: Background correction: MAS5, PM probe correction: MAS5; expression summary: medianpolish (RMA); normalization: scaled to average GAPDH probeset intensity and Loess normalized.	22277	Gene expression data from human THP-1 cells infected with M.tb. TN913 then stimulated with IFN-g	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	GSM435901	Human THP-1 cells were grown and treated with phobol-12-myristate-13-acetate (PMA) for 1 day to induce differentiation to a macrophage-like state.	Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on Affymetrix GeneChip, Human Genome U133A 2.0 Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5/10? ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	Jan 21 2010	total RNA	Homo sapiens	GPL571	GeneChips were scanned using the Affymetrix GeneChip Scanner G3000.	GSE17477	Human THP-1, TB infected, 72 hr., IFN-g treated, 2 hr.	Public on Feb 28 2010	Aug 03 2009	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM435nnn/GSM435901/suppl/GSM435901.CEL.gz	9606	THP1, TB infected, IFN-g treated, biological rep 1	In multiple experiments, THP-1 cells were exposed to each of the following four conditions: not treated, IFN-g treated , M.tb. Infected and M.tb. Infected then IFN-g treated.	RNA
GSM435902	GSE17477							HOMO_SAPIENS	Affymetrix Human Genome U133A 2.0 Array (hgu133a2)	True	321	Affymetrix SCAN	v1.22.14-hotfix				GEO	thp-1 macrophage			THP1, TB infected, IFN-g treated, biological rep 2		1	THP-1 macrophage		225 Warren St	Newark	USA	PHRI/Medicine	pineri@umdnj.edu	UMDNJ-NJMS	Richard,,Pine	973-854-3320	NJ	07103	The data were analyzed using the affy package of Bioconductor with the following parameters selected: Background correction: MAS5, PM probe correction: MAS5; expression summary: medianpolish (RMA); normalization: scaled to average GAPDH probeset intensity and Loess normalized.	22277	Gene expression data from human THP-1 cells infected with M.tb. TN913 then stimulated with IFN-g	Trizol extraction of total RNA was performed according to the manufacturer's instructions.	GSM435902	Human THP-1 cells were grown and treated with phobol-12-myristate-13-acetate (PMA) for 1 day to induce differentiation to a macrophage-like state.	Following fragmentation, 10 ug of cRNA were hybridized for 16 hr at 45C on Affymetrix GeneChip, Human Genome U133A 2.0 Array. GeneChips were washed and stained in the Affymetrix Fluidics Station 450.	biotin	Biotinylated cRNA were prepared according to the standard Affymetrix protocol from 5/10? ug total RNA (Expression Analysis Technical Manual, 2001, Affymetrix).	Jan 21 2010	total RNA	Homo sapiens	GPL571	GeneChips were scanned using the Affymetrix GeneChip Scanner G3000.	GSE17477	Human THP-1, TB infected, 72 hr., IFN-g treated, 2 hr.	Public on Feb 28 2010	Aug 03 2009	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM435nnn/GSM435902/suppl/GSM435902.CEL.gz	9606	THP1, TB infected, IFN-g treated, biological rep 2	In multiple experiments, THP-1 cells were exposed to each of the following four conditions: not treated, IFN-g treated , M.tb. Infected and M.tb. Infected then IFN-g treated.	RNA
