node	type
ADRB2	source
BIRC2	source
ALDH7A1	source
BCL2	source
CBR3	source
CD44	source
CXCL2	source
HADH	source
HMGCS1	source
GADD45B	source
PTPRF	source
STXBP1	source
TSPAN4	source
TOP2A	source
CXCR4	source
TRIB1	source
DNM1L	target
KIF20A	target
G3BP1	target
CEBPZ	target
TXNDC9	target
CDK6	target
CDKN1A	target
STUB1	target
TNIP1	target
IKZF1	target
LYPLA1	target
VAV3	target
LRRC41	target
HYOU1	target
ST6GALNAC2	target
CENPE	target
ARPP19	target
MTHFD2	target
UBE2C	target
PRSS23	target
PWP1	target
SLC2A6	target
CHP1	target
CRK	target
CSRP1	target
DLD	target
TSC22D3	target
DUSP3	target
DUSP4	target
E2F2	target
ECH1	target
EIF5	target
NR2F6	target
ERBB3	target
COG2	target
PUF60	target
RBM34	target
GPATCH8	target
MAST2	target
JMJD6	target
WASHC4	target
SIRT3	target
TMEM50A	target
LSM 5.00	target
PLA2G15	target
TIPARP	target
PHGDH	target
TIMM9	target
TNFRSF21	target
SESN1	target
GLRX	target
GNA11	target
GNAS	target
CHMP4A	target
ERO1A	target
HLA-DMA	target
HMGCR	target
HMGCS1	target
HMOX1	target
HES1	target
HSPA8	target
BIRC5	target
IGFBP3	target
IGHMBP2	target
INSIG1	target
ITGAE	target
ITGB5	target
KIF5C	target
KIT	target
RHOA	target
LAMA3	target
LGALS8	target
LYN	target
FOXO4	target
MUC1	target
NFATC3	target
PNP	target
NVL	target
OXA1L	target
SERPINE1	target
GOLT1B	target
GMNN	target
PCK2	target
PCNA	target
SCAND1	target
ATP6V1D	target
UFM1	target
PLK1	target
CYCS	target
POLR2I	target
KCTD5	target
DDIT4	target
HERC6	target
PPP2R5E	target
CARMIL1	target
MINDY1	target
KDM3A	target
PECR	target
EAPP	target
ZNF395	target
TM9SF3	target
PSMB8	target
CIAPIN1	target
MCOLN1	target
THAP11	target
ENOPH1	target
RAC2	target
RGS2	target
RPA2	target
S100A4	target
SATB1	target
ABHD4	target
RBKS	target
SLC1A4	target
INTS3	target
BNIP3	target
SPAG4	target
SRC	target
AURKA	target
STK10	target
SUV39H1	target
TCEA2	target
TGFBR2	target
TIAM1	target
TLR4	target
TPM1	target
UGDH	target
CXCR4	target
CCDC86	target
TRAPPC6A	target
MBOAT7	target
TCTN1	target
NPEPL1	target
NUP85	target
DHDDS	target
FBXO11	target
FOSL1	target
CDC45	target
CASP2	target
CASP3	target
DYRK3	target
TUBB6	target
CAT	target
AKR7A2	target
INPP4B	target
ST3GAL5	target
IER3	target
TIMELESS	target
MAP7	target
DNAJA3	target
SMC3	target
PRPF4	target
PIGB	target
BAG3	target
CD44	target
IKBKE	target
USP6NL	target
KEAP1	target
CDK1	target
KLHL21	target
CDC20	target
CDC25A	target
MVP	target
SCAP	target
FOXA3	target
COQ2	target
HNF1A	target
USP24	target
LPA	target
PLIN1	target
CYP1B1	target
CD80	target
ITGAM	target
F2RL1	target
CACNA1H	target
ADRA2A	target
GFER	target
GABPA	target
APOB	target
HSF1	target
PON1	target
CD34	target
MBP	target
CDC25C	target
PKN1	target
PKN3	target
CAMK2A	target
HSD17B3	target
IAPP	target
SMAD2	target
THBD	target
DFFB	target
DNMT3B	target
HPSE	target
GJA1	target
HLA-DQA1	target
EEF2K	target
NF2	target
SREBF1	target
SLC15A1	target
LIPC	target
HMGB1	target
AVPR2	target
KRT19	target
S100A10	target
SDS	target
UBR1	target
CHKA	target
FABP1	target
ACTC1	target
MT1F	target
TEAD1	target
CRISPLD2	target
PLAU	target
XDH	target
CREBBP	target
FDFT1	target
SIRT4	target
SIRT6	target
SIRT7	target
SMARCB1	target
ACTL6A	target
NOS1AP	target
PIP	target
TFF3	target
PLD1	target
PLD2	target
ZNF423	target
LRMDA	target
FMO1	target
RRAS2	target
SLC12A3	target
HTT	target
LEP	target
CYP2J2	target
PDGFRB	target
HSPA1A	target
PRRC2A	target
POLR1HASP	target
BAG6	target
LTA	target
HSPA1L	target
FBXW7	target
PTPRD	target
FKBP1A	target
CYP2A6	target
HRH1	target
ADRA1A	target
CYP11A1	target
CCL11	target
FLT1	target
PDGFB	target
OR2B11	target
ICMT	target
ZNF542P	target
PTGS2	target
SYK	target
HTR2B	target
DBH	target
ANKK1	target
RXRA	target
STAT5B	target
STAT5A	target
HTR1F	target
TFAP2A	target
HTR1A	target
CACNG1	target
NISCH	target
CEL	target
GDF15	target
RIPK1	target
PECAM1	target
SLC2A3	target
FOXO3	target
