title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	treatment_protocol_ch1	growth_protocol_ch1	molecule_ch1	extract_protocol_ch1	label_ch1	label_protocol_ch1	taxid_ch1	hyb_protocol	scan_protocol	description	data_processing	platform_id	contact_name	contact_email	contact_phone	contact_fax	contact_laboratory	contact_department	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	supplementary_file	data_row_count	agent:ch1	cell type:ch1	series_id
HuMonocytes_LPS_2hr_rep1	GSM466274	Public on Feb 17 2015	Oct 29 2009	Feb 17 2015	RNA	1	Human monocytes, incubated with 100ng/ml LPS for 2 hrs	Homo sapiens	cell type: Human peripheral blood-derived monocytes	agent: incubated with 100ng/ml LPS for 2 hrs	To study the pro-inflammatory activities of Cpn60.1, human monocytes were purified from three healthy donors and incubated with 10 μg/ml M. tuberculosis Cpn60.1 (or 100 ng/ml LPS as a positive control or medium only as a negative control). To study the inhibitory effectds of Cpn60.1 on human monocytes, the cells were pre-exposed to 10μg/ml or 0.1ng/ml of Cpn60.1, washed and incubated with 1ng/ml LPS for further 2 hours. For positive control, the cells were pre-exposed to medium before washing and LPS stimulation while for the negative control, the cells were pre-exposed to medium, washed and again exposed to medium alone.	Human monocytes were purified from peripheral blood by negative selection and maintained in RPMI medium containing 2% autologous plasma before stimuation.	total RNA	Total RNA was isolated from three healthy donors using the RNEasy Kit according to the manufacturer’s instructions (Qiagen)	biotin	Biotinylated cRNA was prepared according to the standard Affymetrix protocol described in GeneChip® Whole Transcript (WT) Sense Target   Labeling Assay Manual v.4	9606	Biotinylated cDNA was addded to the hybridization cocktail, and incubated on Human GeneChip ST Array for 17 hours, at 60rpm at 46°C. Staining and washing was done on Fluidics station 450.	Human GeneChip arrays were scanned on GeneChip Scanner 3000 7G.	Study of pro-inflammatory activity of M. tuberculosis Cpn60.1 on human monocytes	The arrays were normalized with Robust Multi-Chip Average algorithm (RMA) using the Affymetrix Expression Console 1.1. Probe sets with signals below the 85% percentile across all arrays or without gene annotation were removed from the data set leaving 17,649 probe sets for further analysis. The statistical analysis of samples (comparing triplicate biological replicates of treated to untreated cells) was performed using a moderated t-test in Limma using a p-value ≤ 0.05 adjusted for multiple testing, and a minimum fold change of 1.5.	GPL6244	Ana,,Cehovin	a.cehovin@imperial.ac.uk	02075943094	02075943095	Pelicic Lab	Centre for Molecular Microbiology and Infection	Imperial College London	Exhibition Road	London	United Kingdom	SW7 2AZ	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466274/suppl/GSM466274.CEL.gz	22063	incubated with 100ng/ml LPS for 2 hrs	Human peripheral blood-derived monocytes	GSE18794
HuMonocytes_LPS_2hr_rep2	GSM466275	Public on Feb 17 2015	Oct 29 2009	Feb 17 2015	RNA	1	Human monocytes, incubated with 100ng/ml LPS for 2 hrs	Homo sapiens	cell type: Human peripheral blood-derived monocytes	agent: incubated with 100ng/ml LPS for 2 hrs	To study the pro-inflammatory activities of Cpn60.1, human monocytes were purified from three healthy donors and incubated with 10 μg/ml M. tuberculosis Cpn60.1 (or 100 ng/ml LPS as a positive control or medium only as a negative control). To study the inhibitory effectds of Cpn60.1 on human monocytes, the cells were pre-exposed to 10μg/ml or 0.1ng/ml of Cpn60.1, washed and incubated with 1ng/ml LPS for further 2 hours. For positive control, the cells were pre-exposed to medium before washing and LPS stimulation while for the negative control, the cells were pre-exposed to medium, washed and again exposed to medium alone.	Human monocytes were purified from peripheral blood by negative selection and maintained in RPMI medium containing 2% autologous plasma before stimuation.	total RNA	Total RNA was isolated from three healthy donors using the RNEasy Kit according to the manufacturer’s instructions (Qiagen)	biotin	Biotinylated cRNA was prepared according to the standard Affymetrix protocol described in GeneChip® Whole Transcript (WT) Sense Target   Labeling Assay Manual v.4	9606	Biotinylated cDNA was addded to the hybridization cocktail, and incubated on Human GeneChip ST Array for 17 hours, at 60rpm at 46°C. Staining and washing was done on Fluidics station 450.	Human GeneChip arrays were scanned on GeneChip Scanner 3000 7G.	Study of pro-inflammatory activity of M. tuberculosis Cpn60.1 on human monocytes	The arrays were normalized with Robust Multi-Chip Average algorithm (RMA) using the Affymetrix Expression Console 1.1. Probe sets with signals below the 85% percentile across all arrays or without gene annotation were removed from the data set leaving 17,649 probe sets for further analysis. The statistical analysis of samples (comparing triplicate biological replicates of treated to untreated cells) was performed using a moderated t-test in Limma using a p-value ≤ 0.05 adjusted for multiple testing, and a minimum fold change of 1.5.	GPL6244	Ana,,Cehovin	a.cehovin@imperial.ac.uk	02075943094	02075943095	Pelicic Lab	Centre for Molecular Microbiology and Infection	Imperial College London	Exhibition Road	London	United Kingdom	SW7 2AZ	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466275/suppl/GSM466275.CEL.gz	22063	incubated with 100ng/ml LPS for 2 hrs	Human peripheral blood-derived monocytes	GSE18794
HuMonocytes_LPS_2hr_rep3	GSM466276	Public on Feb 17 2015	Oct 29 2009	Feb 17 2015	RNA	1	Human monocytes, incubated with 100ng/ml LPS for 2 hrs	Homo sapiens	cell type: Human peripheral blood-derived monocytes	agent: incubated with 100ng/ml LPS for 2 hrs	To study the pro-inflammatory activities of Cpn60.1, human monocytes were purified from three healthy donors and incubated with 10 μg/ml M. tuberculosis Cpn60.1 (or 100 ng/ml LPS as a positive control or medium only as a negative control). To study the inhibitory effectds of Cpn60.1 on human monocytes, the cells were pre-exposed to 10μg/ml or 0.1ng/ml of Cpn60.1, washed and incubated with 1ng/ml LPS for further 2 hours. For positive control, the cells were pre-exposed to medium before washing and LPS stimulation while for the negative control, the cells were pre-exposed to medium, washed and again exposed to medium alone.	Human monocytes were purified from peripheral blood by negative selection and maintained in RPMI medium containing 2% autologous plasma before stimuation.	total RNA	Total RNA was isolated from three healthy donors using the RNEasy Kit according to the manufacturer’s instructions (Qiagen)	biotin	Biotinylated cRNA was prepared according to the standard Affymetrix protocol described in GeneChip® Whole Transcript (WT) Sense Target   Labeling Assay Manual v.4	9606	Biotinylated cDNA was addded to the hybridization cocktail, and incubated on Human GeneChip ST Array for 17 hours, at 60rpm at 46°C. Staining and washing was done on Fluidics station 450.	Human GeneChip arrays were scanned on GeneChip Scanner 3000 7G.	Study of pro-inflammatory activity of M. tuberculosis Cpn60.1 on human monocytes	The arrays were normalized with Robust Multi-Chip Average algorithm (RMA) using the Affymetrix Expression Console 1.1. Probe sets with signals below the 85% percentile across all arrays or without gene annotation were removed from the data set leaving 17,649 probe sets for further analysis. The statistical analysis of samples (comparing triplicate biological replicates of treated to untreated cells) was performed using a moderated t-test in Limma using a p-value ≤ 0.05 adjusted for multiple testing, and a minimum fold change of 1.5.	GPL6244	Ana,,Cehovin	a.cehovin@imperial.ac.uk	02075943094	02075943095	Pelicic Lab	Centre for Molecular Microbiology and Infection	Imperial College London	Exhibition Road	London	United Kingdom	SW7 2AZ	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466276/suppl/GSM466276.CEL.gz	22063	incubated with 100ng/ml LPS for 2 hrs	Human peripheral blood-derived monocytes	GSE18794
HuMonocytes_Medium_2hr_rep1	GSM466277	Public on Feb 17 2015	Oct 29 2009	Feb 17 2015	RNA	1	Human monocytes, incubated in medium alone for 2 hrs	Homo sapiens	cell type: Human peripheral blood-derived monocytes	agent: incubated in medium alone for 2 hrs	To study the pro-inflammatory activities of Cpn60.1, human monocytes were purified from three healthy donors and incubated with 10 μg/ml M. tuberculosis Cpn60.1 (or 100 ng/ml LPS as a positive control or medium only as a negative control). To study the inhibitory effectds of Cpn60.1 on human monocytes, the cells were pre-exposed to 10μg/ml or 0.1ng/ml of Cpn60.1, washed and incubated with 1ng/ml LPS for further 2 hours. For positive control, the cells were pre-exposed to medium before washing and LPS stimulation while for the negative control, the cells were pre-exposed to medium, washed and again exposed to medium alone.	Human monocytes were purified from peripheral blood by negative selection and maintained in RPMI medium containing 2% autologous plasma before stimuation.	total RNA	Total RNA was isolated from three healthy donors using the RNEasy Kit according to the manufacturer’s instructions (Qiagen)	biotin	Biotinylated cRNA was prepared according to the standard Affymetrix protocol described in GeneChip® Whole Transcript (WT) Sense Target   Labeling Assay Manual v.4	9606	Biotinylated cDNA was addded to the hybridization cocktail, and incubated on Human GeneChip ST Array for 17 hours, at 60rpm at 46°C. Staining and washing was done on Fluidics station 450.	Human GeneChip arrays were scanned on GeneChip Scanner 3000 7G.	Study of pro-inflammatory activity of M. tuberculosis Cpn60.1 on human monocytes	The arrays were normalized with Robust Multi-Chip Average algorithm (RMA) using the Affymetrix Expression Console 1.1. Probe sets with signals below the 85% percentile across all arrays or without gene annotation were removed from the data set leaving 17,649 probe sets for further analysis. The statistical analysis of samples (comparing triplicate biological replicates of treated to untreated cells) was performed using a moderated t-test in Limma using a p-value ≤ 0.05 adjusted for multiple testing, and a minimum fold change of 1.5.	GPL6244	Ana,,Cehovin	a.cehovin@imperial.ac.uk	02075943094	02075943095	Pelicic Lab	Centre for Molecular Microbiology and Infection	Imperial College London	Exhibition Road	London	United Kingdom	SW7 2AZ	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466277/suppl/GSM466277.CEL.gz	22063	incubated in medium alone for 2 hrs	Human peripheral blood-derived monocytes	GSE18794
HuMonocytes_Medium_2hr_rep2	GSM466278	Public on Feb 17 2015	Oct 29 2009	Feb 17 2015	RNA	1	Human monocytes, incubated in medium alone for 2 hrs	Homo sapiens	cell type: Human peripheral blood-derived monocytes	agent: incubated in medium alone for 2 hrs	To study the pro-inflammatory activities of Cpn60.1, human monocytes were purified from three healthy donors and incubated with 10 μg/ml M. tuberculosis Cpn60.1 (or 100 ng/ml LPS as a positive control or medium only as a negative control). To study the inhibitory effectds of Cpn60.1 on human monocytes, the cells were pre-exposed to 10μg/ml or 0.1ng/ml of Cpn60.1, washed and incubated with 1ng/ml LPS for further 2 hours. For positive control, the cells were pre-exposed to medium before washing and LPS stimulation while for the negative control, the cells were pre-exposed to medium, washed and again exposed to medium alone.	Human monocytes were purified from peripheral blood by negative selection and maintained in RPMI medium containing 2% autologous plasma before stimuation.	total RNA	Total RNA was isolated from three healthy donors using the RNEasy Kit according to the manufacturer’s instructions (Qiagen)	biotin	Biotinylated cRNA was prepared according to the standard Affymetrix protocol described in GeneChip® Whole Transcript (WT) Sense Target   Labeling Assay Manual v.4	9606	Biotinylated cDNA was addded to the hybridization cocktail, and incubated on Human GeneChip ST Array for 17 hours, at 60rpm at 46°C. Staining and washing was done on Fluidics station 450.	Human GeneChip arrays were scanned on GeneChip Scanner 3000 7G.	Study of pro-inflammatory activity of M. tuberculosis Cpn60.1 on human monocytes	The arrays were normalized with Robust Multi-Chip Average algorithm (RMA) using the Affymetrix Expression Console 1.1. Probe sets with signals below the 85% percentile across all arrays or without gene annotation were removed from the data set leaving 17,649 probe sets for further analysis. The statistical analysis of samples (comparing triplicate biological replicates of treated to untreated cells) was performed using a moderated t-test in Limma using a p-value ≤ 0.05 adjusted for multiple testing, and a minimum fold change of 1.5.	GPL6244	Ana,,Cehovin	a.cehovin@imperial.ac.uk	02075943094	02075943095	Pelicic Lab	Centre for Molecular Microbiology and Infection	Imperial College London	Exhibition Road	London	United Kingdom	SW7 2AZ	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466278/suppl/GSM466278.CEL.gz	22063	incubated in medium alone for 2 hrs	Human peripheral blood-derived monocytes	GSE18794
HuMonocytes_Medium_2hr_rep3	GSM466279	Public on Feb 17 2015	Oct 29 2009	Feb 17 2015	RNA	1	Human monocytes, incubated in medium alone for 2 hrs	Homo sapiens	cell type: Human peripheral blood-derived monocytes	agent: incubated in medium alone for 2 hrs	To study the pro-inflammatory activities of Cpn60.1, human monocytes were purified from three healthy donors and incubated with 10 μg/ml M. tuberculosis Cpn60.1 (or 100 ng/ml LPS as a positive control or medium only as a negative control). To study the inhibitory effectds of Cpn60.1 on human monocytes, the cells were pre-exposed to 10μg/ml or 0.1ng/ml of Cpn60.1, washed and incubated with 1ng/ml LPS for further 2 hours. For positive control, the cells were pre-exposed to medium before washing and LPS stimulation while for the negative control, the cells were pre-exposed to medium, washed and again exposed to medium alone.	Human monocytes were purified from peripheral blood by negative selection and maintained in RPMI medium containing 2% autologous plasma before stimuation.	total RNA	Total RNA was isolated from three healthy donors using the RNEasy Kit according to the manufacturer’s instructions (Qiagen)	biotin	Biotinylated cRNA was prepared according to the standard Affymetrix protocol described in GeneChip® Whole Transcript (WT) Sense Target   Labeling Assay Manual v.4	9606	Biotinylated cDNA was addded to the hybridization cocktail, and incubated on Human GeneChip ST Array for 17 hours, at 60rpm at 46°C. Staining and washing was done on Fluidics station 450.	Human GeneChip arrays were scanned on GeneChip Scanner 3000 7G.	Study of pro-inflammatory activity of M. tuberculosis Cpn60.1 on human monocytes	The arrays were normalized with Robust Multi-Chip Average algorithm (RMA) using the Affymetrix Expression Console 1.1. Probe sets with signals below the 85% percentile across all arrays or without gene annotation were removed from the data set leaving 17,649 probe sets for further analysis. The statistical analysis of samples (comparing triplicate biological replicates of treated to untreated cells) was performed using a moderated t-test in Limma using a p-value ≤ 0.05 adjusted for multiple testing, and a minimum fold change of 1.5.	GPL6244	Ana,,Cehovin	a.cehovin@imperial.ac.uk	02075943094	02075943095	Pelicic Lab	Centre for Molecular Microbiology and Infection	Imperial College London	Exhibition Road	London	United Kingdom	SW7 2AZ	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466279/suppl/GSM466279.CEL.gz	22063	incubated in medium alone for 2 hrs	Human peripheral blood-derived monocytes	GSE18794
HuMonocytes_Cpn60.1_2hr_rep1	GSM466280	Public on Feb 17 2015	Oct 29 2009	Feb 17 2015	RNA	1	Human monocytes, incubated with 10μg/ml Cpn60.1 for 2 hrs	Homo sapiens	cell type: Human peripheral blood-derived monocytes	agent: incubated with 10μg/ml Cpn60.1 for 2 hrs	To study the pro-inflammatory activities of Cpn60.1, human monocytes were purified from three healthy donors and incubated with 10 μg/ml M. tuberculosis Cpn60.1 (or 100 ng/ml LPS as a positive control or medium only as a negative control). To study the inhibitory effectds of Cpn60.1 on human monocytes, the cells were pre-exposed to 10μg/ml or 0.1ng/ml of Cpn60.1, washed and incubated with 1ng/ml LPS for further 2 hours. For positive control, the cells were pre-exposed to medium before washing and LPS stimulation while for the negative control, the cells were pre-exposed to medium, washed and again exposed to medium alone.	Human monocytes were purified from peripheral blood by negative selection and maintained in RPMI medium containing 2% autologous plasma before stimuation.	total RNA	Total RNA was isolated from three healthy donors using the RNEasy Kit according to the manufacturer’s instructions (Qiagen)	biotin	Biotinylated cRNA was prepared according to the standard Affymetrix protocol described in GeneChip® Whole Transcript (WT) Sense Target   Labeling Assay Manual v.4	9606	Biotinylated cDNA was addded to the hybridization cocktail, and incubated on Human GeneChip ST Array for 17 hours, at 60rpm at 46°C. Staining and washing was done on Fluidics station 450.	Human GeneChip arrays were scanned on GeneChip Scanner 3000 7G.	Study of pro-inflammatory activity of M. tuberculosis Cpn60.1 on human monocytes	The arrays were normalized with Robust Multi-Chip Average algorithm (RMA) using the Affymetrix Expression Console 1.1. Probe sets with signals below the 85% percentile across all arrays or without gene annotation were removed from the data set leaving 17,649 probe sets for further analysis. The statistical analysis of samples (comparing triplicate biological replicates of treated to untreated cells) was performed using a moderated t-test in Limma using a p-value ≤ 0.05 adjusted for multiple testing, and a minimum fold change of 1.5.	GPL6244	Ana,,Cehovin	a.cehovin@imperial.ac.uk	02075943094	02075943095	Pelicic Lab	Centre for Molecular Microbiology and Infection	Imperial College London	Exhibition Road	London	United Kingdom	SW7 2AZ	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466280/suppl/GSM466280.CEL.gz	22063	incubated with 10μg/ml Cpn60.1 for 2 hrs	Human peripheral blood-derived monocytes	GSE18794
HuMonocytes_Cpn60.1_2hr_rep2	GSM466281	Public on Feb 17 2015	Oct 29 2009	Feb 17 2015	RNA	1	Human monocytes, incubated with 10μg/ml Cpn60.1 for 2 hrs	Homo sapiens	cell type: Human peripheral blood-derived monocytes	agent: incubated with 10μg/ml Cpn60.1 for 2 hrs	To study the pro-inflammatory activities of Cpn60.1, human monocytes were purified from three healthy donors and incubated with 10 μg/ml M. tuberculosis Cpn60.1 (or 100 ng/ml LPS as a positive control or medium only as a negative control). To study the inhibitory effectds of Cpn60.1 on human monocytes, the cells were pre-exposed to 10μg/ml or 0.1ng/ml of Cpn60.1, washed and incubated with 1ng/ml LPS for further 2 hours. For positive control, the cells were pre-exposed to medium before washing and LPS stimulation while for the negative control, the cells were pre-exposed to medium, washed and again exposed to medium alone.	Human monocytes were purified from peripheral blood by negative selection and maintained in RPMI medium containing 2% autologous plasma before stimuation.	total RNA	Total RNA was isolated from three healthy donors using the RNEasy Kit according to the manufacturer’s instructions (Qiagen)	biotin	Biotinylated cRNA was prepared according to the standard Affymetrix protocol described in GeneChip® Whole Transcript (WT) Sense Target   Labeling Assay Manual v.4	9606	Biotinylated cDNA was addded to the hybridization cocktail, and incubated on Human GeneChip ST Array for 17 hours, at 60rpm at 46°C. Staining and washing was done on Fluidics station 450.	Human GeneChip arrays were scanned on GeneChip Scanner 3000 7G.	Study of pro-inflammatory activity of M. tuberculosis Cpn60.1 on human monocytes	The arrays were normalized with Robust Multi-Chip Average algorithm (RMA) using the Affymetrix Expression Console 1.1. Probe sets with signals below the 85% percentile across all arrays or without gene annotation were removed from the data set leaving 17,649 probe sets for further analysis. The statistical analysis of samples (comparing triplicate biological replicates of treated to untreated cells) was performed using a moderated t-test in Limma using a p-value ≤ 0.05 adjusted for multiple testing, and a minimum fold change of 1.5.	GPL6244	Ana,,Cehovin	a.cehovin@imperial.ac.uk	02075943094	02075943095	Pelicic Lab	Centre for Molecular Microbiology and Infection	Imperial College London	Exhibition Road	London	United Kingdom	SW7 2AZ	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466281/suppl/GSM466281.CEL.gz	22063	incubated with 10μg/ml Cpn60.1 for 2 hrs	Human peripheral blood-derived monocytes	GSE18794
HuMonocytes_Cpn60.1_2hr_rep3	GSM466282	Public on Feb 17 2015	Oct 29 2009	Feb 17 2015	RNA	1	Human monocytes, incubated with 10μg/ml Cpn60.1 for 2 hrs	Homo sapiens	cell type: Human peripheral blood-derived monocytes	agent: incubated with 10μg/ml Cpn60.1 for 2 hrs	To study the pro-inflammatory activities of Cpn60.1, human monocytes were purified from three healthy donors and incubated with 10 μg/ml M. tuberculosis Cpn60.1 (or 100 ng/ml LPS as a positive control or medium only as a negative control). To study the inhibitory effectds of Cpn60.1 on human monocytes, the cells were pre-exposed to 10μg/ml or 0.1ng/ml of Cpn60.1, washed and incubated with 1ng/ml LPS for further 2 hours. For positive control, the cells were pre-exposed to medium before washing and LPS stimulation while for the negative control, the cells were pre-exposed to medium, washed and again exposed to medium alone.	Human monocytes were purified from peripheral blood by negative selection and maintained in RPMI medium containing 2% autologous plasma before stimuation.	total RNA	Total RNA was isolated from three healthy donors using the RNEasy Kit according to the manufacturer’s instructions (Qiagen)	biotin	Biotinylated cRNA was prepared according to the standard Affymetrix protocol described in GeneChip® Whole Transcript (WT) Sense Target   Labeling Assay Manual v.4	9606	Biotinylated cDNA was addded to the hybridization cocktail, and incubated on Human GeneChip ST Array for 17 hours, at 60rpm at 46°C. Staining and washing was done on Fluidics station 450.	Human GeneChip arrays were scanned on GeneChip Scanner 3000 7G.	Study of pro-inflammatory activity of M. tuberculosis Cpn60.1 on human monocytes	The arrays were normalized with Robust Multi-Chip Average algorithm (RMA) using the Affymetrix Expression Console 1.1. Probe sets with signals below the 85% percentile across all arrays or without gene annotation were removed from the data set leaving 17,649 probe sets for further analysis. The statistical analysis of samples (comparing triplicate biological replicates of treated to untreated cells) was performed using a moderated t-test in Limma using a p-value ≤ 0.05 adjusted for multiple testing, and a minimum fold change of 1.5.	GPL6244	Ana,,Cehovin	a.cehovin@imperial.ac.uk	02075943094	02075943095	Pelicic Lab	Centre for Molecular Microbiology and Infection	Imperial College London	Exhibition Road	London	United Kingdom	SW7 2AZ	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466282/suppl/GSM466282.CEL.gz	22063	incubated with 10μg/ml Cpn60.1 for 2 hrs	Human peripheral blood-derived monocytes	GSE18794
HuMonocytes_Medium_1hr_LPS_2hr_rep1	GSM466283	Public on Feb 17 2015	Oct 29 2009	Feb 17 2015	RNA	1	Human monocytes, pre-incubated in medium for 1 hr, stimulated with 1ng/ml LPS for 2 hrs	Homo sapiens	cell type: Human peripheral blood-derived monocytes	agent: pre-incubated in medium for 1 hr, stimulated with 1ng/ml LPS for 2 hrs	To study the pro-inflammatory activities of Cpn60.1, human monocytes were purified from three healthy donors and incubated with 10 μg/ml M. tuberculosis Cpn60.1 (or 100 ng/ml LPS as a positive control or medium only as a negative control). To study the inhibitory effectds of Cpn60.1 on human monocytes, the cells were pre-exposed to 10μg/ml or 0.1ng/ml of Cpn60.1, washed and incubated with 1ng/ml LPS for further 2 hours. For positive control, the cells were pre-exposed to medium before washing and LPS stimulation while for the negative control, the cells were pre-exposed to medium, washed and again exposed to medium alone.	Human monocytes were purified from peripheral blood by negative selection and maintained in RPMI medium containing 2% autologous plasma before stimuation.	total RNA	Total RNA was isolated from three healthy donors using the RNEasy Kit according to the manufacturer’s instructions (Qiagen)	biotin	Biotinylated cRNA was prepared according to the standard Affymetrix protocol described in GeneChip® Whole Transcript (WT) Sense Target   Labeling Assay Manual v.4	9606	Biotinylated cDNA was addded to the hybridization cocktail, and incubated on Human GeneChip ST Array for 17 hours, at 60rpm at 46°C. Staining and washing was done on Fluidics station 450.	Human GeneChip arrays were scanned on GeneChip Scanner 3000 7G.	Study on inhibitory activity of M. tuberculosis Cpn60.1 on activated human monocytes	The arrays were normalized with Robust Multi-Chip Average algorithm (RMA) using the Affymetrix Expression Console 1.1. Probe sets with signals below the 85% percentile across all arrays or without gene annotation were removed from the data set leaving 17,649 probe sets for further analysis. The statistical analysis of samples (comparing triplicate biological replicates of treated to untreated cells) was performed using a moderated t-test in Limma using a p-value ≤ 0.05 adjusted for multiple testing, and a minimum fold change of 1.5.	GPL6244	Ana,,Cehovin	a.cehovin@imperial.ac.uk	02075943094	02075943095	Pelicic Lab	Centre for Molecular Microbiology and Infection	Imperial College London	Exhibition Road	London	United Kingdom	SW7 2AZ	United Kingdom	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM466nnn/GSM466283/suppl/GSM466283.CEL.gz	22063	pre-incubated in medium for 1 hr, stimulated with 1ng/ml LPS for 2 hrs	Human peripheral blood-derived monocytes	GSE18794
