title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	treatment_protocol_ch1	molecule_ch1	extract_protocol_ch1	label_ch1	label_protocol_ch1	taxid_ch1	hyb_protocol	scan_protocol	description	data_processing	platform_id	contact_name	contact_email	contact_institute	contact_address	contact_city	contact_zip/postal_code	contact_country	supplementary_file	data_row_count	sample day:ch1	subject id:ch1	tissue:ch1	series_id
WB, Day 37, PID 16	GSM2737886	Public on Mar 19 2018	Aug 09 2017	Mar 19 2018	RNA	1	WB samples from subject 16 at Day 37	Homo sapiens	tissue: Whole Blood (WB)	subject id: 16	sample day: D37	PAXgene preserved whole blood samples were centrifuged, resuspended in lysis buffer and treated with proteinase K.	total RNA	Total RNA was isolated by PAXgene Blood RNA kit (Qiagen) according to the manufacturer’s protocol. A DNAse treatment was applied on the PAXgene RNA spin column to avoid genomic DNA contamination. RNA was quantified by UV-spectrophotometry.	biotin	Biotinylated cDNA were prepared according to NuGen Ovation WB amplification protocol from 50ng total RNA	9606	After fragmentation, 3.75 ug of cDNA were hybridized for 16 hr at 45C on GeneChip_ Human Genome U133 Plus 2.0 arrays following standard procedures.	Data acquisition was performed using GeneChip Operating Software (Affymetrix).	WB sample, 7 days after 2nd vaccination	The data were analyzed with R/Bioconductor using GCRMA as summarization/normalization method	GPL570	Laurane,,De Mot	laurane.demot@gmail.com	GSK Vaccines	Rue de l'Institut 89	Rixensart	1330	Belgium	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2737nnn/GSM2737886/suppl/GSM2737886__52001900930835122914418970879434.CEL.gz	54675	D37	16	Whole Blood (WB)	GSE102459
WB, Day 40, PID 17	GSM2737887	Public on Mar 19 2018	Aug 09 2017	Mar 19 2018	RNA	1	WB samples from subject 17 at Day 40	Homo sapiens	tissue: Whole Blood (WB)	subject id: 17	sample day: D40	PAXgene preserved whole blood samples were centrifuged, resuspended in lysis buffer and treated with proteinase K.	total RNA	Total RNA was isolated by PAXgene Blood RNA kit (Qiagen) according to the manufacturer’s protocol. A DNAse treatment was applied on the PAXgene RNA spin column to avoid genomic DNA contamination. RNA was quantified by UV-spectrophotometry.	biotin	Biotinylated cDNA were prepared according to NuGen Ovation WB amplification protocol from 50ng total RNA	9606	After fragmentation, 3.75 ug of cDNA were hybridized for 16 hr at 45C on GeneChip_ Human Genome U133 Plus 2.0 arrays following standard procedures.	Data acquisition was performed using GeneChip Operating Software (Affymetrix).	WB sample, 10 days after 2nd vaccination	The data were analyzed with R/Bioconductor using GCRMA as summarization/normalization method	GPL570	Laurane,,De Mot	laurane.demot@gmail.com	GSK Vaccines	Rue de l'Institut 89	Rixensart	1330	Belgium	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2737nnn/GSM2737887/suppl/GSM2737887__52001900930890123014418971279943.CEL.gz	54675	D40	17	Whole Blood (WB)	GSE102459
WB, Day 47, PID 16	GSM2737888	Public on Mar 19 2018	Aug 09 2017	Mar 19 2018	RNA	1	WB samples from subject 16 at Day 47	Homo sapiens	tissue: Whole Blood (WB)	subject id: 16	sample day: D47	PAXgene preserved whole blood samples were centrifuged, resuspended in lysis buffer and treated with proteinase K.	total RNA	Total RNA was isolated by PAXgene Blood RNA kit (Qiagen) according to the manufacturer’s protocol. A DNAse treatment was applied on the PAXgene RNA spin column to avoid genomic DNA contamination. RNA was quantified by UV-spectrophotometry.	biotin	Biotinylated cDNA were prepared according to NuGen Ovation WB amplification protocol from 50ng total RNA	9606	After fragmentation, 3.75 ug of cDNA were hybridized for 16 hr at 45C on GeneChip_ Human Genome U133 Plus 2.0 arrays following standard procedures.	Data acquisition was performed using GeneChip Operating Software (Affymetrix).	WB sample, 17 days after 2nd vaccination	The data were analyzed with R/Bioconductor using GCRMA as summarization/normalization method	GPL570	Laurane,,De Mot	laurane.demot@gmail.com	GSK Vaccines	Rue de l'Institut 89	Rixensart	1330	Belgium	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2737nnn/GSM2737888/suppl/GSM2737888__52001900930890123014418971279951.CEL.gz	54675	D47	16	Whole Blood (WB)	GSE102459
WB, Day 37, PID 6	GSM2737889	Public on Mar 19 2018	Aug 09 2017	Mar 19 2018	RNA	1	WB samples from subject 6 at Day 37	Homo sapiens	tissue: Whole Blood (WB)	subject id: 6	sample day: D37	PAXgene preserved whole blood samples were centrifuged, resuspended in lysis buffer and treated with proteinase K.	total RNA	Total RNA was isolated by PAXgene Blood RNA kit (Qiagen) according to the manufacturer’s protocol. A DNAse treatment was applied on the PAXgene RNA spin column to avoid genomic DNA contamination. RNA was quantified by UV-spectrophotometry.	biotin	Biotinylated cDNA were prepared according to NuGen Ovation WB amplification protocol from 50ng total RNA	9606	After fragmentation, 3.75 ug of cDNA were hybridized for 16 hr at 45C on GeneChip_ Human Genome U133 Plus 2.0 arrays following standard procedures.	Data acquisition was performed using GeneChip Operating Software (Affymetrix).	WB sample, 7 days after 2nd vaccination	The data were analyzed with R/Bioconductor using GCRMA as summarization/normalization method	GPL570	Laurane,,De Mot	laurane.demot@gmail.com	GSK Vaccines	Rue de l'Institut 89	Rixensart	1330	Belgium	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2737nnn/GSM2737889/suppl/GSM2737889__52001900930890123014418971279961.CEL.gz	54675	D37	6	Whole Blood (WB)	GSE102459
WB, Day 47, PID 6	GSM2737890	Public on Mar 19 2018	Aug 09 2017	Mar 19 2018	RNA	1	WB samples from subject 6 at Day 47	Homo sapiens	tissue: Whole Blood (WB)	subject id: 6	sample day: D47	PAXgene preserved whole blood samples were centrifuged, resuspended in lysis buffer and treated with proteinase K.	total RNA	Total RNA was isolated by PAXgene Blood RNA kit (Qiagen) according to the manufacturer’s protocol. A DNAse treatment was applied on the PAXgene RNA spin column to avoid genomic DNA contamination. RNA was quantified by UV-spectrophotometry.	biotin	Biotinylated cDNA were prepared according to NuGen Ovation WB amplification protocol from 50ng total RNA	9606	After fragmentation, 3.75 ug of cDNA were hybridized for 16 hr at 45C on GeneChip_ Human Genome U133 Plus 2.0 arrays following standard procedures.	Data acquisition was performed using GeneChip Operating Software (Affymetrix).	WB sample, 17 days after 2nd vaccination	The data were analyzed with R/Bioconductor using GCRMA as summarization/normalization method	GPL570	Laurane,,De Mot	laurane.demot@gmail.com	GSK Vaccines	Rue de l'Institut 89	Rixensart	1330	Belgium	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2737nnn/GSM2737890/suppl/GSM2737890__52001900930891123014418971280019.CEL.gz	54675	D47	6	Whole Blood (WB)	GSE102459
WB, Day 30, PID 15	GSM2737891	Public on Mar 19 2018	Aug 09 2017	Mar 19 2018	RNA	1	WB samples from subject 15 at Day 30	Homo sapiens	tissue: Whole Blood (WB)	subject id: 15	sample day: D30	PAXgene preserved whole blood samples were centrifuged, resuspended in lysis buffer and treated with proteinase K.	total RNA	Total RNA was isolated by PAXgene Blood RNA kit (Qiagen) according to the manufacturer’s protocol. A DNAse treatment was applied on the PAXgene RNA spin column to avoid genomic DNA contamination. RNA was quantified by UV-spectrophotometry.	biotin	Biotinylated cDNA were prepared according to NuGen Ovation WB amplification protocol from 50ng total RNA	9606	After fragmentation, 3.75 ug of cDNA were hybridized for 16 hr at 45C on GeneChip_ Human Genome U133 Plus 2.0 arrays following standard procedures.	Data acquisition was performed using GeneChip Operating Software (Affymetrix).	WB sample, Day of 2nd vaccination, before vaccination	The data were analyzed with R/Bioconductor using GCRMA as summarization/normalization method	GPL570	Laurane,,De Mot	laurane.demot@gmail.com	GSK Vaccines	Rue de l'Institut 89	Rixensart	1330	Belgium	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2737nnn/GSM2737891/suppl/GSM2737891__52001900930891123014418971280030.CEL.gz	54675	D30	15	Whole Blood (WB)	GSE102459
WB, Day 30, PID 9	GSM2737892	Public on Mar 19 2018	Aug 09 2017	Mar 19 2018	RNA	1	WB samples from subject 9 at Day 30	Homo sapiens	tissue: Whole Blood (WB)	subject id: 9	sample day: D30	PAXgene preserved whole blood samples were centrifuged, resuspended in lysis buffer and treated with proteinase K.	total RNA	Total RNA was isolated by PAXgene Blood RNA kit (Qiagen) according to the manufacturer’s protocol. A DNAse treatment was applied on the PAXgene RNA spin column to avoid genomic DNA contamination. RNA was quantified by UV-spectrophotometry.	biotin	Biotinylated cDNA were prepared according to NuGen Ovation WB amplification protocol from 50ng total RNA	9606	After fragmentation, 3.75 ug of cDNA were hybridized for 16 hr at 45C on GeneChip_ Human Genome U133 Plus 2.0 arrays following standard procedures.	Data acquisition was performed using GeneChip Operating Software (Affymetrix).	WB sample, Day of 2nd vaccination, before vaccination	The data were analyzed with R/Bioconductor using GCRMA as summarization/normalization method	GPL570	Laurane,,De Mot	laurane.demot@gmail.com	GSK Vaccines	Rue de l'Institut 89	Rixensart	1330	Belgium	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2737nnn/GSM2737892/suppl/GSM2737892__52001900930891123014418971280033.CEL.gz	54675	D30	9	Whole Blood (WB)	GSE102459
WB, Day 40, PID 5	GSM2737893	Public on Mar 19 2018	Aug 09 2017	Mar 19 2018	RNA	1	WB samples from subject 5 at Day 40	Homo sapiens	tissue: Whole Blood (WB)	subject id: 5	sample day: D40	PAXgene preserved whole blood samples were centrifuged, resuspended in lysis buffer and treated with proteinase K.	total RNA	Total RNA was isolated by PAXgene Blood RNA kit (Qiagen) according to the manufacturer’s protocol. A DNAse treatment was applied on the PAXgene RNA spin column to avoid genomic DNA contamination. RNA was quantified by UV-spectrophotometry.	biotin	Biotinylated cDNA were prepared according to NuGen Ovation WB amplification protocol from 50ng total RNA	9606	After fragmentation, 3.75 ug of cDNA were hybridized for 16 hr at 45C on GeneChip_ Human Genome U133 Plus 2.0 arrays following standard procedures.	Data acquisition was performed using GeneChip Operating Software (Affymetrix).	WB sample, 10 days after 2nd vaccination	The data were analyzed with R/Bioconductor using GCRMA as summarization/normalization method	GPL570	Laurane,,De Mot	laurane.demot@gmail.com	GSK Vaccines	Rue de l'Institut 89	Rixensart	1330	Belgium	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2737nnn/GSM2737893/suppl/GSM2737893__52001900930891123014418971280038.CEL.gz	54675	D40	5	Whole Blood (WB)	GSE102459
WB, Day 31, PID 16	GSM2737894	Public on Mar 19 2018	Aug 09 2017	Mar 19 2018	RNA	1	WB samples from subject 16 at Day 31	Homo sapiens	tissue: Whole Blood (WB)	subject id: 16	sample day: D31	PAXgene preserved whole blood samples were centrifuged, resuspended in lysis buffer and treated with proteinase K.	total RNA	Total RNA was isolated by PAXgene Blood RNA kit (Qiagen) according to the manufacturer’s protocol. A DNAse treatment was applied on the PAXgene RNA spin column to avoid genomic DNA contamination. RNA was quantified by UV-spectrophotometry.	biotin	Biotinylated cDNA were prepared according to NuGen Ovation WB amplification protocol from 50ng total RNA	9606	After fragmentation, 3.75 ug of cDNA were hybridized for 16 hr at 45C on GeneChip_ Human Genome U133 Plus 2.0 arrays following standard procedures.	Data acquisition was performed using GeneChip Operating Software (Affymetrix).	WB sample, 1 day after 2nd vaccination	The data were analyzed with R/Bioconductor using GCRMA as summarization/normalization method	GPL570	Laurane,,De Mot	laurane.demot@gmail.com	GSK Vaccines	Rue de l'Institut 89	Rixensart	1330	Belgium	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2737nnn/GSM2737894/suppl/GSM2737894__52001900930891123014418971280040.CEL.gz	54675	D31	16	Whole Blood (WB)	GSE102459
WB, Day 37, PID 15	GSM2737895	Public on Mar 19 2018	Aug 09 2017	Mar 19 2018	RNA	1	WB samples from subject 15 at Day 37	Homo sapiens	tissue: Whole Blood (WB)	subject id: 15	sample day: D37	PAXgene preserved whole blood samples were centrifuged, resuspended in lysis buffer and treated with proteinase K.	total RNA	Total RNA was isolated by PAXgene Blood RNA kit (Qiagen) according to the manufacturer’s protocol. A DNAse treatment was applied on the PAXgene RNA spin column to avoid genomic DNA contamination. RNA was quantified by UV-spectrophotometry.	biotin	Biotinylated cDNA were prepared according to NuGen Ovation WB amplification protocol from 50ng total RNA	9606	After fragmentation, 3.75 ug of cDNA were hybridized for 16 hr at 45C on GeneChip_ Human Genome U133 Plus 2.0 arrays following standard procedures.	Data acquisition was performed using GeneChip Operating Software (Affymetrix).	WB sample, 7 days after 2nd vaccination	The data were analyzed with R/Bioconductor using GCRMA as summarization/normalization method	GPL570	Laurane,,De Mot	laurane.demot@gmail.com	GSK Vaccines	Rue de l'Institut 89	Rixensart	1330	Belgium	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2737nnn/GSM2737895/suppl/GSM2737895__52001900930891123014418971280051.CEL.gz	54675	D37	15	Whole Blood (WB)	GSE102459
