title	geo_accession	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	characteristics_ch1.1	characteristics_ch1.2	molecule_ch1	extract_protocol_ch1	label_ch1	label_protocol_ch1	taxid_ch1	hyb_protocol	scan_protocol	description	data_processing	platform_id	contact_name	contact_email	contact_phone	contact_laboratory	contact_department	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	supplementary_file	data_row_count	agent:ch1	disease state:ch1	tissue:ch1	series_id
Sample 31: Monocyte from healthy	GSM4147990	Public on Apr 21 2020	Nov 04 2019	Apr 21 2020	RNA	1	Human monocyte	Homo sapiens	tissue: Peripheral blood	agent: NA	disease state: Healthy control	total RNA	RNA was extracted with Trizol reagent, followed by clean-up and DNase I treatment with QIAGEN RNeasy mini kit in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyser.	biotin	Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays	9606	Standard Illumina hybridization protocol	Standard Illumina scanning protocol	replicate 1	Data were extracted with Illumina GenomeStudio v2011.1  software. Probes signal value was transformed by logarithm and normalized by Z-ratio method. The data were normalised using quantile normalisation with Lumi package in R	GPL10558	LELIA,,LAVALETT	lelia.lavalett@gmail.com	+573014104234	Grupo de inmunología celular e inmunogenética	Antioquia	Universidad de antioquia	Cra. 53 No. 61-30	Medellín	Antioquia	050001	Colombia	NONE	47323	NA	Healthy control	Peripheral blood	GSE139871
Sample 91: Monocyte from healthy	GSM4147991	Public on Apr 21 2020	Nov 04 2019	Apr 21 2020	RNA	1	Human monocyte	Homo sapiens	tissue: Peripheral blood	agent: NA	disease state: Healthy control	total RNA	RNA was extracted with Trizol reagent, followed by clean-up and DNase I treatment with QIAGEN RNeasy mini kit in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyser.	biotin	Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays	9606	Standard Illumina hybridization protocol	Standard Illumina scanning protocol	replicate 2	Data were extracted with Illumina GenomeStudio v2011.1  software. Probes signal value was transformed by logarithm and normalized by Z-ratio method. The data were normalised using quantile normalisation with Lumi package in R	GPL10558	LELIA,,LAVALETT	lelia.lavalett@gmail.com	+573014104234	Grupo de inmunología celular e inmunogenética	Antioquia	Universidad de antioquia	Cra. 53 No. 61-30	Medellín	Antioquia	050001	Colombia	NONE	47323	NA	Healthy control	Peripheral blood	GSE139871
Sample 94: Monocyte from healthy	GSM4147992	Public on Apr 21 2020	Nov 04 2019	Apr 21 2020	RNA	1	Human monocyte	Homo sapiens	tissue: Peripheral blood	agent: NA	disease state: Healthy control	total RNA	RNA was extracted with Trizol reagent, followed by clean-up and DNase I treatment with QIAGEN RNeasy mini kit in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyser.	biotin	Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays	9606	Standard Illumina hybridization protocol	Standard Illumina scanning protocol	replicate 3	Data were extracted with Illumina GenomeStudio v2011.1  software. Probes signal value was transformed by logarithm and normalized by Z-ratio method. The data were normalised using quantile normalisation with Lumi package in R	GPL10558	LELIA,,LAVALETT	lelia.lavalett@gmail.com	+573014104234	Grupo de inmunología celular e inmunogenética	Antioquia	Universidad de antioquia	Cra. 53 No. 61-30	Medellín	Antioquia	050001	Colombia	NONE	47323	NA	Healthy control	Peripheral blood	GSE139871
Sample 85: Monocyte from healthy	GSM4147993	Public on Apr 21 2020	Nov 04 2019	Apr 21 2020	RNA	1	Human monocyte	Homo sapiens	tissue: Peripheral blood	agent: NA	disease state: Healthy control	total RNA	RNA was extracted with Trizol reagent, followed by clean-up and DNase I treatment with QIAGEN RNeasy mini kit in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyser.	biotin	Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays	9606	Standard Illumina hybridization protocol	Standard Illumina scanning protocol	replicate 4	Data were extracted with Illumina GenomeStudio v2011.1  software. Probes signal value was transformed by logarithm and normalized by Z-ratio method. The data were normalised using quantile normalisation with Lumi package in R	GPL10558	LELIA,,LAVALETT	lelia.lavalett@gmail.com	+573014104234	Grupo de inmunología celular e inmunogenética	Antioquia	Universidad de antioquia	Cra. 53 No. 61-30	Medellín	Antioquia	050001	Colombia	NONE	47323	NA	Healthy control	Peripheral blood	GSE139871
Sample 32: Monocyte from healthy	GSM4147994	Public on Apr 21 2020	Nov 04 2019	Apr 21 2020	RNA	1	Human monocyte	Homo sapiens	tissue: Peripheral blood	agent: Mtb UT127	disease state: Mycobacterium tuberculosis Infection	total RNA	RNA was extracted with Trizol reagent, followed by clean-up and DNase I treatment with QIAGEN RNeasy mini kit in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyser.	biotin	Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays	9606	Standard Illumina hybridization protocol	Standard Illumina scanning protocol	replicate 1	Data were extracted with Illumina GenomeStudio v2011.1  software. Probes signal value was transformed by logarithm and normalized by Z-ratio method. The data were normalised using quantile normalisation with Lumi package in R	GPL10558	LELIA,,LAVALETT	lelia.lavalett@gmail.com	+573014104234	Grupo de inmunología celular e inmunogenética	Antioquia	Universidad de antioquia	Cra. 53 No. 61-30	Medellín	Antioquia	050001	Colombia	NONE	47323	Mtb UT127	Mycobacterium tuberculosis Infection	Peripheral blood	GSE139871
Sample 92: Monocyte from healthy	GSM4147995	Public on Apr 21 2020	Nov 04 2019	Apr 21 2020	RNA	1	Human monocyte	Homo sapiens	tissue: Peripheral blood	agent: Mtb UT127	disease state: Mycobacterium tuberculosis Infection	total RNA	RNA was extracted with Trizol reagent, followed by clean-up and DNase I treatment with QIAGEN RNeasy mini kit in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyser.	biotin	Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays	9606	Standard Illumina hybridization protocol	Standard Illumina scanning protocol	replicate 2	Data were extracted with Illumina GenomeStudio v2011.1  software. Probes signal value was transformed by logarithm and normalized by Z-ratio method. The data were normalised using quantile normalisation with Lumi package in R	GPL10558	LELIA,,LAVALETT	lelia.lavalett@gmail.com	+573014104234	Grupo de inmunología celular e inmunogenética	Antioquia	Universidad de antioquia	Cra. 53 No. 61-30	Medellín	Antioquia	050001	Colombia	NONE	47323	Mtb UT127	Mycobacterium tuberculosis Infection	Peripheral blood	GSE139871
Sample 95: Monocyte from healthy	GSM4147996	Public on Apr 21 2020	Nov 04 2019	Apr 21 2020	RNA	1	Human monocyte	Homo sapiens	tissue: Peripheral blood	agent: Mtb UT127	disease state: Mycobacterium tuberculosis Infection	total RNA	RNA was extracted with Trizol reagent, followed by clean-up and DNase I treatment with QIAGEN RNeasy mini kit in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyser.	biotin	Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays	9606	Standard Illumina hybridization protocol	Standard Illumina scanning protocol	replicate 3	Data were extracted with Illumina GenomeStudio v2011.1  software. Probes signal value was transformed by logarithm and normalized by Z-ratio method. The data were normalised using quantile normalisation with Lumi package in R	GPL10558	LELIA,,LAVALETT	lelia.lavalett@gmail.com	+573014104234	Grupo de inmunología celular e inmunogenética	Antioquia	Universidad de antioquia	Cra. 53 No. 61-30	Medellín	Antioquia	050001	Colombia	NONE	47323	Mtb UT127	Mycobacterium tuberculosis Infection	Peripheral blood	GSE139871
Sample 89: Monocyte from healthy	GSM4147997	Public on Apr 21 2020	Nov 04 2019	Apr 21 2020	RNA	1	Human monocyte	Homo sapiens	tissue: Peripheral blood	agent: Mtb UT127	disease state: Mycobacterium tuberculosis Infection	total RNA	RNA was extracted with Trizol reagent, followed by clean-up and DNase I treatment with QIAGEN RNeasy mini kit in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyser.	biotin	Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays	9606	Standard Illumina hybridization protocol	Standard Illumina scanning protocol	replicate 4	Data were extracted with Illumina GenomeStudio v2011.1  software. Probes signal value was transformed by logarithm and normalized by Z-ratio method. The data were normalised using quantile normalisation with Lumi package in R	GPL10558	LELIA,,LAVALETT	lelia.lavalett@gmail.com	+573014104234	Grupo de inmunología celular e inmunogenética	Antioquia	Universidad de antioquia	Cra. 53 No. 61-30	Medellín	Antioquia	050001	Colombia	NONE	47323	Mtb UT127	Mycobacterium tuberculosis Infection	Peripheral blood	GSE139871
Sample 33: Monocyte from healthy	GSM4147998	Public on Apr 21 2020	Nov 04 2019	Apr 21 2020	RNA	1	Human monocyte	Homo sapiens	tissue: Peripheral blood	agent: Mtb UT205	disease state: Mycobacterium tuberculosis Infection	total RNA	RNA was extracted with Trizol reagent, followed by clean-up and DNase I treatment with QIAGEN RNeasy mini kit in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyser.	biotin	Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays	9606	Standard Illumina hybridization protocol	Standard Illumina scanning protocol	replicate 1	Data were extracted with Illumina GenomeStudio v2011.1  software. Probes signal value was transformed by logarithm and normalized by Z-ratio method. The data were normalised using quantile normalisation with Lumi package in R	GPL10558	LELIA,,LAVALETT	lelia.lavalett@gmail.com	+573014104234	Grupo de inmunología celular e inmunogenética	Antioquia	Universidad de antioquia	Cra. 53 No. 61-30	Medellín	Antioquia	050001	Colombia	NONE	47323	Mtb UT205	Mycobacterium tuberculosis Infection	Peripheral blood	GSE139871
Sample 84: Monocyte from healthy	GSM4147999	Public on Apr 21 2020	Nov 04 2019	Apr 21 2020	RNA	1	Human monocyte	Homo sapiens	tissue: Peripheral blood	agent: Mtb UT205	disease state: Mycobacterium tuberculosis Infection	total RNA	RNA was extracted with Trizol reagent, followed by clean-up and DNase I treatment with QIAGEN RNeasy mini kit in accordance with the prescribed protocol provided with the kit. Quality control was performed with Agilent Bioanalyser.	biotin	Biotinylated cRNA were prepared with the Ambion MessageAmp kit for Illumina arrays	9606	Standard Illumina hybridization protocol	Standard Illumina scanning protocol	replicate 2	Data were extracted with Illumina GenomeStudio v2011.1  software. Probes signal value was transformed by logarithm and normalized by Z-ratio method. The data were normalised using quantile normalisation with Lumi package in R	GPL10558	LELIA,,LAVALETT	lelia.lavalett@gmail.com	+573014104234	Grupo de inmunología celular e inmunogenética	Antioquia	Universidad de antioquia	Cra. 53 No. 61-30	Medellín	Antioquia	050001	Colombia	NONE	47323	Mtb UT205	Mycobacterium tuberculosis Infection	Peripheral blood	GSE139871
