Unnamed: 0	GSM1565997	GSM1565998	GSM1565999	GSM1566000	GSM1566001	GSM1566002
TSPAN6	3	4	8	3	7	5
TNMD	0	0	0	0	0	0
DPM1	993	561	722	1060	1139	1249
SCYL3	483	309	300	448	333	512
C1orf112	101	158	84	252	140	245
FGR	1997	1427	3089	1664	5294	2076
CFH	326	837	137	1148	149	798
FUCA2	1309	1465	1426	1911	1928	2259
GCLC	283	1241	383	2007	690	1900
NFYA	589	416	496	753	470	639
STPG1	102	47	68	63	55	68
NIPAL3	691	634	550	1013	600	1094
LAS1L	376	342	442	519	384	550
ENPP4	2045	311	711	258	622	291
SEMA3F	5	1	0	1	1	1
CFTR	23	77	18	136	26	121
ANKIB1	1071	874	843	1236	1010	1406
CYP51A1	7816	5001	7264	5857	12458	9524
KRIT1	984	906	624	1565	872	1485
RAD52	199	167	160	310	219	296
MYH16	2	4	0	1	1	2
BAD	292	122	351	180	171	253
LAP3	5361	1683	6256	3882	2635	2888
CD99	1653	1637	1729	2571	1683	2843
HS3ST1	396	1069	557	1213	1262	1543
AOC1	1007	90	659	65	76	88
WNT16	2	4	2	4	4	7
HECW1	5	1	1	2	2	2
MAD1L1	519	439	633	777	574	1005
LASP1	4480	3207	4772	5030	4750	5168
SNX11	4152	686	4649	1087	1639	1293
TMEM176A	2832	668	1820	462	750	873
M6PR	9239	8399	12617	12317	14640	15367
KLHL13	0	3	0	4	0	0
CYP26B1	46	6	246	12	101	17
ICA1	105	203	89	260	143	266
DBNDD1	7	3	26	11	22	21
ALS2	1071	1067	730	1566	1002	1584
CASP10	270	904	178	1156	372	1126
CFLAR	32519	2981	33532	4454	17786	4752
TFPI	4419	534	1368	588	364	397
NDUFAF7	249	315	197	542	225	524
RBM5	3507	2832	3123	4289	2717	3950
MTMR7	81	79	26	124	58	140
SLC7A2	314	1	81	4	14	0
ARF5	1111	811	1668	1452	1287	1733
SARM1	311	123	236	180	180	187
POLDIP2	851	421	1053	676	873	824
PLXND1	4738	2493	4769	3377	2781	3294
AK2	2737	5075	3550	8587	4263	10276
CD38	52	81	33	203	25	67
FKBP4	1429	953	1759	1420	2280	1554
KDM1A	1919	1312	1975	2178	1443	2339
RBM6	2081	2011	1703	2970	1895	2597
CAMKK1	30	86	19	155	68	136
RECQL	815	1170	451	1875	1246	2165
VPS50	556	924	345	1412	1040	1814
HSPB6	2	0	2	2	2	2
ARHGAP33	11	21	12	18	13	28
NDUFAB1	898	433	1068	694	1072	937
PDK4	2	44	2	112	1	63
SLC22A16	74	34	67	73	39	34
ZMYND10	16	16	10	32	13	43
ABCB5	15	2	13	1	10	2
ARX	1	1	5	0	2	3
SLC25A13	675	388	526	490	727	551
ST7	409	388	511	490	926	648
CDC27	2087	2085	1171	2874	2526	3118
SLC4A1	21	11	7	11	5	15
CALCR	1	25	16	54	27	40
HCCS	439	451	505	764	795	909
DVL2	846	382	896	550	621	688
PRSS22	8	0	2	0	2	0
UPF1	1626	721	1884	1263	1471	1357
SKAP2	629	1738	651	2484	2212	2486
SLC25A5	2058	2358	2768	3286	3508	3370
MCUB	139	265	154	507	120	496
HOXA11	0	1	0	1	0	0
POLR2J	547	326	696	455	616	576
DHX33	141	182	128	305	184	235
MEOX1	1	0	0	1	0	0
THSD7A	8	3	22	6	6	12
LIG3	774	404	672	706	553	621
RPAP3	703	414	566	661	505	608
ACSM3	350	223	458	338	294	260
REXO5	130	79	76	89	99	112
CIAPIN1	866	348	1200	558	909	728
SPPL2B	165	201	202	276	127	298
FAM214B	1520	677	1476	984	1348	1108
COPZ2	10	27	8	32	24	43
PRKAR2B	891	646	444	743	338	749
MSL3	536	932	690	1529	1123	1510
CREBBP	1284	1084	1105	1671	967	1374
TSPOAP1	92	62	130	99	120	99
MPO	3	19	17	16	13	15
PON1	0	1	0	1	0	1
GCFC2	196	213	117	362	223	362
WDR54	81	45	85	85	45	87
CROT	53	133	47	202	124	233
ABCB4	46	48	60	55	201	39
KMT2E	2048	2096	1240	3274	1854	2954
RHBDD2	943	384	398	484	199	418
SOX8	52	75	4	0	523	387
IBTK	1360	913	781	1520	1602	1733
ZNF195	294	392	272	591	419	571
MYCBP2	1658	3535	1330	4602	2570	4534
FBXL3	2537	1357	1976	2189	2276	2711
ITGAL	195	157	377	600	84	205
PDK2	77	214	87	269	124	333
ITGA3	104	67	114	79	88	160
ZFX	1173	1095	836	1476	1316	1650
LAMP2	6775	6767	5048	8378	6149	8894
ITGA2B	28	61	18	70	46	111
ASB4	19	27	22	48	18	36
GDE1	1084	1788	869	2284	1473	2752
REX1BD	432	423	555	468	489	678
CRLF1	43	25	64	25	37	41
OSBPL7	14	84	26	162	34	109
TMEM98	7	9	4	8	10	16
YBX2	0	1	0	0	0	1
KRT33A	0	0	0	0	0	0
MAP3K14	6194	927	8753	1523	4009	1929
ABCC8	45	36	35	76	35	59
CACNG3	0	0	0	0	0	0
TMEM132A	765	125	387	195	165	192
AP2B1	3479	1768	2836	3074	1978	2712
TAC1	0	0	0	0	0	1
ZNF263	706	487	879	905	889	1076
CX3CL1	27	3	51	11	21	9
SPATA20	333	359	444	533	617	963
CACNA1G	18	7	15	16	27	13
TNFRSF12A	129	57	100	59	193	67
DLX6	5	4	1	3	1	1
MAP3K9	15	16	13	27	7	19
RALA	1678	614	1223	993	985	822
BAIAP2L1	206	97	229	165	94	165
KDM7A	3196	3795	1527	5403	3775	5352
ETV1	0	1	1	3	0	1
AGK	988	284	619	510	446	605
ALDH3B1	498	457	434	597	449	714
TTC22	13	7	20	12	9	19
PHTF2	906	2777	1384	6509	5197	6727
CCL26	527	1824	138	1564	49	464
FARP2	1878	881	1800	1554	1354	1535
USH1C	0	0	0	1	0	0
GGCT	317	444	223	641	597	728
DBF4	122	216	96	319	354	428
TBXA2R	14	4	8	8	7	6
IFRD1	1192	392	938	819	793	748
LGALS14	9	6	12	14	8	12
COX10	268	239	317	360	331	340
GTF2IRD1	109	84	138	98	87	97
PAF1	1048	384	966	582	612	606
VPS41	3487	2638	2644	3943	3915	4701
ARHGAP44	13	11	12	34	21	23
ELAC2	955	752	1203	1149	1060	1309
SCIN	119	43	53	62	53	62
ARSD	1363	977	1068	1135	682	1145
PNPLA4	70	53	55	48	76	105
MYH13	0	0	0	0	0	0
ADIPOR2	1073	765	871	1118	1012	1321
CDKL3	40	42	27	74	46	75
UPP2	3	3	0	4	0	3
PRSS21	9	32	4	11	17	36
MARK4	293	138	231	171	175	188
PROM1	0	2	0	4	2	1
CCDC124	340	105	441	179	244	231
CEACAM21	6	0	2	7	0	5
PAFAH1B1	4482	2634	3446	4171	3621	3892
NOS2	5	7	5	7	9	13
DNAH9	3	1	3	8	1	10
KIAA0100	11426	24398	17780	42363	29096	45605
SLC13A2	0	0	0	0	0	0
GAS7	500	1743	788	3629	687	2634
TRAPPC6A	196	181	351	233	249	412
MATK	360	476	647	703	762	888
CEACAM7	0	0	0	0	0	0
CD79B	13	17	7	17	2	17
SCN4A	0	0	1	0	0	0
ST7L	300	255	282	448	367	479
TKTL1	3	0	4	0	2	1
PAX6	22	19	8	32	12	18
RPUSD1	202	117	272	157	207	198
RHBDF1	117	71	145	94	149	204
LUC7L	1280	769	1235	1232	875	1163
CACNA2D2	9	18	8	25	6	61
BAIAP3	13	3	19	15	12	14
TSR3	525	160	770	256	373	293
PIGQ	200	199	279	304	148	293
CRAMP1	761	310	579	552	490	597
TEAD3	4	1	1	1	1	1
SELE	0	0	0	0	0	0
DNAJC11	1008	592	1276	942	1171	1018
FMO3	8	8	6	5	1	13
MYLIP	3006	443	3620	720	1593	1011
NOX1	6	6	2	6	7	3
E2F2	7	7	5	11	4	12
PSMB1	2544	1185	2817	1776	2324	2264
SYN1	13	25	7	17	12	14
JARID2	2286	1670	2198	3328	2217	3293
CDKL5	309	420	249	756	443	697
CAMK1G	165	11	97	0	19	3
CDK11A	361	306	332	462	291	540
NADK	2605	1041	2296	1213	1316	1539
TFAP2B	0	0	0	0	0	0
TFAP2D	0	0	0	0	0	0
DLEC1	31	41	44	75	22	73
CYTH3	108	149	87	167	150	231
ADAM22	19	40	12	74	24	71
SYPL1	303	703	190	864	614	747
CYB561	290	153	300	225	176	275
SPAG9	5397	3276	3664	4694	4745	5217
CELSR3	106	64	102	73	94	86
AASS	47	76	34	114	67	99
PLEKHG6	34	38	37	65	23	47
SS18L2	273	190	273	297	332	412
MPND	219	135	221	162	162	195
MGST1	699	568	484	878	620	1152
CRY1	353	182	283	260	259	265
PGLYRP1	1	2	1	0	2	0
NFIX	11	20	8	25	13	42
ST3GAL1	9847	1977	9042	2500	3026	1949
MMP25	1016	365	1496	508	761	539
IL32	728	38	1470	42	225	36
PKD1	970	685	1454	1161	1098	1172
MAPK8IP2	10	10	5	14	13	7
MED24	640	333	829	619	506	580
RHOBTB2	123	148	129	201	111	172
HEATR5B	881	1416	629	2459	1233	2508
SEC62	1985	1464	925	2097	1605	2516
RPS20	9833	4962	13045	8936	9116	11241
CSDE1	17923	12637	13366	20453	19039	24420
UBE3C	4077	2005	4069	3303	4408	3896
REV3L	405	498	293	785	464	761
TENM1	0	1	1	0	3	4
PAX7	0	0	0	0	0	0
MASP2	52	73	45	107	42	90
IYD	16	18	9	29	11	33
FAM76A	327	325	335	530	517	673
TRAF3IP3	2900	296	2859	492	764	369
POMT2	187	181	248	329	192	303
VTA1	772	670	613	995	959	1206
MLXIPL	9	7	6	9	7	10
BAZ1B	3297	2444	2468	3668	3234	4303
RANBP9	1485	1078	1071	1831	1155	1828
ETV7	67	3	72	5	31	12
SPRTN	307	285	243	402	338	477
METTL13	823	377	712	671	597	680
DYRK4	139	141	163	182	166	231
ZNF207	6441	5067	5333	7858	5651	7235
UQCRC1	3675	1703	4336	2494	3396	3099
STARD3NL	925	477	706	715	871	746
CD9	1682	848	1511	601	1364	991
HHATL	0	0	0	0	0	0
NCAPD2	699	846	764	1397	1005	1438
IFFO1	699	853	662	1103	604	1121
GIPR	27	35	32	69	23	60
PHF7	66	72	67	133	45	162
SEMA3G	3	12	5	14	5	11
NISCH	1613	1903	1973	3238	2625	4156
STAB1	1072	9815	2083	24921	2176	12010
FUZ	53	84	40	111	38	132
SLC6A13	11	2	5	0	3	6
IDS	3155	2668	2381	3680	1838	2850
PRSS3	45	154	416	350	1092	787
ZNF200	355	278	357	435	318	386
CD4	3571	6961	4453	9098	3860	6882
LRRC23	60	56	38	84	50	123
BTK	980	2186	1118	3662	2365	4357
HFE	48	120	24	148	34	69
SCMH1	57	48	75	81	112	96
FYN	234	181	424	669	529	645
HIVEP2	1218	138	1016	232	694	116
FMO1	0	0	1	2	1	1
ELOA	2563	1123	2317	1709	1707	1655
LYPLA2	999	475	1034	597	771	720
CLCN6	877	538	1039	689	686	721
MRC2	616	823	723	1332	1038	2068
NME1-NME2	9	11	0	32	39	57
SLC6A7	7	0	1	1	1	0
TSPAN9	1	2	0	2	1	3
BTBD7	251	424	134	249	123	193
APBA3	789	184	920	259	427	302
MKS1	128	131	132	190	108	187
ABHD5	550	401	315	523	505	597
ANOS1	17	51	18	105	40	98
AKAP8L	1037	705	1115	1028	877	1227
MBTD1	331	586	258	951	763	1070
UTP18	1229	1056	1203	1684	1894	2143
RNF216	1981	1302	1821	2030	1955	2186
TTC19	530	495	507	955	603	954
PTBP1	3453	1488	4313	2235	2958	2357
DPF1	8	5	13	11	11	9
SYT7	4	1	1	1	2	0
LARS2	640	424	777	651	764	675
PIK3C2A	740	716	356	1156	782	1224
PLAUR	12000	975	6724	1385	5170	1499
ANLN	15	28	11	23	12	23
WIZ	368	213	480	314	312	344
RABGAP1	3220	2547	2669	3775	2974	4481
DCN	8	6	6	20	2	6
