GO_term	median_diff	p_value	statistic	p_adj	auroc
positive regulation of alcohol biosynthetic process	NA	NA	NA	NA	NA
positive regulation of alpha-beta T cell activation	0	0.9809506823019059	86	1	0.4673913043478261
positive regulation of alpha-beta T cell differentiation	0	1	87	1	0.47282608695652173
positive regulation of alpha-beta T cell proliferation	NA	NA	NA	NA	NA
positive regulation of amide metabolic process	NA	NA	NA	NA	NA
positive regulation of amino acid transport	NA	NA	NA	NA	NA
positive regulation of angiogenesis	0	0.38701763697514524	69	0.8017867405900627	0.375
positive regulation of animal organ morphogenesis	NA	NA	NA	NA	NA
positive regulation of antigen receptor-mediated signaling pathway	NA	NA	NA	NA	NA
positive regulation of apoptotic DNA fragmentation	NA	NA	NA	NA	NA
positive regulation of apoptotic cell clearance	NA	NA	NA	NA	NA
positive regulation of apoptotic process involved in development	NA	NA	NA	NA	NA
positive regulation of apoptotic process involved in morphogenesis	NA	NA	NA	NA	NA
positive regulation of apoptotic signaling pathway	0	0.5180206289290548	74	0.8540523159096338	0.40217391304347827
positive regulation of astrocyte differentiation	NA	NA	NA	NA	NA
positive regulation of attachment of mitotic spindle microtubules to kinetochore	NA	NA	NA	NA	NA
positive regulation of attachment of spindle microtubules to kinetochore	NA	NA	NA	NA	NA
positive regulation of autophagosome assembly	NA	NA	NA	NA	NA
positive regulation of autophagy	NA	NA	NA	NA	NA
positive regulation of axonogenesis	NA	NA	NA	NA	NA
positive regulation of binding	0	0.44186966586351095	101	0.8044098407491623	0.5489130434782609
positive regulation of blood circulation	NA	NA	NA	NA	NA
positive regulation of blood coagulation	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
positive regulation of blood vessel endothelial cell migration	0	0.9203754407381626	89	0.9662360726649782	0.483695652173913
positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis	NA	NA	NA	NA	NA
positive regulation of blood-brain barrier permeability	NA	NA	NA	NA	NA
positive regulation of bone resorption	NA	NA	NA	NA	NA
positive regulation of brown fat cell differentiation	NA	NA	NA	NA	NA
positive regulation of calcineurin-NFAT signaling cascade	NA	NA	NA	NA	NA
positive regulation of calcineurin-mediated signaling	NA	NA	NA	NA	NA
positive regulation of calcium ion import	NA	NA	NA	NA	NA
positive regulation of calcium ion transmembrane transport	NA	NA	NA	NA	NA
positive regulation of calcium ion transmembrane transporter activity	NA	NA	NA	NA	NA
positive regulation of calcium ion transport	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
positive regulation of calcium-mediated signaling	NA	NA	NA	NA	NA
positive regulation of carbohydrate metabolic process	0	0.41715819861414843	96.5	0.8017867405900627	0.5244565217391305
positive regulation of cardiac muscle hypertrophy	NA	NA	NA	NA	NA
positive regulation of cartilage development	NA	NA	NA	NA	NA
positive regulation of cell cycle G2/M phase transition	NA	NA	NA	NA	NA
positive regulation of cell cycle checkpoint	NA	NA	NA	NA	NA
positive regulation of cell cycle phase transition	NA	NA	NA	NA	NA
positive regulation of cell division	0	0.7046514611141652	84	0.8822582843048257	0.45652173913043476
positive regulation of cell fate commitment	NA	NA	NA	NA	NA
positive regulation of cell growth	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
positive regulation of cell killing	NA	NA	NA	NA	NA
positive regulation of cell migration by vascular endothelial growth factor signaling pathway	NA	NA	NA	NA	NA
positive regulation of cell proliferation involved in kidney development	NA	NA	NA	NA	NA
positive regulation of cell-cell adhesion mediated by cadherin	NA	NA	NA	NA	NA
positive regulation of cell-substrate adhesion	NA	NA	NA	NA	NA
positive regulation of cellular carbohydrate metabolic process	NA	NA	NA	NA	NA
positive regulation of cellular extravasation	NA	NA	NA	NA	NA
positive regulation of cellular respiration	NA	NA	NA	NA	NA
positive regulation of cellular response to transforming growth factor beta stimulus	NA	NA	NA	NA	NA
positive regulation of chemokine (C-X-C motif) ligand 2 production	NA	NA	NA	NA	NA
positive regulation of chemokine production	-0.32140471047607433	0.07356193569518402	48.5	0.5226318919739237	0.26358695652173914
positive regulation of chemotaxis	0	0.4489000647028384	71.5	0.8044098407491623	0.38858695652173914
positive regulation of chondrocyte differentiation	NA	NA	NA	NA	NA
positive regulation of chromatin binding	NA	NA	NA	NA	NA
positive regulation of chromatin organization	NA	NA	NA	NA	NA
positive regulation of chromosome condensation	NA	NA	NA	NA	NA
positive regulation of chromosome organization	NA	NA	NA	NA	NA
positive regulation of chromosome segregation	NA	NA	NA	NA	NA
positive regulation of chromosome separation	NA	NA	NA	NA	NA
positive regulation of coagulation	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
positive regulation of cold-induced thermogenesis	NA	NA	NA	NA	NA
positive regulation of complement activation	NA	NA	NA	NA	NA
positive regulation of cysteine-type endopeptidase activity	0	NA	87	NA	0.47282608695652173
positive regulation of cysteine-type endopeptidase activity involved in apoptotic process	0	NA	87	NA	0.47282608695652173
positive regulation of cytokine production involved in immune response	NA	NA	NA	NA	NA
positive regulation of cytokine production involved in inflammatory response	NA	NA	NA	NA	NA
positive regulation of cytokine-mediated signaling pathway	NA	NA	NA	NA	NA
positive regulation of cytokinesis	NA	NA	NA	NA	NA
positive regulation of cytoplasmic translation	NA	NA	NA	NA	NA
positive regulation of cytoskeleton organization	NA	NA	NA	NA	NA
positive regulation of cytosolic calcium ion concentration	0	0.016926567523699317	114	0.2715825492407569	0.6195652173913043
positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G protein-coupled signaling pathway	NA	NA	NA	NA	NA
positive regulation of defense response to bacterium	NA	NA	NA	NA	NA
positive regulation of defense response to virus by host	NA	NA	NA	NA	NA
positive regulation of dendritic cell cytokine production	NA	NA	NA	NA	NA
positive regulation of dephosphorylation	0	0.6066427252124077	94	0.8540523159096338	0.5108695652173914
positive regulation of developmental growth	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
positive regulation of double-strand break repair	NA	NA	NA	NA	NA
positive regulation of double-strand break repair via homologous recombination	NA	NA	NA	NA	NA
positive regulation of endocytosis	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
positive regulation of endopeptidase activity	0	0.7757747190771391	81.5	0.8893027267469643	0.4429347826086957
positive regulation of endoplasmic reticulum unfolded protein response	NA	NA	NA	NA	NA
