Description	dn_aggregated_RNAseq_0.8	dn_aggregated_RNAseq_DE	dn_aggregated_RNAseq	GSE100897_MTB_control_24h_THP-1	GSE100897_MTB_control_6h_THP-1	GSE110564_MTB_control_blood_lymphatic_endothelial_cell	GSE112482_MTB_control_lung_ILC1	GSE112482_MTB_control_lung_ILC2	GSE112482_MTB_control_lung_ILC3neg	GSE112482_MTB_control_lung_ILC3pos	GSE112482_MTB_control_lung_NK	GSE112482_MTB_control_lung_susp	GSE132283_MTB_control_blood_macrophage	GSE141656_MTB_control_blood_blood	GSE143627_MTB_control_PBMC_macrophage	GSE143731_MTB_control_blood_monocyte_derived_macrophages	GSE148171_MTB_control_blood_PBMC	GSE148731_MTB_control_blood_monocytes	GSE164287_MTB_control_blood_monocyte_derived_macrophages	GSE165708_MTB_control_BAL_bronchoalveolar_lavage	GSE174566_MTB_control_blood_PBMC	GSE183912_MTB_control_blood_marcophages	GSE193777_MTB_control_blood	GSE198557_MTB_control_blood_PBMC	GSE211974_MTB_control_48h_blood_THP-1	GSE211974_MTB_control_blood_THP-1	GSE236156_MTB_control_BALF_alveolar_macrophage	GSE236156_MTB_control_blood_monocyte_derived_macrophage	GSE256184_MTB_control_HEPG2_HepG2	GSE64179_MTB_control_blood_dendritic_cells	GSE64182_MTB_control_blood_dendritic_cells	GSE84076_MTB_control_blood
'de novo' AMP biosynthetic process	NA	NA	NA	0.00119994000299985	0.00119994000299985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
'de novo' NAD biosynthetic process	NA	0.0023880597014925373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
'de novo' NAD biosynthetic process from tryptophan	NA	0.0023880597014925373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
'de novo' post-translational protein folding	NA	NA	NA	NA	NA	NA	0.007603305785123967	0.007603305785123967	0.007603305785123967	0.007603305785123967	0.007603305785123967	0.007603305785123967	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
'de novo' protein folding	NA	NA	NA	NA	NA	NA	0.008264462809917356	0.008264462809917356	0.008264462809917356	0.008264462809917356	0.008264462809917356	0.008264462809917356	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
[2Fe-2S] cluster assembly	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0013869625520110957	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3'-UTR-mediated mRNA stabilization	0.015463917525773196	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acetyl-CoA biosynthetic process	NA	NA	NA	0.0023998800059997	0.0023998800059997	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0024657112035752814	NA	NA	0.0026169447170428526	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
acetyl-CoA metabolic process	NA	NA	NA	0.0034498275086245686	0.0034498275086245686	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0036985668053629217	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
actin filament bundle organization	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.012516644474034621	0.012516644474034621	NA	NA	NA	NA	NA	NA
actin filament polymerization	NA	NA	NA	0.01319934003299835	0.01319934003299835	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
actin nucleation	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.005701957158267838	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
actin polymerization or depolymerization	NA	NA	NA	0.015299235038248088	0.015299235038248088	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.014780292942743009	0.014780292942743009	NA	NA	NA	NA	NA	NA
action potential	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.014998125234345707	NA	NA	NA	NA	NA	NA	NA	NA
activated T cell proliferation	NA	0.007761194029850746	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
activation of cysteine-type endopeptidase activity	NA	NA	NA	NA	NA	NA	0.003305785123966942	0.003305785123966942	0.003305785123966942	0.003305785123966942	0.003305785123966942	0.003305785123966942	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
activation of Janus kinase activity	NA	0.003582089552238806	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
