pert	n_reversed_cells	min_score_cell	all_reversed_cells
atorvastatin	13	A549	A549, PC3, HUH7, MCF7, HT29, NPC, HEPG2, A375, NEU, HA1E, HCC515, PHH, VCAP
nilotinib	13	MDAMB231	HS578T, A375, A549, PC3, MDAMB231, MCF10A, ASC, MCF7, SKBR3, SKB, HT29, NEU, VCAP
crizotinib	12	PC3	BT20, MCF7, SKBR3, PC3, A375, SKB, PHH, VCAP, NEU, ASC, MDAMB231, A549
loperamide	12	MCF7	VCAP, NEU, MCF7, A375, NPC, ASC, HT29, FIBRNPC, HA1E, PC3, A549, HCC515
simvastatin	12	PC3	NPC, PC3, MCF7, HCC515, NEU, A375, FIBRNPC, HA1E, HUH7, A549, HEPG2, VCAP
tamoxifen	12	PHH	SKB, HEPG2, PHH, U937, HA1E, MCF7, FIBRNPC, HT29, NEU, ASC, VCAP, A549
toremifene	12	ASC	ASC, HCC515, VCAP, MCF7, NPC, A549, PHH, A375, PC3, HA1E, SKB, HT29
vemurafenib	12	ASC	BT20, ASC, SKBR3, HS578T, A375, HT29, MCF7, SKB, PHH, HEK293T, PC3, A549
amiodarone	11	HCC515	PC3, SKB, HT29, MCF7, HA1E, ASC, A549, A375, FIBRNPC, HCC515, VCAP
bucladesine	11	NPC	HT29, HCC515, HUH7, HA1E, NPC, PC3, A549, VCAP, MCF7, PHH, ASC
erlotinib	11	ASC	MCF10A, HS578T, ASC, PC3, PHH, NPC, MCF7, MDAMB231, VCAP, SKB, NEU
fostamatinib	11	MCF10A	MCF10A, HA1E, PC3, HT29, MDAMB231, HCC515, SKBR3, A375, VCAP, MCF7, A549
imatinib	11	SKBR3	ASC, SKB, MCF7, MDAMB231, VCAP, FIBRNPC, PC3, SKBR3, MCF10A, BT20, NEU
nimodipine	11	NEU	NEU, MCF7, A375, NPC, SKB, FIBRNPC, HA1E, HCC515, HT29, A549, PHH
nitrendipine	11	A375	A375, MCF7, NPC, NEU, PC3, FIBRNPC, A549, HCC515, PHH, ASC, HT29
pazopanib	11	A549	MCF7, PC3, PHH, NPC, A549, SKB, ASC, VCAP, SKBR3, MDAMB231, BT20
sirolimus	11	SKBR3	FIBRNPC, PHH, MCF10A, SKB, A375, PC3, SKBR3, HT29, VCAP, A549, MDAMB231
triflupromazine	11	A549	HA1E, HCC515, A549, NEU, ASC, A375, SKB, VCAP, NPC, HEK293T, PC3
estradiol	10	HT29	A375, VCAP, NKDBA, HCC515, MCF7, HT29, HEPG2, ASC, NPC, PHH
estrone	10	HCC515	VCAP, HA1E, HT29, PHH, HCC515, SKB, PC3, NEU, A549, ASC
fulvestrant	10	HCC515	VCAP, HCC515, NPC, HEPG2, A549, A375, MCF7, HT29, SKB, PC3
lapatinib	10	BT20	SKBR3, SKB, BT20, ASC, A549, HS578T, PC3, MCF7, PHH, NPC
temozolomide	10	NPC	VCAP, HA1E, HCC515, HT29, NEU, NPC, MCF7, PC3, A549, A375
aprepitant	9	PC3	NPC, VCAP, ASC, MCF7, PHH, SKB, PC3, A549, NEU
calcifediol	9	A549	ASC, SKB, NPC, PC3, A549, PHH, MCF7, HA1E, VCAP
chlorpromazine	9	A375	NEU, A375, ASC, FIBRNPC, PHH, VCAP, HCC515, A549, SKB
clomifene	9	PC3	HT29, ASC, HCC515, PHH, PC3, A375, HEPG2, HA1E, A549
clonidine	9	PC3	NPC, HT29, FIBRNPC, A549, PC3, NEU, ASC, VCAP, PHH
diltiazem	9	MCF7	HA1E, VCAP, A549, ASC, NPC, PC3, PHH, MCF7, SKB
doxorubicin	9	HCC515	A549, HA1E, HT29, HCC515, VCAP, SKB, ASC, PC3, MCF7
fluspirilene	9	VCAP	HA1E, HCC515, ASC, A549, VCAP, MCF7, SKB, NPC, PHH
fluvastatin	9	PHH	PHH, HA1E, MCF7, PC3, FIBRNPC, ASC, A549, NEU, NPC
irsogladine	9	ASC	A549, PHH, SKB, ASC, HCC515, MCF7, PC3, HA1E, VCAP
ketotifen	9	SKB	MCF7, SKB, HA1E, HCC515, NPC, ASC, PC3, NKDBA, PHH
labetalol	9	VCAP	PHH, A549, MCF7, NPC, ASC, VCAP, HA1E, HCC515, PC3
naltrexone	9	A549	A549, MCF7, A375, HT29, ASC, VCAP, SKB, PC3, HA1E
naphazoline	9	PC3	PC3, HCC515, ASC, NPC, SKB, VCAP, HA1E, MCF7, PHH
nicergoline	9	SKB	PC3, NPC, ASC, MCF7, SKB, HA1E, A549, VCAP, HCC515
palbociclib	9	MCF7	MCF7, BT20, PC3, PHH, MCF10A, HS578T, SKBR3, ASC, A549
phenazopyridine	9	HCC515	A549, VCAP, HA1E, PHH, ASC, MCF7, NPC, PC3, HCC515
progesterone	9	HT29	NEU, HT29, SKB, PC3, VCAP, NPC, HCC515, MCF7, HA1E
promazine	9	HCC515	HCC515, A549, PC3, NPC, PHH, HA1E, HT29, SKB, A375
rizatriptan	9	PC3	PC3, MCF7, ASC, PHH, HA1E, HCC515, SKB, VCAP, NPC
ruxolitinib	9	SKB	PHH, SKB, ASC, A549, NEU, MCF10A, HS578T, BT20, MCF7
sorafenib	9	MCF7	MCF7, FIBRNPC, SKB, PC3, NEU, A549, ASC, HS578T, VCAP
warfarin	9	PC3	A549, VCAP, PHH, A375, PC3, ASC, HA1E, MCF7, NEU
acetyl-farnesyl-cysteine	8	A549	A549, PHH, MCF7, SKB, ASC, NPC, PC3, FIBRNPC
amantadine	8	MCF7	ASC, MCF7, SKB, A549, HCC515, VCAP, NPC, PHH
amlodipine	8	SKB	PC3, HA1E, MCF7, HCC515, VCAP, PHH, SKB, A549
aniracetam	8	PC3	PC3, A549, PHH, NPC, FIBRNPC, ASC, VCAP, SKB
bendroflumethiazide	8	VCAP	A549, ASC, NEU, VCAP, MCF7, SKB, HCC515, NPC
bupropion	8	HCC515	HA1E, VCAP, HCC515, SKB, PHH, A549, NPC, ASC
carvedilol	8	MCF7	PC3, ASC, VCAP, MCF7, HA1E, A549, PHH, NPC
chenodeoxycholic-acid	8	A549	MCF7, A549, VCAP, NEU, PC3, SKB, FIBRNPC, NPC
clomipramine	8	A549	A549, HA1E, MCF7, PC3, NPC, ASC, VCAP, PHH
curcumin	8	A549	NPC, A549, FIBRNPC, MCF7, U266, HT29, A375, PC3
desoximetasone	8	MCF7	PHH, A549, SKB, MCF7, VCAP, PC3, HCC515, ASC
doconexent	8	A549	VCAP, FIBRNPC, A549, ASC, NPC, MCF7, HCC515, HA1E
estropipate	8	VCAP	HCC515, VCAP, A375, NPC, HA1E, MCF7, A549, ASC
ethisterone	8	HA1E	HA1E, SKB, MCF7, ASC, VCAP, HCC515, PC3, PHH
etodolac	8	PC3	ASC, HCC515, PHH, PC3, SKB, A549, HA1E, VCAP
febuxostat	8	PHH	NPC, MCF7, VCAP, ASC, PHH, SKB, HA1E, HCC515
ketorolac	8	HA1E	HA1E, PHH, PC3, A549, ASC, NPC, SKB, MCF7
loxapine	8	A549	PC3, NEU, SKB, ASC, MCF7, HA1E, A549, HCC515
medrysone	8	PHH	HA1E, PHH, NPC, PC3, MCF7, VCAP, A549, SKB
menadione	8	SKB	SKB, NPC, PHH, HCC515, PC3, MCF7, ASC, HT29
metergoline	8	PHH	A375, PHH, MCF7, HA1E, HT29, NPC, A549, VCAP
naftifine	8	MCF7	SKB, HA1E, MCF7, ASC, PC3, PHH, HCC515, NPC
pentoxifylline	8	PC3	PC3, PHH, NPC, ASC, VCAP, MCF7, HCC515, A549
physostigmine	8	PHH	PHH, SKB, A549, MCF7, HA1E, NPC, PC3, HCC515
pimozide	8	NEU	FIBRNPC, NEU, PC3, A549, ASC, HA1E, NPC, MCF7
pindolol	8	HCC515	HA1E, A549, HCC515, NPC, PC3, MCF7, ASC, VCAP
prednisone	8	HCC515	HCC515, MCF7, ASC, PHH, PC3, VCAP, HA1E, NPC
prochlorperazine	8	VCAP	SKB, A549, NPC, PC3, ASC, VCAP, HCC515, MCF7
protriptyline	8	SKB	SKB, MCF7, PC3, ASC, HA1E, PHH, HCC515, NPC
pyrimethamine	8	NPC	NPC, VCAP, MCF7, SKB, PC3, HCC515, A549, PHH
quetiapine	8	VCAP	HA1E, VCAP, HCC515, ASC, A549, PHH, SKB, MCF7
ranitidine	8	VCAP	MCF7, SKB, PC3, PHH, NPC, ASC, HCC515, VCAP
rilmenidine	8	HT29	NPC, FIBRNPC, VCAP, HA1E, HT29, A549, MCF7, A375
rosuvastatin	8	MCF7	HCC515, MCF7, ASC, PHH, HA1E, PC3, A549, VCAP
sildenafil	8	PC3	ASC, PC3, SKB, HA1E, NPC, A549, NKDBA, VCAP
somatostatin	8	SKB	MCF7, VCAP, PHH, A549, PC3, SKB, NPC, NEU
thalidomide	8	HT29	SKB, HT29, MCF7, NPC, FIBRNPC, ASC, HA1E, VCAP
thiocolchicoside	8	A549	ASC, A549, VCAP, SKB, NPC, MCF7, HCC515, PC3
tivozanib	8	PC3	HT29, HS578T, VCAP, A375, HA1E, PC3, A549, MCF7
tolazamide	8	HA1E	A549, FIBRNPC, PC3, SKB, MCF7, VCAP, NPC, HA1E
triamcinolone	8	A375	MCF7, HT29, ASC, A375, HA1E, PHH, NPC, SKB
triamterene	8	HCC515	PC3, HCC515, PHH, A375, A549, HA1E, ASC, MCF7
verapamil	8	MCF7	MCF7, NPC, A549, HCC515, HT29, VCAP, SKB, PHH
vinblastine	8	VCAP	ASC, HUH7, HEPG2, VCAP, NPC, SKB, PC3, MCF7
zuclopenthixol	8	SKB	SKB, A549, VCAP, HA1E, ASC, PC3, NPC, MCF7
acitretin	7	SKB	SKB, NEU, MCF7, ASC, FIBRNPC, VCAP, PC3
albendazole	7	SKB	SKB, HCC515, VCAP, PHH, ASC, MCF7, PC3
amiloride	7	VCAP	VCAP, A375, HCC515, SKB, PHH, ASC, NPC
amitriptyline	7	A375	ASC, NPC, MCF7, HEK293T, A375, SKB, A549
benzonatate	7	PC3	HEK293T, PC3, VCAP, A549, HCC515, NEU, NPC
biperiden	7	ASC	ASC, HCC515, VCAP, MCF7, A549, PHH, PC3
bromocriptine	7	HA1E	PC3, HA1E, MCF7, NPC, HT29, A375, A549
brompheniramine	7	HA1E	A549, MCF7, HA1E, VCAP, PHH, NPC, SKB
bumetanide	7	PHH	VCAP, PHH, HCC515, ASC, A549, NPC, PC3
cabergoline	7	NPC	NPC, A549, HA1E, HCC515, PC3, MCF7, VCAP
chloroquine	7	ASC	ASC, MCF7, VCAP, HCC515, SKB, HT29, A549
coumarin	7	MCF7	MCF7, HCC515, VCAP, A549, PHH, NPC, HA1E
dasatinib	7	NPC	SKB, A549, NPC, ASC, VCAP, HS578T, PC3
diclofenac	7	NPC	PHH, NPC, PC3, HA1E, VCAP, FIBRNPC, A549
dihydroergocristine	7	MCF7	VCAP, MCF7, NEU, NPC, A549, HT29, PC3
disopyramide	7	HCC515	VCAP, PHH, HA1E, HCC515, MCF7, NPC, PC3
duloxetine	7	HCC515	HCC515, A549, HA1E, NPC, PC3, VCAP, SKB
estradiol-cypionate	7	PC3	HCC515, PHH, VCAP, PC3, A549, SKB, HA1E
ethinyl-estradiol	7	HT29	HT29, A549, HA1E, MCF7, A375, VCAP, PC3
fasudil	7	SKB	HCC515, VCAP, A549, SKB, NPC, PC3, ASC
fenbendazole	7	A549	A549, PHH, ASC, VCAP, SKB, MCF7, PC3
flupentixol	7	MCF7	NPC, MCF7, VCAP, HCC515, A549, ASC, PC3
fluphenazine	7	A375	A375, A549, HA1E, SKB, HCC515, MCF7, HT29
flupirtine	7	SKB	NEU, SKB, PC3, MCF7, A549, ASC, VCAP
gliquidone	7	NPC	PC3, NEU, NPC, A549, HCC515, VCAP, MCF7
guanfacine	7	A549	PC3, HCC515, A549, NPC, MCF7, PHH, HA1E
hyoscyamine	7	MCF7	MCF7, HT29, ASC, A549, PHH, HA1E, SKB
iloprost	7	NPC	SKB, U937, NPC, ASC, A549, CD34, VCAP
imiquimod	7	NEU	NEU, A375, HCC515, A549, HA1E, PC3, NPC
ipratropium	7	ASC	ASC, A375, HCC515, PHH, PC3, HT29, VCAP
isoxsuprine	7	HT29	VCAP, A549, A375, PHH, HT29, MCF7, HA1E
ivermectin	7	A549	VCAP, SKB, PHH, ASC, PC3, A549, HCC515
lovastatin	7	VCAP	PC3, HA1E, NEU, ASC, FIBRNPC, VCAP, HCC515
maprotiline	7	PC3	PC3, HT29, HCC515, PHH, MCF7, ASC, NPC
masitinib	7	SKB	VCAP, SKB, ASC, HS578T, NPC, BT20, MDAMB231
mefenamic-acid	7	PHH	HCC515, PHH, A549, A375, HEK293T, MCF7, HA1E
mephentermine	7	MCF7	MCF7, HCC515, A549, PC3, VCAP, NPC, SKB
minoxidil	7	SKB	SKB, PHH, MCF7, A375, FIBRNPC, NEU, HT29
mitotane	7	A549	A549, PHH, ASC, SKB, HA1E, HCC515, PC3
moxifloxacin	7	NEU	VCAP, MCF7, A549, PHH, NEU, PC3, NPC
mycophenolic-acid	7	HUH7	HUH7, MCF7, PC3, HA1E, SKB, PHH, VCAP
nadolol	7	A549	ASC, VCAP, HCC515, PHH, A549, HA1E, NPC
nafcillin	7	NEU	MCF7, NEU, SKB, VCAP, A549, HA1E, PC3
nalbuphine	7	MCF7	ASC, HT29, A375, PC3, SKB, MCF7, HCC515
naloxone	7	A375	HCC515, A375, SKB, PC3, ASC, PHH, A549
niclosamide	7	MCF7	A375, VCAP, NPC, SKB, PC3, HCC515, MCF7
nilutamide	7	PHH	ASC, HA1E, VCAP, HCC515, NPC, PHH, SKB
nimesulide	7	NEU	VCAP, NEU, ASC, HA1E, A549, MCF7, HCC515
noretynodrel	7	A549	ASC, HEK293T, MCF7, VCAP, PC3, HCC515, A549
norgestimate	7	PC3	A549, PC3, SKB, ASC, MCF7, VCAP, HCC515
noscapine	7	MCF7	HA1E, A549, A375, HCC515, PC3, MCF7, VCAP
pantoprazole	7	MCF7	MCF7, HA1E, PC3, VCAP, ASC, PHH, NPC
