node	type
ADRB2	source
BIRC2	source
ALDH7A1	source
BCL2	source
CBR3	source
CD44	source
CXCL2	source
HADH	source
HMGCS1	source
GADD45B	source
PTPRF	source
STXBP1	source
TSPAN4	source
TOP2A	source
CXCR4	source
TRIB1	source
SCAP	target
FOXA3	target
COQ2	target
HNF1A	target
USP24	target
LPA	target
PLIN1	target
CYP1B1	target
CD80	target
ITGAM	target
F2RL1	target
CACNA1H	target
ADRA2A	target
GFER	target
GABPA	target
APOB	target
HSF1	target
PON1	target
CD34	target
MBP	target
CDC25C	target
PKN1	target
PKN3	target
CAMK2A	target
HSD17B3	target
IAPP	target
SMAD2	target
THBD	target
DFFB	target
DNMT3B	target
HPSE	target
GJA1	target
HLA-DQA1	target
EEF2K	target
NF2	target
SREBF1	target
SLC15A1	target
LIPC	target
HMGB1	target
AVPR2	target
KRT19	target
S100A10	target
SDS	target
UBR1	target
TSC22D3	target
CHKA	target
FABP1	target
ACTC1	target
MT1F	target
TEAD1	target
CRISPLD2	target
PLAU	target
XDH	target
CREBBP	target
FDFT1	target
SIRT4	target
SIRT6	target
SIRT7	target
SMARCB1	target
ACTL6A	target
NOS1AP	target
PIP	target
TFF3	target
PLD1	target
PLD2	target
ZNF423	target
LRMDA	target
FMO1	target
RRAS2	target
SLC12A3	target
HTT	target
LEP	target
CYP2J2	target
PDGFRB	target
HSPA1A	target
PRRC2A	target
POLR1HASP	target
BAG6	target
LTA	target
HSPA1L	target
FBXW7	target
PTPRD	target
FKBP1A	target
CYP2A6	target
HRH1	target
ADRA1A	target
CYP11A1	target
CD44	target
CCL11	target
FLT1	target
PDGFB	target
OR2B11	target
HMGCR	target
ICMT	target
ZNF542P	target
SCAP	target
PON1	target
PTGS2	target
CYP2J2	target
SYK	target
HTR2B	target
DBH	target
ANKK1	target
RXRA	target
STAT5B	target
STAT5A	target
HTR1F	target
TFAP2A	target
HTR1A	target
CACNG1	target
NISCH	target
CEL	target
GDF15	target
RIPK1	target
PECAM1	target
SLC2A3	target
FOXO3	target
