significant_drug	CMAP	LINCS	Cor	occurrence	clinical_phase	moa	target	disease_area	indication
febuxostat	0	1	1	2	Launched	xanthine oxidase inhibitor	XDH	nephrology	hyperuricemia
fluphenazine	0	1	1	2	Launched	dopamine receptor antagonist	CALM1|DRD1|DRD2|DRD5|HRH1|HTR2A|HTR6|HTR7	neurology/psychiatry	schizophrenia
forskolin	0	1	1	2	Launched	adenylyl cyclase activator	ADCY2|ADCY5|GNAS		
homoharringtonine	0	2	0	2	Launched	protein synthesis inhibitor	RPL3	hematologic malignancy	chronic myeloid leukemia (CML)
imipramine	0	1	1	2	Launched	norepinephrine reputake inhibitor|serotonin reuptake inhibitor	ADRA1A|ADRA1B|ADRA1D|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD5|HRH1|HTR1A|HTR2A|HTR2C|HTR6|HTR7|KCND2|KCND3|KCNH1|KCNH2|SLC6A2|SLC6A3|SLC6A4	neurology/psychiatry|urology	depression|nocturnal enuresis
imiquimod	0	1	1	2	Launched	interferon inducer|toll-like receptor agonist	TLR7|TLR8	dermatology|infectious disease|oncology	actinic keratosis (AK)|genital warts|basal cell carcinoma (BCC)
irbesartan	0	1	1	2	Launched	angiotensin receptor antagonist	AGTR1|JUN|SLC10A1	cardiology|nephrology	hypertension|diabetic nephropathy
isocarboxazid	0	1	1	2	Launched	monoamine oxidase inhibitor	MAOA|MAOB	neurology/psychiatry	depression
meloxicam	0	1	1	2	Launched	cyclooxygenase inhibitor	PTGS1|PTGS2	rheumatology	osteoarthritis|rheumatoid arthritis
methylergometrine	0	1	1	2	Launched	dopamine receptor antagonist|serotonin receptor antagonist	DRD1|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C	hematology|neurology/psychiatry	postpartum hemorrhage (PPH)|migraine headache
mianserin	0	1	1	2	Launched	serotonin receptor antagonist	ADRA1A|ADRA1B|ADRA1D|HRH1|HRH2|HTR2A|HTR2B|HTR2C|HTR6|HTR7	neurology/psychiatry	depression
naltrexone	0	1	1	2	Launched	opioid receptor antagonist	OPRD1|OPRK1|OPRM1|SIGMAR1	neurology/psychiatry	abstinence from alcohol
nimodipine	0	1	1	2	Launched	calcium channel blocker	CFTR|NR3C2	hematology	hemorrhage
noretynodrel	0	1	1	2	Launched	progestogen hormone	PGR	endocrinology	contraceptive
olmesartan	0	1	1	2	Launched	angiotensin receptor antagonist	AGTR1	cardiology	hypertension
orphenadrine	0	1	1	2	Launched	acetylcholine receptor antagonist		neurology/psychiatry	muscle pain
perphenazine	1	1	0	2	Launched	dopamine receptor antagonist	CALM1|DRD1|DRD2|HRH1|HTR2A|HTR2C|HTR6|HTR7	neurology/psychiatry|gastroenterology	schizophrenia|nausea|vomiting
pheniramine	0	1	1	2	Launched	histamine receptor antagonist	HRH1	allergy	allergic rhinitis|urticaria
pipamperone	0	1	1	2	Launched	dopamine receptor antagonist	DRD2|HRH1|HTR1A|HTR1B|HTR1D|HTR2A	neurology/psychiatry	schizophrenia
pregnenolone	0	1	1	2	Launched	glutamate receptor modulator	SULT2B1	rheumatology	rheumatoid arthritis
procarbazine	0	1	1	2	Launched	monoamine oxidase inhibitor		hematologic malignancy	Hodgkin's lymphoma
raloxifene	0	1	1	2	Launched	estrogen receptor antagonist|selective estrogen receptor modulator (SERM)	ESR1|ESR2	orthopedics|oncology	osteoporosis|breast cancer
ruxolitinib	0	0	2	2	Launched	JAK inhibitor	JAK1|JAK2|JAK3|TYK2	hematologic malignancy|hematology	myelofibrosis|polycythemia vera
simvastatin	0	2	0	2	Launched	HMGCR inhibitor	HMGCR|ITGB2	endocrinology|cardiology|neurology/psychiatry	hypercholesterolemia|coronary heart disease|myocardial infarction|stroke|hyperlipidemia
sorafenib	1	1	0	2	Launched	FLT3 inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|RAF inhibitor|RET tyrosine kinase inhibitor|VEGFR inhibitor	BRAF|DDR2|FGFR1|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RAF1|RET	oncology	renal cell carcinoma (RCC)|thyroid cancer|hepatocellular carcinoma (HCC)
talipexole	0	1	1	2	Launched	adrenergic receptor agonist|dopamine receptor agonist	ADRA2A|DRD2|HTR3A	infectious disease	genitial herpes
temozolomide	0	1	1	2	Launched	DNA alkylating agent	MGMT	oncology	glioblastoma|astrocytoma
thiethylperazine	0	1	1	2	Launched	dopamine receptor antagonist	DRD1|DRD2|DRD4	gastroenterology	nausea
triamterene	0	2	0	2	Launched	sodium channel blocker	SCNN1A|SCNN1B|SCNN1D|SCNN1G	endocrinology|cardiology	hypokalemia|hypertension|edema
triclosan	0	1	1	2	Launched	antibacterial agent	DNMT1	infectious disease	first-aid antiseptic
tropisetron	0	0	2	2	Launched	serotonin receptor antagonist	GLRA1|GLRA2|GLRB|HTR3A|HTR4	gastroenterology	nausea|vomiting
valproic-acid	0	1	1	2	Launched	benzodiazepine receptor agonist|HDAC inhibitor	ABAT|ACADSB|ALDH5A1|HDAC1|HDAC2|HDAC9|OGDH|SCN10A|SCN11A|SCN1A|SCN1B|SCN2A|SCN2B|SCN3A|SCN3B|SCN4A|SCN4B|SCN5A|SCN7A|SCN8A|SCN9A	neurology/psychiatry	epilepsy|seizures|seizures
verapamil	0	1	1	2	Launched	calcium channel blocker	CACNA1A|CACNA1B|CACNA1C|CACNA1D|CACNA1F|CACNA1G|CACNA1I|CACNA1S|CACNB1|CACNB2|CACNB3|CACNB4|CYP3A4|KCNA10|KCNA7|KCNH2|KCNJ11|NALCN|SCN5A|SLC29A4|SLC6A4	cardiology	hypertension
vinpocetine	0	1	1	2	Launched	phosphodiesterase inhibitor|sodium channel blocker	PDE1A|PDE1C	neurology/psychiatry	stroke|senile dementia
vorinostat	1	1	0	2	Launched	HDAC inhibitor	HDAC1|HDAC10|HDAC11|HDAC2|HDAC3|HDAC5|HDAC6|HDAC8|HDAC9	hematologic malignancy	cutaneous T-cell lymphoma (CTCL)
xylazine	0	1	1	2	Launched	adrenergic receptor agonist	ADRA2A|ADRA2B|ADRA2C	neurology/psychiatry	anesthetic
zafirlukast	0	1	1	2	Launched	leukotriene receptor antagonist	CYSLTR1|CYSLTR2	pulmonary	asthma
zileuton	0	1	1	2	Launched	leukotriene synthesis inhibitor|lipoxygenase inhibitor	ALOX5	pulmonary	asthma
abiraterone	0	1	0	1	Launched	androgen biosynthesis inhibitor	CYP11B1|CYP17A1	oncology	prostate cancer
acamprosate	0	1	0	1	Launched	glutamate receptor antagonist	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B|GRM5	neurology/psychiatry	abstinence from alcohol
acebutolol	0	1	0	1	Launched	adrenergic receptor antagonist	ADRB1	cardiology	hypertension|ventricular arrhythmias
acepromazine	0	1	0	1	Launched	dopamine receptor antagonist	ADRA1A|ADRA1B|DRD1|DRD2|HTR1A|HTR2A	neurology/psychiatry	sedative
acyclovir	0	1	0	1	Launched	DNA polymerase inhibitor	PNP	infectious disease	genitial herpes|shingles|chicken pox
afatinib	0	1	0	1	Launched	EGFR inhibitor	EGFR|ERBB2|ERBB4	oncology	non-small cell lung cancer (NSCLC)
alfacalcidol	0	1	0	1	Launched	vitamin D receptor agonist	CYP27B1|VDR	endocrinology	vitamin D deficiency
alfuzosin	0	1	0	1	Launched	adrenergic receptor antagonist	ADRA1A|ADRA1B|ADRA1D|SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A	urology	benign prostatic hyperplasia (BPH)
alprenolol	0	1	0	1	Launched	adrenergic receptor antagonist	ADRB1|ADRB2	cardiology	angina pectoris
amantadine	0	1	0	1	Launched	glutamate receptor antagonist	DRD2|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A	infectious disease|neurology/psychiatry	influenza A virus infection|Parkinson's Disease
ambroxol	0	1	0	1	Launched	sodium channel blocker	CYP3A4	pulmonary	bronchitis
amcinonide	0	1	0	1	Launched	glucocorticoid receptor agonist	NR3C1	dermatology	corticosteroid-responsive dermatoses
amiloride	0	1	0	1	Launched	sodium channel blocker	AOC1|ASIC1|ASIC2|ASIC3|PKD2|PKD2L1|PLAU|SCNN1A|SCNN1B|SCNN1D|SCNN1G|SLC9A1|TRPC7|TRPV2	cardiology	hypertension|congestive heart failure
aminoglutethimide	0	1	0	1	Launched	glucocorticoid receptor antagonist	CYP11A1|CYP19A1	endocrinology|oncology	Cushing's syndrome|breast cancer
amiodarone	0	1	0	1	Launched	potassium channel blocker	ADRB1|CACNA1H|CACNA2D2|KCNA7|KCNH2	cardiology	ventricular arrhythmias
amitriptyline	0	1	0	1	Launched	norepinephrine inhibitor|norepinephrine reuptake inhibitor|serotonin receptor antagonist|serotonin–norepinephrine reuptake inhibitor (SNRI)	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRB1|ADRB2|ADRB3|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HRH1|HRH2|HRH4|HTR1A|HTR1B|HTR1D|HTR2A|HTR2C|HTR6|HTR7|KCNA1|KCND2|KCND3|KCNQ2|KCNQ3|NTRK1|NTRK2|OPRD1|OPRK1|OPRM1|SIGMAR1|SLC6A2|SLC6A4	neurology/psychiatry	depression
amlexanox	0	0	1	1	Launched	histamine receptor modulator	FGF1|IL3|PDE4A|PDE4B|PDE4C|PDE4D|S100A12|S100A13	dental|pulmonary|ophthalmology|allergy	aphthous ulcers|asthma|conjunctivitis|allergic rhinitis
amlodipine	0	1	0	1	Launched	calcium channel blocker	CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNA2D1	cardiology	hypertension|chronic stable angina|vasospastic angina|coronary artery disease (CAD)
amodiaquine	0	1	0	1	Launched	histamine receptor agonist	HNMT	infectious disease	malaria
amoxapine	0	1	0	1	Launched	norepinephrine reputake inhibitor	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|HRH1|HRH4|HTR1A|HTR1B|HTR2A|HTR2B|HTR2C|HTR3A|HTR6|HTR7|SLC6A2|SLC6A3|SLC6A4	neurology/psychiatry	depression
amperozide	0	1	0	1	Launched	dopamine receptor antagonist	FAAH|HTR2A	neurology/psychiatry	psychosis
amsacrine	0	1	0	1	Launched	topoisomerase inhibitor	KCNH2|TOP2A	hematologic malignancy	acute lymphoblastic leukemia (ALL)
anagrelide	0	1	0	1	Launched	phosphodiesterase inhibitor	PDE3A	hematology|hematologic malignancy	thrombocythemia|myeloproliferative neoplasms
anastrozole	0	1	0	1	Launched	aromatase inhibitor	CYP19A1	oncology	breast cancer
aprepitant	0	1	0	1	Launched	tachykinin antagonist	TACR1	gastroenterology	nausea|vomiting
argatroban	0	1	0	1	Launched	thrombin inhibitor	F2	hematology	heparin-induced thrombocytopenia (HIT)
artemether	0	1	0	1	Launched	antimalarial agent	ATP1A1	infectious disease	malaria
ataluren	0	1	0	1	Launched	CFTR channel agonist|dystrophin stimulant	DMD	genetics|pulmonary	duchenne muscular dystrophy (DMD)|cystic fibrosis
atomoxetine	0	1	0	1	Launched	norepinephrine transporter inhibitor	GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B|SLC6A2|SLC6A3|SLC6A4	neurology/psychiatry	attention-deficit/hyperactivity disorder (ADHD)
atovaquone	0	1	0	1	Launched	mitochondrial electron transport inhibitor		infectious disease	pneumonia
auranofin	0	1	0	1	Launched	NFkB pathway inhibitor	IKBKB|PRDX5|TRPA1	rheumatology	rheumatoid arthritis
azacitidine	0	1	0	1	Launched	DNA methyltransferase inhibitor	DNMT1|DNMT3A	hematologic malignancy|hematology	myelodysplastic diseases (MDS)|anemia|chronic myelomonocytic leukemia (CMMoL)
azaperone	0	1	0	1	Launched	dopamine receptor antagonist	DRD2|DRD3	neurology/psychiatry	sedative
azasetron	0	1	0	1	Launched	serotonin receptor antagonist	HTR3A|HTR3B	infectious disease	genitial herpes
azelastine	0	1	0	1	Launched	histamine receptor antagonist	HRH1	ophthalmology	conjunctivitis
azithromycin	0	1	0	1	Launched	bacterial 50S ribosomal subunit inhibitor	MLNR	infectious disease	pelvic inflammatory disease|pneumonia
benazepril	0	1	0	1	Launched	angiotensin converting enzyme inhibitor	ACE	cardiology	hypertension
bendroflumethiazide	0	1	0	1	Launched	sodium/potassium/chloride transporter inhibitor	SLC12A1|SLC12A3	cardiology	hypertension
benidipine	0	1	0	1	Launched	calcium channel blocker	CACNA1C|CACNA1G	cardiology	hypertension
benzbromarone	0	1	0	1	Launched	chloride channel blocker	ABCC1	rheumatology	gout
benzonatate	0	1	0	1	Launched	local anesthetic	SCN5A	pulmonary	cough suppressant
benzthiazide	0	1	0	1	Launched	carbonic anhydrase inhibitor	CA2	cardiology	hypertension|edema
benzydamine	0	1	0	1	Launched	prostanoid receptor antagonist		dental|otolaryngology	mouth inflammation|throat inflammation
bepridil	0	1	0	1	Launched	calcium channel blocker	KCNQ4	cardiology	angina pectoris
betahistine	0	1	0	1	Launched	histamine receptor agonist|histamine receptor antagonist	HRH1|HRH3	neurology/psychiatry	Meniere's disease
betaxolol	0	1	0	1	Launched	adrenergic receptor antagonist	ADRB1|ADRB2	ophthalmology	intraocular pressure|glaucoma|ocular hypertension
bifemelane	0	1	0	1	Launched	acetylcholine release enhancer	MAOA|MAOB	ophthalmology|neurology/psychiatry	glaucoma|senile dementia
bimatoprost	0	1	0	1	Launched	prostanoid receptor agonist	AKR1C3|PTGER1|PTGER3|PTGFR	ophthalmology	intraocular pressure|glaucoma|ocular hypertension
biotin	0	1	0	1	Launched	vitamin B	ACACA|ACACB|HLCS|MCCC1|MCCC2|PC|PCCA|PCCB|SLC5A6		
biperiden	0	1	0	1	Launched	acetylcholine receptor antagonist	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5	neurology/psychiatry	Parkinson's Disease
bisoprolol	0	1	0	1	Launched	adrenergic receptor antagonist	ADRB1	cardiology	hypertension
bosutinib	0	1	0	1	Launched	Abl kinase inhibitor|Bcr-Abl kinase inhibitor|SRC inhibitor	ABL1|BCR|CAMK1D|CAMK2G|CDK2|FRK|FYN|HCK|LYN|MAP2K1|MAP2K2|MAP3K2|MAP4K5|SRC|STK10|STK24|STK4|TNK2|TXK	hematologic malignancy	chronic myeloid leukemia (CML)
brimonidine	0	1	0	1	Launched	adrenergic receptor agonist	ADRA2A|ADRA2B|ADRA2C	ophthalmology	intraocular pressure|glaucoma|ocular hypertension
brinzolamide	0	1	0	1	Launched	carbonic anhydrase inhibitor	CA1|CA12|CA14|CA2|CA4|CA5A|CA7	ophthalmology	intraocular pressure|glaucoma|ocular hypertension
bromocriptine	0	1	0	1	Launched	dopamine receptor agonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR6|HTR7	endocrinology|neurology/psychiatry	hyperprolactinemia|Parkinson's Disease|acromegaly
budesonide	0	1	0	1	Launched	glucocorticoid receptor agonist	NR3C1	gastroenterology	Crohn's disease
buflomedil	0	1	0	1	Launched	adrenergic receptor antagonist|calcium channel blocker	ADRA1A	cardiology	peripheral artery disease (PAD)
bumetanide	0	1	0	1	Launched	solute carrier family member inhibitor	CFTR|GPR35|SLC12A1|SLC12A2|SLC12A4|SLC12A5	cardiology	edema|congestive heart failure
buphenine	0	1	0	1	Launched	adrenergic receptor agonist	ADRB2	rheumatology	Raynaud's disease
bupropion	0	1	0	1	Launched	dopamine reuptake inhibitor	SLC6A2|SLC6A3	neurology/psychiatry	depression
busulfan	0	1	0	1	Launched	DNA inhibitor		hematologic malignancy	chronic myeloid leukemia (CML)
cabergoline	0	1	0	1	Launched	dopamine receptor agonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR7	endocrinology	hyperprolactinemia
caffeine	0	1	0	1	Launched	adenosine receptor antagonist|phosphodiesterase inhibitor	ADORA1|ADORA2A|ADORA2B|ADORA3|ATM|ITPR1|ITPR2|ITPR3|PDE10A|PDE11A|PDE1A|PDE1B|PDE1C|PDE2A|PDE3A|PDE3B|PDE4A|PDE4B|PDE4C|PDE4D|PDE5A|PDE6A|PDE6B|PDE6C|PDE7A|PDE7B|PDE8A|PDE8B|PDE9A|PIK3CA|PIK3CB|PIK3CD|PRKDC|RYR1|RYR2|RYR3	neurology/psychiatry	fatigue|drowsiness
calcifediol	0	1	0	1	Launched	vitamin D receptor agonist	VDR	endocrinology	hyperparathyroidism
capecitabine	0	1	0	1	Launched	DNA synthesis inhibitor|thymidylate synthase inhibitor	TYMS	oncology	breast cancer|colorectal cancer
carbamazepine	0	1	0	1	Launched	carboxamide antiepileptic	SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A	neurology/psychiatry	seizures
carbenoxolone	0	1	0	1	Launched	11-beta hydroxysteroid dehydrogenase inhibitor	GJA1|GJA10|GJA3|GJA4|GJA5|GJA8|GJA9|GJB1|GJB2|GJB3|GJB4|GJB5|GJB6|GJB7|GJC1|GJC2|GJC3|GJD2|GJD3|GJD4|GJE1|HSD11B1|PANX1|PANX2|PANX3	gastroenterology|dental	peptic ulcer disease (PUD)|mouth inflammation
carbetocin	0	1	0	1	Launched	oxytocin receptor agonist	OXTR	hematology	hemorrhage
carbinoxamine	0	1	0	1	Launched	histamine receptor antagonist	HRH1	allergy|ophthalmology|otolaryngology|dermatology	allergic rhinitis|conjunctivitis|vasomotor rhinitis|dermatographism
carteolol	0	1	0	1	Launched	adrenergic receptor antagonist	ADRB1|ADRB2|ADRB3	ophthalmology	intraocular pressure|glaucoma|ocular hypertension
cetirizine	0	1	0	1	Launched	histamine receptor antagonist	HRH1	allergy	allergic rhinitis
chenodeoxycholic-acid	0	1	0	1	Launched	11-beta hydroxysteroid dehydrogenase inhibitor|FXR agonist	HSD11B1|NR1H4	cardiology|gastroenterology	cerebral cholesterosis|gallstones
chloramphenicol	0	1	0	1	Launched	bacterial 50S ribosomal subunit inhibitor	CD55	infectious disease|endocrinology	meningitis|fever|cholera
chloroquine	0	0	1	1	Launched	antimalarial agent	MRGPRX1	infectious disease	malaria|amebiasis
chloroxine	0	1	0	1	Launched	opioid receptor antagonist	OPRK1	gastroenterology|infectious disease|dermatology	diarrhea|inflammatory bowel disease|giardiasis|dandruff
chlorphenamine	0	0	1	1	Launched	histamine receptor antagonist		allergy	allergic rhinitis|urticaria
cilastatin	0	1	0	1	Launched	dehydropeptidase inhibitor	DPEP1		
cilnidipine	0	1	0	1	Launched	calcium channel blocker	CACNA1B	cardiology	hypertension
cilostazol	0	1	0	1	Launched	phosphodiesterase inhibitor	PDE3A|PDE3B	cardiology	claudication
cimetidine	0	1	0	1	Launched	histamine receptor antagonist	HRH2|SLC29A4|SLC47A1|SLC47A2	gastroenterology|hematologic malignancy|endocrinology	duodenal ulcer disease|peptic ulcer disease (PUD)|gastroesophageal reflux disease (GERD)|aggressive systemic mastocytosis (ASM)|Zollinger-Ellison syndrome|endocrine adenoma
ciprofibrate	0	1	0	1	Launched	PPAR receptor agonist	PPARA	endocrinology	hyperlipidemia
clebopride	0	1	0	1	Launched	dopamine receptor antagonist	ACHE|DRD2	gastroenterology	nausea
clofibrate	0	1	0	1	Launched	PPAR receptor agonist	LPL|PPARA	endocrinology|cardiology	hyperlipidemia|cholesterol
clofibric-acid	0	1	0	1	Launched	PPAR receptor agonist	PPARA	endocrinology	hyperlipidemia
clonidine	0	1	0	1	Launched	adrenergic receptor agonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C	cardiology|neurology/psychiatry	hypertension|attention-deficit/hyperactivity disorder (ADHD)
clozapine	0	1	0	1	Launched	dopamine receptor antagonist|serotonin receptor antagonist	ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CALY|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HRH4|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR3A|HTR5A|HTR6|HTR7	neurology/psychiatry	schizophrenia
cortisone	0	1	0	1	Launched	glucocorticoid receptor agonist	NR3C1	gastroenterology|rheumatology|dermatology	ulcerative colitis|rheumatoid arthritis|psoriasis|joint inflammation|eczema
coumarin	0	1	0	1	Launched	vitamin K antagonist	CA1|CA12|CA14|CA2|CA4|CA6|CA9|CYP2A6	gastroenterology|pulmonary	ulcerative colitis|asthma|celiac disease
crizotinib	0	1	0	1	Launched	ALK tyrosine kinase receptor inhibitor	ALK|MET	oncology	non-small cell lung cancer (NSCLC)
