node	type
PARP1	source
ADRB2	source
ALAS1	source
BIRC2	source
BMP4	source
CD58	source
EGR1	source
GRB10	source
HMGCS1	source
PLSCR1	source
SUV39H1	source
CDK5R1	source
EDEM1	source
MELK	source
KIF14	source
GNPDA1	source
UBE2C	source
MAMLD1	target
DNM1L	target
KIF20A	target
ARL4C	target
CEBPZ	target
TXNDC9	target
CDK6	target
CDKN1A	target
STUB1	target
SMNDC1	target
TNIP1	target
IKZF1	target
HMG20B	target
LYPLA1	target
VAT1	target
CNPY3	target
YME1L1	target
TCFL5	target
ARPP19	target
MTHFD2	target
CLPX	target
UBE2C	target
PRSS23	target
CHEK1	target
SLC2A6	target
CHEK2	target
RPL39L	target
CLTC	target
CANT1	target
CRK	target
CSNK1E	target
CSRP1	target
CTNND1	target
CTSL	target
ADRB2	target
DCTD	target
DDB2	target
GADD45A	target
DLD	target
AGL	target
TSC22D3	target
DUSP3	target
DUSP4	target
E2F2	target
ECH1	target
EDN1	target
EGR1	target
EIF4EBP1	target
EIF5	target
EPHB2	target
ERBB3	target
ALAS1	target
EXT1	target
FDFT1	target
FHL2	target
CASC3	target
COG2	target
PUF60	target
RAB11FIP2	target
RPIA	target
ALDOC	target
RBM34	target
GPATCH8	target
MAST2	target
RRS1	target
RRP12	target
SYNE2	target
TRIM2	target
WASHC4	target
JADE2	target
RRP8	target
SIRT3	target
MACF1	target
FOS	target
LSM5	target
PLA2G15	target
SLC37A4	target
EML3	target
MPC2	target
TIPARP	target
PHGDH	target
GATA3	target
CHIC2	target
TIMM9	target
TNFRSF21	target
SESN1	target
GNA11	target
GNAI1	target
GNAS	target
GRB7	target
GRB10	target
GRN	target
NR3C1	target
CHMP4A	target
GTPBP8	target
CXCL2	target
HOOK2	target
HADH	target
HLA-DMA	target
HMGCR	target
HMGCS1	target
HMOX1	target
HSPA8	target
BIRC5	target
HSPD1	target
ICAM1	target
IGFBP3	target
IGHMBP2	target
APP	target
FAS	target
IL4R	target
INPP1	target
INSIG1	target
ITGAE	target
ITGB5	target
JUN	target
KIF5C	target
KIT	target
RHOA	target
DIPK1A	target
ACAT2	target
LAMA3	target
LGALS8	target
LIG1	target
ME2	target
MIF	target
FOXO4	target
MUC1	target
NFKB2	target
NFKBIA	target
NFKBIB	target
ATP1B1	target
CNOT4	target
PNP	target
NPC1	target
SLC11A2	target
NVL	target
OXA1L	target
PAK1	target
COPS7A	target
PCBD1	target
MTERF3	target
AMDHD2	target
GOLT1B	target
LAP3	target
PCNA	target
MRPS2	target
HSD17B11	target
ATP6V1D	target
PRKAG2	target
DHRS7	target
PIN1	target
PLK1	target
PMAIP1	target
PMM2	target
CYCS	target
POLE2	target
POLR2I	target
KCTD5	target
DDIT4	target
HERC6	target
PPP2R3C	target
FKBP14	target
UBR7	target
FAIM	target
ADI1	target
PPP2R5E	target
STAP2	target
IARS2	target
MINDY1	target
KDM3A	target
PRKCH	target
EAPP	target
ZNF395	target
NPDC1	target
TM9SF3	target
PAK6	target
PSMB8	target
COQ8A	target
MCOLN1	target
BAD	target
THAP11	target
PTGS2	target
PTK2	target
TRIB3	target
PTPN6	target
POLD4	target
PTPRK	target
PXN	target
SQOR	target
ENOPH1	target
RAC2	target
RAP1GAP	target
RASA1	target
RELB	target
RGS2	target
MRPL12	target
S100A4	target
S100A13	target
SATB1	target
SCP2	target
ABHD4	target
RBKS	target
ZDHHC6	target
SGCB	target
SHB	target
NT5DC2	target
SLC1A4	target
SMARCD2	target
SNAP25	target
BNIP3	target
BNIP3L	target
SPAG4	target
SPR	target
BPHL	target
AURKA	target
STK10	target
